Team,Team_Abbr,Oddshark_Wins,Atlantis_Wins,CRIS_Wins,Westgate_Wins,Fangraphs_Wins,Average,RegGames,WinnPerc,2017_Actual_Wins,2017_Actual_WP,Diff_Wins_Avg
Arizona Diamondbacks,ARI,78.5,78.5,77.5,77.5,77.1,77.8,162,0.480246914,93,0.574074074,-15.2
Atlanta Braves,ATL,71.5,71.5,74.5,75.5,72.1,73,162,0.450617284,72,0.444444444,1
Baltimore Orioles,BAL,84.5,84.5,80.5,79.5,79.7,81.7,162,0.504320988,75,0.462962963,6.7
Boston Red Sox,BOS,91.5,90.5,92.5,92.5,90.8,91.6,162,0.565432099,93,0.574074074,-1.4
Chicago Cubs,CHC,96.5,95.5,96.5,95.5,96.3,96.1,162,0.593209877,92,0.567901235,4.1
Chicago White Sox,CHW,71.5,73.5,68.5,68.5,67.8,70,162,0.432098765,67,0.413580247,3
Cincinnati Reds,CIN,73.5,73.5,69.5,70.5,67.5,70.9,162,0.437654321,68,0.419753086,2.9
Cleveland Indians,CLE,93.5,92.5,93.5,93.5,93.5,93.3,162,0.575925926,102,0.62962963,-8.7
Colorado Rockies,COL,80.5,79.5,80.5,80.5,78.1,79.8,162,0.492592593,87,0.537037037,-7.2
Detroit Tigers,DET,84.5,85.5,82.5,83.5,81.7,83.5,162,0.515432099,64,0.395061728,19.5
Houston Astros,HOU,87.5,87.5,91.5,91.5,90.2,89.6,162,0.55308642,101,0.62345679,-11.4
Kansas City Royals,KCR,81.5,80.5,75.5,74.5,75.7,77.5,162,0.478395062,80,0.49382716,-2.5
Los Angeles Angels,LAA,76.5,76.5,79.5,80.5,82.7,79.1,162,0.488271605,80,0.49382716,-0.9
Los Angeles Dodgers,LAD,92.5,91.5,94.5,94.5,96.6,93.9,162,0.57962963,104,0.641975309,-10.1
Miami Marlins,MIA,76.5,77.5,76.5,76.5,78.8,77.2,162,0.47654321,77,0.475308642,0.2
Milwaukee Brewers,MIL,71.5,72.5,69.5,69.5,70.3,70.7,162,0.436419753,86,0.530864198,-15.3
Minnesota Twins,MIN,70.5,70.5,74.5,75.5,74.6,73.1,162,0.451234568,85,0.524691358,-11.9
New York Mets,NYM,90.5,89.5,87.5,88.5,87.1,88.6,162,0.54691358,70,0.432098765,18.6
New York Yankees,NYY,83.5,83.5,82.5,83.5,79.2,82.4,162,0.508641975,91,0.561728395,-8.6
Oakland Athletics,OAK,66.5,66.5,73.5,74.5,76.7,71.5,162,0.441358025,75,0.462962963,-3.5
Philadelphia Phillies,PHI,72.5,72.5,73.5,72.5,71.5,72.5,162,0.447530864,66,0.407407407,6.5
Pittsburgh Pirates,PIT,85.5,85.5,83,82.5,79.7,83.2,162,0.513580247,75,0.462962963,8.2
San Diego Padres,SDP,64.5,64.5,66.5,67.5,65.8,65.8,162,0.40617284,71,0.438271605,-5.2
Seattle Mariners,SEA,85.5,85.5,85.5,85.5,81.8,84.8,162,0.52345679,78,0.481481481,6.8
San Francisco Giants,SFG,87.5,87.5,88.5,87.5,88.4,87.9,162,0.542592593,64,0.395061728,23.9
St. Louis Cardinals,STL,88.5,87.5,84.5,83.5,85.4,85.9,162,0.530246914,83,0.512345679,2.9
Tampa Bay Rays,TBR,75.5,75.5,78.5,78.5,80.8,77.8,162,0.480246914,80,0.49382716,-2.2
Texas Rangers,TEX,85.5,86.5,85.5,84.5,81.7,84.7,162,0.522839506,78,0.481481481,6.7
Toronto Blue Jays,TOR,85.5,86.5,85.5,84.5,85.8,85.6,162,0.528395062,76,0.469135802,9.6
Washington Nationals,WSN,90.5,90.5,90.5,91.5,92.4,91.1,162,0.562345679,97,0.598765432,-5.9
