Team,Team_Abbr,Oddshark_Wins,Atlantis_Wins,CRIS_Wins,Westgate_Wins,Fangraphs_Wins,Average,RegGames,WinnPerc,2017_Actual_Wins,2017_Actual_WP,Diff_Wins_Avg,luckSD,Mlb2016SD,TalentVar,RegrGames,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins,FinalIn80CI,FinalIn90CI,FinalIn95CI,FinalIn99CI
Arizona Diamondbacks,ARI,78.5,78.5,77.5,77.5,77.1,77.8,162,0.480246914,93,0.574074074,-15.2,0.039253042313,0.0650453602411,0.00269009755806,92.788387858,44.5613369238,48.2270509341,0.480269870003,0.413901322102,0.546806143498,0.395596382401,0.565438884258,0.379761191329,0.580838893215,0.350020235955,0.61237500176,77.8,67.1,88.6,64.1,91.6,61.5,94.1,56.7,99.2,0,0,1,1
Atlanta Braves,ATL,71.5,71.5,74.5,75.5,72.1,73.0,162,0.450617284,72,0.444444444,1.0,0.039091641884,0.0650453602411,0.0027027424237,91.5963523529,41.2748995216,50.3214528313,0.450635076358,0.384469874749,0.517237519685,0.36610608761,0.53579737546,0.350664785554,0.552102865769,0.321076511096,0.584622967266,73.0,62.3,83.8,59.3,86.8,56.8,89.4,52.0,94.7,1,1,1,1
Baltimore Orioles,BAL,84.5,84.5,80.5,79.5,79.7,81.7,162,0.504320988,75,0.462962963,6.7,0.0392822431112,0.0650453602411,0.00268780426505,93.0057788485,46.9047662786,46.1010125699,0.504406237178,0.437999723863,0.570850720691,0.419289160189,0.589062002727,0.403191488558,0.604557449437,0.372839577858,0.634528708413,81.7,71.0,92.5,67.9,95.4,65.3,97.9,60.4,102.8,1,1,1,1
Boston Red Sox,BOS,91.5,90.5,92.5,92.5,90.8,91.6,162,0.565432099,93,0.574074074,-1.4,0.03894588208,0.0650453602411,0.0027141171579,90.5335422627,51.1905708315,39.3429714312,0.56541478537,0.498471325191,0.631606850073,0.479103766772,0.6498757315,0.462223465554,0.665076690664,0.430553383214,0.694209998155,91.6,80.8,102.3,77.6,105.3,74.9,107.7,69.7,112.5,1,1,1,1
Chicago Cubs,CHC,96.5,95.5,96.5,95.5,96.3,96.1,162,0.593209877,92,0.567901235,4.1,0.038595074114,0.0650453602411,0.00274131914303,88.0276634129,52.2188793857,35.8087840271,0.593130123043,0.525810568605,0.659440690439,0.506573433102,0.677397706208,0.489628072426,0.693094985192,0.45689201837,0.723245166007,96.1,85.2,106.8,82.1,109.7,79.3,112.3,74.0,117.2,1,1,1,1
Chicago White Sox,CHW,71.5,73.5,68.5,68.5,67.8,70.0,162,0.432098765,67,0.413580247,3.0,0.0389197831479,0.0650453602411,0.00271614936861,90.3445978051,39.037789136,51.3068086691,0.431941644453,0.36598458029,0.498712009552,0.347624296537,0.518489161858,0.332706453969,0.535221989986,0.303151851168,0.567263719422,70.0,59.3,80.8,56.3,84.0,53.9,86.7,49.1,91.9,1,1,1,1
Cincinnati Reds,CIN,73.5,73.5,69.5,70.5,67.5,70.9,162,0.437654321,68,0.419753086,2.9,0.0389771234195,0.0650453602411,0.00271168273883,90.760254799,39.7216176879,51.0386371112,0.437487283438,0.370974783622,0.504363686357,0.352939336394,0.523354363501,0.337580045777,0.540345482736,0.307676168359,0.573214003588,70.9,60.1,81.7,57.2,84.8,54.7,87.5,49.8,92.9,1,1,1,1
Cleveland Indians,CLE,93.5,92.5,93.5,93.5,93.5,93.3,162,0.575925926,102,0.62962963,-8.7,0.038828147306,0.0650453602411,0.00272327386567,89.6844261019,51.6515861505,38.0328399514,0.57577287552,0.508081645514,0.642460587457,0.489322633164,0.660495661503,0.472287229434,0.675941774727,0.440266247672,0.706269070433,93.3,82.3,104.1,79.3,107.0,76.5,109.5,71.3,114.4,1,1,1,1
Colorado Rockies,COL,80.5,79.5,80.5,80.5,78.1,79.8,162,0.492592593,87,0.537037037,-7.2,0.0392793988603,0.0650453602411,0.00268802771406,92.984580856,45.8035157929,47.1810650631,0.492689217758,0.426525394239,0.559083406714,0.408329855297,0.577747392363,0.392636153245,0.593963094746,0.362751231095,0.625900962225,79.8,69.1,90.6,66.1,93.6,63.6,96.2,58.8,101.4,1,1,1,1
Detroit Tigers,DET,84.5,85.5,82.5,83.5,81.7,83.5,162,0.515432099,64,0.395061728,19.5,0.0392649948019,0.0650453602411,0.0026891590721,92.8773061111,47.8719448383,45.0053612728,0.515177594506,0.44862331746,0.581335219016,0.429909078326,0.599189517329,0.413691813697,0.615420746415,0.382980396492,0.645869992508,83.5,72.7,94.2,69.6,97.1,67.0,99.7,62.0,104.6,0,0,0,1
