"","Team","Current_Wins","Current_Losses","Current_WP%","Regressed_Wins","Regressed_Losses","Regressed_WP%"
"1","BOS",17,5,0.773,92,70,0.567901234567901
"2","ARI",16,6,0.727,90,72,0.555555555555556
"3","NYM",15,6,0.714,89,73,0.549382716049383
"4","LAA",16,8,0.667,88,74,0.54320987654321
"5","HOU",16,9,0.64,87,75,0.537037037037037
"6","PHI",14,8,0.636,86,76,0.530864197530864
"7","TOR",14,8,0.636,86,76,0.530864197530864
"8","MIL",15,9,0.625,86,76,0.530864197530864
"9","STL",13,9,0.591,85,77,0.524691358024691
"10","NYY",13,9,0.591,85,77,0.524691358024691
"11","CLE",12,9,0.571,84,78,0.518518518518518
"12","CHC",11,9,0.55,83,79,0.512345679012346
"13","SEA",12,10,0.545,83,79,0.512345679012346
"14","ATL",12,10,0.545,83,79,0.512345679012346
"15","PIT",12,10,0.545,83,79,0.512345679012346
"16","OAK",13,11,0.542,83,79,0.512345679012346
"17","COL",13,12,0.52,82,80,0.506172839506173
"18","LAD",11,11,0.5,81,81,0.5
"19","SFG",11,12,0.478,80,82,0.493827160493827
"20","DET",9,11,0.45,79,83,0.487654320987654
"21","MIN",8,10,0.444,79,83,0.487654320987654
"22","WSN",10,14,0.417,77,85,0.475308641975309
"23","TBR",8,13,0.381,76,86,0.469135802469136
"24","SDP",9,16,0.36,75,87,0.462962962962963
"25","TEX",8,17,0.32,73,89,0.450617283950617
"26","CHW",5,15,0.25,72,90,0.444444444444444
"27","BAL",6,17,0.261,71,91,0.438271604938272
"28","MIA",6,17,0.261,71,91,0.438271604938272
"29","KCR",5,16,0.238,71,91,0.438271604938272
"30","CIN",5,18,0.217,70,92,0.432098765432099
