Team,Current_Wins,Current_Losses,Current_WP%,OddsShark_Wins,OddsShark_Losses,OddsShark_WP%,Regressed_Wins,Regressed_Losses,Regressed_WP%,.05 WP% CI,.95 WP% CI,P(Lose100),P(Win100),Regressed_Wins_Apr18,Regressed_Losses_Apr18,Regressed_WP%_Apr18,Diff_WP%,Diff_Wins,Diff_OddsShark_Wins
BOS,68,30,0.694,91.5,70.5,0.564814815,104,58,0.641975309,0.579562286,0.701089013,0,0.7346,100,62,0.617283951,0.024691358,4,12.5
OAK,55,42,0.567,74.5,87.5,0.459876543,85,77,0.524691358,0.45975991,0.585338306,3.00E-04,0.0082,78,84,0.481481481,0.043209877,7,10.5
SEA,58,39,0.598,81.5,80.5,0.50308642,90,72,0.555555556,0.495690387,0.620783629,0,0.0594,83,79,0.512345679,0.043209877,7,8.5
ATL,52,42,0.553,74.5,87.5,0.459876543,83,79,0.512345679,0.450459012,0.577230916,5.00E-04,0.0042,78,84,0.481481481,0.030864198,5,8.5
PHI,53,42,0.558,75.5,86.5,0.466049383,84,78,0.518518519,0.45618963,0.582481822,3.00E-04,0.0066,82,80,0.50617284,0.012345679,2,8.5
NYY,62,33,0.653,94.5,67.5,0.583333333,101,61,0.62345679,0.561561174,0.685643313,0,0.5735,95,67,0.586419753,0.037037037,6,6.5
HOU,64,35,0.646,96.5,65.5,0.595679012,102,60,0.62962963,0.564428485,0.687185293,0,0.597,99,63,0.611111111,0.018518519,3,5.5
PIT,48,49,0.495,73,89,0.450617284,77,85,0.475308642,0.413062659,0.538705152,0.009,3.00E-04,77,85,0.475308642,-2.4691E-11,0,4
MIL,55,43,0.561,84.5,77.5,0.521604938,88,74,0.543209877,0.482562334,0.607503109,0,0.0302,89,73,0.549382716,-0.006172839,-1,3.5
TBR,49,47,0.51,77.5,84.5,0.478395062,80,82,0.49382716,0.433348087,0.559186041,0.0014,0.0011,74,88,0.456790123,0.037037037,6,2.5
COL,51,45,0.531,82,80,0.50617284,84,78,0.518518519,0.458221036,0.583939903,3.00E-04,0.0071,83,79,0.512345679,0.00617284,1,2
MIA,41,57,0.418,64.5,97.5,0.398148148,66,96,0.407407407,0.347538488,0.472691624,0.2347,0,59,103,0.364197531,0.043209876,7,1.5
ARI,53,44,0.546,85.5,76.5,0.527777778,87,75,0.537037037,0.476267191,0.601647464,2.00E-04,0.0209,93,69,0.574074074,-0.037037037,-6,1.5
CHC,55,38,0.591,94.5,67.5,0.583333333,95,67,0.586419753,0.524772122,0.651405677,0,0.2229,93,69,0.574074074,0.012345679,2,0.5
SFG,50,48,0.51,81.5,80.5,0.50308642,82,80,0.50617284,0.445243518,0.57025918,8.00E-04,0.002,80,82,0.49382716,0.01234568,2,0.5
CIN,43,53,0.448,73.5,88.5,0.453703704,73,89,0.450617284,0.386944898,0.51296437,0.0398,0,64,98,0.395061728,0.055555556,9,-0.5
DET,41,57,0.418,68.5,93.5,0.422839506,68,94,0.419753086,0.357734267,0.482474798,0.1609,0,69,93,0.425925926,-0.00617284,-1,-0.5
STL,48,46,0.511,85.5,76.5,0.527777778,84,78,0.518518519,0.455139513,0.581761657,3.00E-04,0.0062,88,74,0.543209877,-0.024691358,-4,-1.5
LAA,49,48,0.505,84.5,77.5,0.521604938,83,79,0.512345679,0.449835137,0.575312534,5.00E-04,0.0033,91,71,0.561728395,-0.049382716,-8,-1.5
SDP,40,59,0.404,69.5,92.5,0.429012346,67,95,0.413580247,0.352230337,0.476196803,0.2018,0,66,96,0.407407407,0.00617284,1,-2.5
MIN,44,50,0.468,82.5,79.5,0.509259259,79,83,0.487654321,0.421938506,0.54854621,0.0043,4.00E-04,80,82,0.49382716,-0.006172839,-1,-3.5
CLE,52,43,0.547,94.5,67.5,0.583333333,91,71,0.561728395,0.49933741,0.625926255,0,0.0779,94,68,0.580246914,-0.018518519,-3,-3.5
TOR,43,52,0.453,81,81,0.5,77,85,0.475308642,0.409362832,0.535401666,0.0113,3.00E-04,86,76,0.530864198,-0.055555556,-9,-4
LAD,53,43,0.552,96.5,65.5,0.595679012,92,70,0.567901235,0.507063667,0.633391813,0,0.1119,93,69,0.574074074,-0.006172839,-1,-4.5
TEX,41,56,0.423,77.5,84.5,0.478395062,72,90,0.444444444,0.383149276,0.508428168,0.0492,0,71,91,0.438271605,0.006172839,1,-5.5
WSN,48,48,0.5,92.5,69.5,0.570987654,86,76,0.530864198,0.46682036,0.593205766,3.00E-04,0.0135,86,76,0.530864198,-4.69136E-10,0,-6.5
CHW,33,62,0.347,68,94,0.419753086,61,101,0.37654321,0.315729995,0.439811614,0.5589,0,62,100,0.382716049,-0.006172839,-1,-7
NYM,39,55,0.415,81,81,0.5,73,89,0.450617284,0.387758903,0.514233625,0.0383,0,89,73,0.549382716,-0.098765432,-16,-8
KCR,27,68,0.284,71.5,90.5,0.441358025,57,105,0.351851852,0.289932644,0.411746332,0.804,0,64,98,0.395061728,-0.043209876,-7,-14.5
BAL,28,69,0.289,73,89,0.450617284,58,104,0.358024691,0.295939835,0.417358743,0.758,0,65,97,0.401234568,-0.043209877,-7,-15
