"","Team","Current_Wins","Current_Losses","Current_WP%","OddsShark_Wins","OddsShark_Losses","OddsShark_WP%","Regressed_Wins","Regressed_Losses","Regressed_WP%",".05 WP% CI",".95 WP% CI","P(Lose100)","P(Win100)"
"1","BOS",58,29,0.667,91.5,70.5,0.564814814814815,101,61,0.623456790123457,0.558014140017913,0.684924568507049,0,0.5505
"2","NYY",55,28,0.663,94.5,67.5,0.583333333333333,102,60,0.62962962962963,0.562446320127358,0.691190233755891,0,0.6035
"3","HOU",56,31,0.644,96.5,65.5,0.595679012345679,101,61,0.623456790123457,0.55880046719599,0.686467311134607,0,0.5625
"4","SEA",55,31,0.639,81.5,80.5,0.503086419753086,94,68,0.580246913580247,0.513822119301893,0.642365793119416,0,0.1587
"5","MIL",50,35,0.588,84.5,77.5,0.521604938271605,90,72,0.555555555555556,0.493352783956994,0.623199749015085,0,0.0676
"6","ATL",49,35,0.583,74.5,87.5,0.459876543209877,85,77,0.524691358024691,0.462336543480148,0.59301205857584,3e-04,0.0138
"7","CHC",48,35,0.578,94.5,67.5,0.583333333333333,94,68,0.580246913580247,0.515226447335841,0.646050841338106,0,0.1785
"8","CLE",47,37,0.559,94.5,67.5,0.583333333333333,92,70,0.567901234567901,0.504944001406132,0.635787777319011,0,0.1213
"9","ARI",48,38,0.558,85.5,76.5,0.527777777777778,88,74,0.54320987654321,0.480025039408074,0.609787720676768,2e-04,0.034
"10","PHI",46,37,0.554,75.5,86.5,0.466049382716049,83,79,0.512345679012346,0.448745656918967,0.579946382959442,8e-04,0.0058
"11","OAK",47,39,0.546,74.5,87.5,0.459876543209877,82,80,0.506172839506173,0.443212847322621,0.573171102835763,0.0011,0.0031
"12","LAD",46,39,0.541,96.5,65.5,0.595679012345679,92,70,0.567901234567901,0.499952418141087,0.630876317593798,0,0.0972
"13","SFG",45,42,0.517,81.5,80.5,0.503086419753086,83,79,0.512345679012346,0.446773519634311,0.576069630274965,8e-04,0.0041
"14","STL",43,41,0.512,85.5,76.5,0.527777777777778,84,78,0.518518518518518,0.454299100878054,0.584935866186828,3e-04,0.0088
"15","TBR",43,42,0.506,77.5,84.5,0.478395061728395,80,82,0.493827160493827,0.42776112611731,0.557945993549694,0.0028,0.0012
"16","WSN",42,42,0.5,92.5,69.5,0.570987654320988,86,76,0.530864197530864,0.46671287939651,0.597968604218005,3e-04,0.018
"17","LAA",43,43,0.5,84.5,77.5,0.521604938271605,83,79,0.512345679012346,0.445366765540919,0.575166317974343,0.001,0.0036
"18","COL",43,43,0.5,82,80,0.506172839506173,82,80,0.506172839506173,0.438560282485852,0.56824310663268,0.0015,0.002
"19","PIT",40,45,0.471,73,89,0.450617283950617,75,87,0.462962962962963,0.395925528210466,0.52639315576134,0.0246,3e-04
"20","TOR",40,45,0.471,81,81,0.5,78,84,0.481481481481481,0.418380445598946,0.548530689397368,0.0066,5e-04
"21","TEX",38,48,0.442,77.5,84.5,0.478395061728395,74,88,0.45679012345679,0.393105666089149,0.522760954413308,0.0293,3e-04
"22","DET",38,49,0.437,68.5,93.5,0.422839506172839,70,92,0.432098765432099,0.365697633290799,0.495150521960579,0.1142,0
"23","CIN",37,49,0.43,73.5,88.5,0.453703703703704,71,91,0.438271604938272,0.375689418189727,0.50526727236922,0.0703,0
"24","MIN",35,47,0.427,82.5,79.5,0.509259259259259,75,87,0.462962962962963,0.398883712853435,0.530198542607087,0.0211,3e-04
"25","SDP",37,50,0.425,69.5,92.5,0.429012345679012,69,93,0.425925925925926,0.362175873833889,0.49134586987693,0.1339,0
"26","NYM",33,49,0.402,81,81,0.5,72,90,0.444444444444444,0.381664221428874,0.512853773116185,0.0527,0
"27","MIA",35,52,0.402,64.5,97.5,0.398148148148148,65,97,0.401234567901235,0.336060646895676,0.465157029118333,0.3255,0
"28","CHW",30,55,0.353,68,94,0.419753086419753,62,100,0.382716049382716,0.318641774423563,0.446996997230966,0.5081,0
"29","KCR",25,60,0.294,71.5,90.5,0.441358024691358,58,104,0.358024691358025,0.297328482257527,0.423781347743499,0.7211,0
"30","BAL",24,60,0.286,73,89,0.450617283950617,58,104,0.358024691358025,0.297426259158799,0.42415910581256,0.7192,0
