Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,BOS,AL,87,58,29,.667,W 2,5.2,3.8,1.5,0.0,1.5,56-31,2,6-1,28-12,30-17,3-3,14-8,46-19,12-10,31-19,27-10,7-3,13-7,19-11
2,NYY,AL,83,55,28,.663,W 1,5.2,3.8,1.3,0.1,1.5,53-30,2,8-6,32-13,23-15,4-4,13-6,34-22,21-6,33-16,22-12,5-5,12-8,20-10
3,HOU,AL,87,56,31,.644,W 1,5.0,3.1,2.0,0.0,2.0,62-25,-6,5-3,25-17,31-14,2-4,10-16,38-17,18-14,29-22,27-9,6-4,14-6,21-9
4,SEA,AL,86,55,31,.639,W 8,4.4,4.1,0.3,0.0,0.3,46-40,9,1-1,29-14,26-17,8-0,26-11,39-19,16-12,28-20,27-11,9-1,13-7,21-9
5,MIL,NL,85,50,35,.588,W 2,4.4,3.8,0.6,-0.2,0.4,48-37,2,9-7,26-17,24-18,5-2,19-11,42-26,8-9,22-22,28-13,5-5,11-9,15-15
6,ATL,NL,84,49,35,.583,L 1,5.0,4.1,1.0,-0.1,0.9,50-34,-1,6-6,23-17,26-18,3-7,13-6,35-23,14-12,26-20,23-15,6-4,12-8,17-13
7,CHC,NL,83,48,35,.578,W 5,5.1,3.9,1.2,-0.1,1.1,52-31,-4,7-4,25-14,23-21,4-4,8-13,35-30,13-5,25-22,23-13,6-4,10-10,18-12
8,CLE,AL,84,47,37,.559,W 3,5.0,4.2,0.9,-0.3,0.6,49-35,-2,7-4,27-13,20-24,1-5,10-11,31-29,16-8,14-20,33-17,6-4,12-8,18-12
9,ARI,NL,86,48,38,.558,W 1,4.3,3.7,0.6,0.0,0.6,49-37,-1,4-4,24-20,24-18,4-3,13-13,30-27,18-11,30-29,18-9,5-5,11-9,19-11
10,PHI,NL,83,46,37,.554,W 3,4.3,4.3,0.1,0.1,0.2,42-41,4,7-4,29-16,17-21,6-1,18-7,35-27,11-10,32-29,14-8,6-4,13-7,16-14
11,OAK,AL,86,47,39,.546,W 1,4.6,4.5,0.1,0.0,0.2,44-42,3,6-2,23-21,24-18,5-3,14-7,33-23,14-16,19-30,28-9,8-2,13-7,19-11
12,LAD,NL,85,46,39,.541,W 3,4.8,4.0,0.8,-0.1,0.8,50-35,-4,3-1,25-23,21-16,4-4,12-10,28-27,18-12,29-27,17-12,6-4,13-7,20-10
13,SFG,NL,87,45,42,.517,L 2,4.1,4.4,-0.3,0.1,-0.2,41-46,4,3-4,26-14,19-28,5-3,14-13,28-25,17-17,33-30,12-12,7-3,12-8,18-12
14,STL,NL,84,43,41,.512,L 1,4.3,4.2,0.1,-0.1,0.0,43-41,0,6-6,23-22,20-19,5-6,12-12,33-30,10-11,18-21,25-20,5-5,7-13,13-17
15,TBR,AL,85,43,42,.506,W 1,3.9,3.8,0.1,0.3,0.3,43-42,0,3-8,23-17,20-25,4-4,16-21,28-29,15-13,21-32,22-10,8-2,13-7,15-15
16,WSN,NL,84,42,42,.500,L 4,4.2,3.9,0.3,0.0,0.3,45-39,-3,9-10,19-22,23-20,2-4,8-16,34-25,8-17,21-32,21-10,2-8,5-15,10-20
17,LAA,AL,86,43,43,.500,L 2,4.4,4.2,0.2,0.0,0.2,44-42,-1,3-4,20-21,23-22,1-7,14-9,37-28,6-15,18-31,25-12,2-8,6-14,13-17
18,COL,NL,86,43,43,.500,W 2,4.7,5.1,-0.4,0.0,-0.5,40-46,3,2-3,17-22,26-21,3-2,11-9,26-26,17-17,21-28,22-15,5-5,11-9,13-17
19,PIT,NL,85,40,45,.471,L 2,4.4,4.7,-0.3,-0.1,-0.4,40-45,0,10-2,21-21,19-24,3-3,14-11,32-31,8-14,17-33,23-12,4-6,8-12,11-19
20,TOR,AL,85,40,45,.471,W 1,4.4,4.9,-0.4,0.2,-0.3,39-46,1,8-3,23-22,17-23,8-2,12-11,29-24,11-21,19-34,21-11,6-4,10-10,15-15
