Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,BOS,AL,98,68,30,.694,W 2,5.4,3.7,1.7,-0.1,1.5,65-33,3,7-1,34-13,34-17,4-3,14-8,54-19,14-11,32-19,36-11,9-1,17-3,22-8
2,NYY,AL,95,62,33,.653,L 1,5.2,3.8,1.4,0.1,1.4,61-34,1,9-6,33-13,29-20,5-4,15-9,39-27,23-6,36-18,26-15,6-4,12-8,18-12
3,HOU,AL,99,64,35,.646,L 1,5.1,3.2,1.9,-0.1,1.8,70-29,-6,5-3,32-21,32-14,4-4,14-16,43-20,21-15,30-25,34-10,6-4,12-8,20-10
4,SEA,AL,97,58,39,.598,L 4,4.2,4.3,0.0,0.0,0.0,48-49,10,2-6,31-17,27-22,8-0,26-12,42-24,16-15,31-28,27-11,3-7,11-9,15-15
5,CHC,NL,93,55,38,.591,W 3,5.1,3.9,1.2,-0.1,1.1,58-35,-3,8-4,28-15,27-23,6-6,11-16,38-32,17-6,26-24,29-14,7-3,13-7,17-13
6,OAK,AL,97,55,42,.567,W 2,4.6,4.4,0.2,0.0,0.3,51-46,4,9-3,24-21,31-21,6-4,15-8,40-25,15-17,26-33,29-9,7-3,15-5,21-9
7,MIL,NL,98,55,43,.561,L 6,4.3,3.8,0.5,-0.1,0.4,54-44,1,10-7,30-18,25-25,5-5,21-15,45-34,10-9,25-23,30-20,2-8,9-11,14-16
8,PHI,NL,95,53,42,.558,L 2,4.3,4.1,0.2,0.0,0.2,49-46,4,9-4,30-16,23-26,6-3,20-8,41-32,12-10,32-29,21-13,5-5,12-8,19-11
9,ATL,NL,94,52,42,.553,W 1,4.9,4.1,0.7,0.0,0.7,54-40,-2,7-8,25-20,27-22,3-7,13-8,37-29,15-13,28-26,24-16,3-7,9-11,15-15
10,LAD,NL,96,53,43,.552,W 1,4.7,3.9,0.9,0.0,0.8,57-39,-4,6-4,28-24,25-19,4-5,14-13,34-28,19-15,32-30,21-13,6-4,12-8,19-11
