Rank,Team,Current Value,1-Yr Value Change,Debt/Value,Revenue,Salaries,Other Expenses,Expenses,Operating Income,Expenses/Revenue
1,New York Knicks,"$3,300,000,000 ",10%,0%,"$376,000,000 ","$104,501,658 ","$130,298,342 ","$234,800,000 ","$141,200,000 ",0.624468085
2,Los Angeles Lakers,"$3,000,000,000 ",11%,1%,"$333,000,000 ","$102,354,756 ","$111,445,244 ","$213,800,000 ","$119,200,000 ",0.642042042
3,Golden State Warriors,"$2,600,000,000 ",37%,10%,"$305,000,000 ","$104,677,735 ","$126,122,265 ","$230,800,000 ","$74,200,000 ",0.756721311
4,Chicago Bulls,"$2,500,000,000 ",9%,2%,"$232,000,000 ","$96,908,430 ","$89,591,570 ","$186,500,000 ","$45,500,000 ",0.80387931
5,Boston Celtics,"$2,200,000,000 ",5%,7%,"$200,000,000 ","$95,289,212 ","$44,610,788 ","$139,900,000 ","$60,100,000 ",0.6995
6,Los Angeles Clippers,"$2,000,000,000 ",0%,0%,"$185,000,000 ","$118,663,837 ","$78,136,163 ","$196,800,000 ","($11,800,000)",1.063783784
7,Brooklyn Nets,"$1,800,000,000 ",6%,14%,"$223,000,000 ","$78,769,729 ","$128,530,271 ","$207,300,000 ","$15,700,000 ",0.929596413
8,Houston Rockets,"$1,650,000,000 ",10%,8%,"$244,000,000 ","$96,658,699 ","$84,641,301 ","$181,300,000 ","$62,700,000 ",0.743032787
9,Dallas Mavericks,"$1,450,000,000 ",4%,8%,"$194,000,000 ","$112,488,859 ","$41,211,141 ","$153,700,000 ","$40,300,000 ",0.792268041
10,Miami Heat,"$1,350,000,000 ",4%,5%,"$210,000,000 ","$105,296,376 ","$83,603,624 ","$188,900,000 ","$21,100,000 ",0.89952381
11,Cleveland Cavaliers,"$1,200,000,000 ",9%,17%,"$233,000,000 ","$123,590,274 ","$149,609,726 ","$273,200,000 ","($40,200,000)",1.172532189
12,San Antonio Spurs,"$1,175,000,000 ",2%,6%,"$187,000,000 ","$111,175,298 ","$57,424,702 ","$168,600,000 ","$18,400,000 ",0.901604278
13,Toronto Raptors,"$1,125,000,000 ",15%,10%,"$193,000,000 ","$109,253,824 ","$37,646,176 ","$146,900,000 ","$46,100,000 ",0.761139896
14,Phoenix Suns,"$1,100,000,000 ",10%,17%,"$173,000,000 ","$84,297,090 ","$62,402,910 ","$146,700,000 ","$26,300,000 ",0.847976879
15,Sacramento Kings,"$1,075,000,000 ",16%,47%,"$164,000,000 ","$99,168,232 ","$46,431,768 ","$145,600,000 ","$18,400,000 ",0.887804878
16,Portland Trail Blazers,"$1,050,000,000 ",8%,10%,"$178,000,000 ","$115,817,639 ","$20,982,361 ","$136,800,000 ","$41,200,000 ",0.768539326
17,Oklahoma City Thunder,"$1,025,000,000 ",8%,14%,"$187,000,000 ","$96,181,060 ","$99,218,940 ","$195,400,000 ","($8,400,000)",1.044919786
18,Washington Wizards,"$1,000,000,000 ",4%,13%,"$155,000,000 ","$107,257,619 ","$41,142,381 ","$148,400,000 ","$6,600,000 ",0.957419355
19,Orlando Magic,"$920,000,000 ",2%,16%,"$166,000,000 ","$110,283,846 ","$11,016,154 ","$121,300,000 ","$44,700,000 ",0.730722892
20,Utah Jazz,"$910,000,000 ",4%,8%,"$164,000,000 ","$84,386,693 ","$43,613,307 ","$128,000,000 ","$36,000,000 ",0.780487805
21,Detroit Pistons,"$900,000,000 ",6%,21%,"$172,000,000 ","$110,492,645 ","$39,707,355 ","$150,200,000 ","$21,800,000 ",0.873255814
22,Denver Nuggets,"$890,000,000 ",4%,0%,"$157,000,000 ","$79,627,212 ","$56,172,788 ","$135,800,000 ","$21,200,000 ",0.864968153
23,Atlanta Hawks,"$885,000,000 ",7%,28%,"$169,000,000 ","$102,337,248 ","$46,862,752 ","$149,200,000 ","$19,800,000 ",0.882840237
24,Indiana Pacers,"$880,000,000 ",5%,17%,"$157,000,000 ","$91,950,761 ","$41,149,239 ","$133,100,000 ","$23,900,000 ",0.847770701
25,Philadelphia 76ers,"$800,000,000 ",14%,19%,"$140,000,000 ","$75,336,267 ","$46,463,733 ","$121,800,000 ","$18,200,000 ",0.87
26,Memphis Grizzlies,"$790,000,000 ",1%,22%,"$155,000,000 ","$114,096,737 ","$40,703,263 ","$154,800,000 ","$200,000 ",0.998709677
27,Milwaukee Bucks,"$785,000,000 ",16%,54%,"$146,000,000 ","$103,338,094 ","$18,661,906 ","$122,000,000 ","$24,000,000 ",0.835616438
28,Charlotte Hornets,"$780,000,000 ",4%,19%,"$158,000,000 ","$101,879,187 ","$46,720,813 ","$148,600,000 ","$9,400,000 ",0.940506329
29,Minnesota Timberwolves,"$770,000,000 ",7%,18%,"$154,000,000 ","$84,638,527 ","$43,461,473 ","$128,100,000 ","$25,900,000 ",0.831818182
30,New Orleans Pelicans,"$750,000,000 ",15%,17%,"$156,000,000 ","$103,228,539 ","$36,071,461 ","$139,300,000 ","$16,700,000 ",0.892948718
