Team,Abbr,CBS_Sportsline,Vegas,ESPN_RPM,USA_Today,OddsShark,BetOnline,Westgate,Vegas2,2012_Wins,2013_Wins,2014_Wins,2015_Wins,2016_Wins,5Yr_Avg,Expert_Median,Expert_Avg,All_Median,All_Avg,2017_Wins,PriorAlpha,PriorBeta,2017_Actual_WP,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins,FinalIn80CI,FinalIn90CI,FinalIn95CI,FinalIn99CI
Atlanta Hawks,ATL,32.1,26.0,27.0,24,24,27.5,25.5,27.5,44,38,60,48,43,46.6,26.5,26.7,27.0,28.91111111,24,9.093132110412327,18.833341037670476,0.2926829268292683,0.32546523631239715,0.21585722933977602,0.4409075425281397,0.18924827377873096,0.47611332332705475,0.16778273019276685,0.505801768119144,0.13096083311588588,0.5664651733206922,26.7,17.7,36.2,15.5,39.0,13.8,41.5,10.7,46.5,1,1,1,1
Boston Celtics,BOS,54.8,54.0,49.4,52,57,53.5,56.5,53.5,41,25,40,48,53,41.4,53.75,53.8375,53.5,52.45555556,55,19.032458229345647,9.955915577133911,0.6707317073170732,0.6564236701550145,0.5416394290399138,0.7654007312649116,0.5077530006221005,0.7922913761230591,0.4777097903041119,0.8141136947569402,0.41928300893733744,0.8537365759977478,53.8,44.4,62.8,41.6,65.0,39.2,66.8,34.4,70.0,1,1,1,1
Brooklyn Nets,BRO,20.9,27.0,29.5,29,30,26.5,28.5,26.5,49,44,38,21,20,34.4,27.75,27.2375,28.5,28.03333333,28,9.409448808517315,18.91821717765689,0.34146341463414637,0.33217398081880783,0.2218688139465373,0.44784893785449725,0.19572444664368133,0.48259544789938924,0.1747713747744571,0.5127672709067409,0.1357715516492907,0.5693117308095272,27.2,18.2,36.7,16.0,39.6,14.3,42.0,11.1,46.7,1,1,1,1
Charlotte Hornets,CHA,42.2,43.5,44.1,38,43,42.5,42.5,42.5,21,43,33,48,36,36.2,42.5,42.2875,42.5,41.61111111,36,17.31503977659291,16.260680274973595,0.43902439024390244,0.5156091884956763,0.4050688343121264,0.62489671967946,0.37454456522808516,0.6550725501010708,0.34950438683226237,0.6801403519170325,0.2996790350024505,0.7273503714743683,42.3,33.2,51.2,30.7,53.7,28.7,55.8,24.6,59.6,1,1,1,1
Chicago Bulls,CHI,29.2,22.5,28.5,25,20,22.5,21.5,22.5,45,48,50,42,41,45.2,22.5,23.9625,22.5,26.32222222,27,7.50979315789066,18.188820882674143,0.32926829268292684,0.29175820164880456,0.181233805870398,0.4084807758329524,0.15659006408464116,0.4452813281602925,0.1362420145048922,0.47808136761939274,0.10318858068115841,0.5414111322697169,23.9,14.9,33.5,12.8,36.5,11.2,39.2,8.5,44.4,1,1,1,1
Cleveland Cavaliers,CLE,54.1,54.0,49.2,56,51,54.5,53.5,54.5,24,33,53,57,51,43.6,54.05,53.35,54.0,52.26666667,50,19.076552235950707,10.244484002998833,0.6097560975609756,0.6508019903535248,0.5374131130008423,0.7603491953069215,0.5033410043614381,0.7875627010412487,0.47417352921933775,0.8094792293960236,0.4180697106134218,0.8488504405727539,53.4,44.1,62.3,41.3,64.6,38.9,66.4,34.3,69.6,1,1,1,1
Dallas Mavericks,DAL,37.7,35.5,34.6,31,32,35.5,35.5,35.5,41,49,50,42,33,43.0,35.5,34.6625,35.5,35.58888889,24,13.721034638036029,18.73839097520463,0.2926829268292683,0.4231065775815732,0.3134751870506113,0.5350298912468093,0.28446554923371487,0.566465592601806,0.26026409750091517,0.5938593010533877,0.2173308049104009,0.6466262716916175,34.7,25.7,43.9,23.3,46.5,21.3,48.7,17.8,53.0,0,1,1,1
Denver Nuggets,DEN,41.4,45.5,47.2,44,44,43.5,45.5,43.5,57,36,30,33,40,39.2,44.0,44.325,44.0,43.75555556,46,18.000969993144828,15.300316852605334,0.5609756097560976,0.5404248775846384,0.42979436000451154,0.6508267400012989,0.39859031348923496,0.6796296457615022,0.3721730932305603,0.7039869703162774,0.32313899928630047,0.7507400184662413,44.3,35.2,53.4,32.7,55.7,30.5,57.7,26.5,61.6,1,1,1,1
Detroit Pistons,DET,43.3,38.5,35.1,39,37,38.5,38.5,38.5,29,29,32,44,37,34.2,38.5,38.55,38.5,38.06666667,39,15.72496060111839,17.723723427200884,0.47560975609756095,0.47018169385267583,0.3612853690304122,0.580783451503305,0.33174392128277036,0.6115332309644245,0.3061393109577361,0.6381013639694074,0.2577939256069645,0.6868368916678571,38.6,29.6,47.6,27.2,50.1,25.1,52.3,21.1,56.3,1,1,1,1
Golden State Warriors,GSW,66.3,67.5,62.1,65,69,67.5,67.5,67.5,47,51,67,73,67,61.0,67.5,66.55,67.5,65.93333333,58,13.954978588679193,3.2397358256212407,0.7073170731707317,0.811095638122715,0.6853547553566394,0.919600104107874,0.6408844105122956,0.9387941003153668,0.60017612050643,0.9526923694159517,0.520254312791902,0.9723933918519883,66.5,56.2,75.4,52.6,77.0,49.2,78.1,42.7,79.7,1,1,1,1
