xmlstatsTeamId,Abbr,Wins_20171017,Losses_20171017,Wins_20171018,Losses_20171018,Wins_20171019,Losses_20171019,Wins_20171020,Losses_20171020,Wins_20171021,Losses_20171021,Wins_20171022,Losses_20171022,Wins_20171023,Losses_20171023,Wins_20171024,Losses_20171024,Wins_20171025,Losses_20171025,Wins_20171026,Losses_20171026,Wins_20171027,Losses_20171027,Wins_20171028,Losses_20171028,Wins_20171029,Losses_20171029,Wins_20171030,Losses_20171030,Wins_20171031,Losses_20171031,Wins_20171101,Losses_20171101,Wins_20171102,Losses_20171102,Wins_20171103,Losses_20171103,Wins_20171104,Losses_20171104,Wins_20171105,Losses_20171105,Wins_20171106,Losses_20171106,Wins_20171107,Losses_20171107,Wins_20171108,Losses_20171108,Wins_20171109,Losses_20171109,Wins_20171110,Losses_20171110,Wins_20171111,Losses_20171111,Wins_20171112,Losses_20171112,Wins_20171113,Losses_20171113,Wins_20171114,Losses_20171114,Wins_20171115,Losses_20171115,Wins_20171116,Losses_20171116,Wins_20171117,Losses_20171117,Wins_20171118,Losses_20171118,Wins_20171119,Losses_20171119,Wins_20171120,Losses_20171120,Wins_20171121,Losses_20171121,Wins_20171122,Losses_20171122,Wins_20171123,Losses_20171123,Wins_20171124,Losses_20171124,Wins_20171125,Losses_20171125,Wins_20171126,Losses_20171126,Wins_20171127,Losses_20171127,Wins_20171128,Losses_20171128,Wins_20171129,Losses_20171129,Wins_20171130,Losses_20171130,Wins_20171201,Losses_20171201,Wins_20171202,Losses_20171202,Wins_20171203,Losses_20171203,Wins_20171204,Losses_20171204,Wins_20171205,Losses_20171205,Wins_20171206,Losses_20171206,Wins_20171207,Losses_20171207,Wins_20171208,Losses_20171208,Wins_20171209,Losses_20171209,Wins_20171210,Losses_20171210,Wins_20171211,Losses_20171211,Wins_20171212,Losses_20171212,Wins_20171213,Losses_20171213,Wins_20171214,Losses_20171214,Wins_20171215,Losses_20171215,Wins_20171216,Losses_20171216,Wins_20171217,Losses_20171217,Wins_20171218,Losses_20171218,Wins_20171219,Losses_20171219,Wins_20171220,Losses_20171220,Wins_20171221,Losses_20171221,Wins_20171222,Losses_20171222,Wins_20171223,Losses_20171223,Wins_20171224,Losses_20171224,Wins_20171225,Losses_20171225,Wins_20171226,Losses_20171226,Wins_20171227,Losses_20171227,Wins_20171228,Losses_20171228,Wins_20171229,Losses_20171229,Wins_20171230,Losses_20171230,Wins_20171231,Losses_20171231,Wins_20180101,Losses_20180101,Wins_20180102,Losses_20180102,Wins_20180103,Losses_20180103,Wins_20180104,Losses_20180104,Wins_20180105,Losses_20180105,Wins_20180106,Losses_20180106,Wins_20180107,Losses_20180107,Wins_20180108,Losses_20180108,Wins_20180109,Losses_20180109,Wins_20180110,Losses_20180110,Wins_20180111,Losses_20180111,Wins_20180112,Losses_20180112,Wins_20180113,Losses_20180113,Wins_20180114,Losses_20180114,Wins_20180115,Losses_20180115,Wins_20180116,Losses_20180116,Wins_20180117,Losses_20180117,Wins_20180118,Losses_20180118,Wins_20180119,Losses_20180119,Wins_20180120,Losses_20180120,Wins_20180121,Losses_20180121,Wins_20180122,Losses_20180122,Wins_20180123,Losses_20180123,Wins_20180124,Losses_20180124,Wins_20180125,Losses_20180125,Wins_20180126,Losses_20180126,Wins_20180127,Losses_20180127,Wins_20180128,Losses_20180128,Wins_20180129,Losses_20180129,Wins_20180130,Losses_20180130,Wins_20180131,Losses_20180131,Wins_20180201,Losses_20180201,Wins_20180202,Losses_20180202,Wins_20180203,Losses_20180203,Wins_20180204,Losses_20180204,Wins_20180205,Losses_20180205,Wins_20180206,Losses_20180206,Wins_20180207,Losses_20180207,Wins_20180208,Losses_20180208,Wins_20180209,Losses_20180209,Wins_20180210,Losses_20180210,Wins_20180211,Losses_20180211,Wins_20180212,Losses_20180212,Wins_20180213,Losses_20180213,Wins_20180214,Losses_20180214,Wins_20180215,Losses_20180215,Wins_20180216,Losses_20180216,Wins_20180217,Losses_20180217,Wins_20180218,Losses_20180218,Wins_20180219,Losses_20180219,Wins_20180220,Losses_20180220,Wins_20180221,Losses_20180221,Wins_20180222,Losses_20180222,Wins_20180223,Losses_20180223,Wins_20180224,Losses_20180224,Wins_20180225,Losses_20180225,Wins_20180226,Losses_20180226,Wins_20180227,Losses_20180227,Wins_20180228,Losses_20180228,Wins_20180301,Losses_20180301,Wins_20180302,Losses_20180302,Wins_20180303,Losses_20180303,Wins_20180304,Losses_20180304,Wins_20180305,Losses_20180305,Wins_20180306,Losses_20180306,Wins_20180307,Losses_20180307,Wins_20180308,Losses_20180308,Wins_20180309,Losses_20180309,Wins_20180310,Losses_20180310,Wins_20180311,Losses_20180311,Wins_20180312,Losses_20180312,Wins_20180313,Losses_20180313,Wins_20180314,Losses_20180314,Wins_20180315,Losses_20180315,Wins_20180316,Losses_20180316,Wins_20180317,Losses_20180317,Wins_20180318,Losses_20180318,Wins_20180319,Losses_20180319,Wins_20180320,Losses_20180320,Wins_20180321,Losses_20180321,Wins_20180322,Losses_20180322,Wins_20180323,Losses_20180323,Wins_20180324,Losses_20180324,Wins_20180325,Losses_20180325,Wins_20180326,Losses_20180326,Wins_20180327,Losses_20180327,Wins_20180328,Losses_20180328,Wins_20180329,Losses_20180329,Wins_20180330,Losses_20180330,Wins_20180331,Losses_20180331,Wins_20180401,Losses_20180401,Wins_20180402,Losses_20180402,Wins_20180403,Losses_20180403,Wins_20180404,Losses_20180404,Wins_20180405,Losses_20180405,Wins_20180406,Losses_20180406,Wins_20180407,Losses_20180407,Wins_20180408,Losses_20180408,Wins_20180409,Losses_20180409,Wins_20180410,Losses_20180410,Wins_20180411,Losses_20180411
atlanta-hawks,ATL,0,0,1,0,1,0,1,1,1,1,1,2,1,3,1,3,1,3,1,4,1,5,1,5,1,6,1,6,1,6,1,7,1,7,1,8,1,8,2,8,2,9,2,9,2,9,2,9,2,10,2,11,2,11,2,12,2,12,3,12,3,12,3,12,3,13,3,13,3,14,3,14,3,15,3,15,4,15,4,16,4,16,4,16,4,16,4,16,4,17,4,17,5,17,5,17,5,18,5,18,5,19,5,19,5,19,6,19,6,20,6,20,6,21,6,21,6,22,6,23,6,23,6,23,7,23,7,23,7,24,7,24,7,25,8,25,8,25,8,25,8,25,9,25,9,25,9,26,10,26,10,26,10,26,10,27,10,27,10,27,10,28,10,28,10,29,10,30,10,30,11,30,11,30,11,31,11,31,11,31,12,31,12,31,13,31,13,31,13,31,13,32,13,32,14,32,14,32,14,33,14,33,14,34,14,35,14,35,15,35,15,35,15,36,15,36,15,37,15,37,16,37,16,37,17,37,17,37,17,38,17,39,17,39,18,39,18,39,18,40,18,41,18,41,18,41,18,41,18,41,18,41,18,41,18,41,18,41,18,42,18,42,18,42,18,43,18,43,19,43,19,43,19,44,19,44,20,44,20,44,20,45,20,45,20,45,20,46,20,46,20,47,20,47,20,48,20,48,20,49,20,49,20,50,20,50,20,50,21,50,21,50,21,51,21,52,21,52,21,53,21,53,21,53,21,54,21,54,21,55,21,55,22,55,22,55,22,56,22,57,22,57,23,57,23,57,24,57,24,57,24,58,24,58
boston-celtics,BOS,0,1,0,2,0,2,1,2,1,2,1,2,1,2,2,2,2,2,3,2,3,2,4,2,4,2,5,2,5,2,6,2,6,2,7,2,7,2,8,2,9,2,9,2,10,2,10,2,11,2,11,2,12,2,12,2,13,2,13,2,14,2,14,2,15,2,15,2,16,2,16,2,16,3,16,3,17,3,18,3,18,3,18,4,18,4,18,4,19,4,19,4,20,4,20,4,21,4,21,4,22,4,22,4,22,5,22,5,23,5,23,6,23,6,24,6,24,6,24,7,25,7,25,7,26,7,26,7,26,8,26,9,26,9,27,9,27,9,27,10,27,10,28,10,29,10,29,10,29,10,30,10,30,10,30,10,31,10,31,10,32,10,33,10,33,10,33,10,33,10,33,10,34,10,34,10,34,10,34,10,34,10,34,11,34,11,34,12,34,12,34,12,34,13,34,13,34,14,35,14,35,14,35,14,35,15,35,15,36,15,36,15,37,15,37,15,38,15,38,15,39,15,39,15,39,16,39,16,40,16,40,17,40,17,40,18,40,18,40,18,40,19,40,19,40,19,40,19,40,19,40,19,40,19,40,19,40,19,41,19,42,19,42,19,43,19,43,19,44,19,44,19,44,19,44,20,44,20,45,20,45,20,45,20,46,20,46,20,46,20,46,21,46,21,46,21,46,22,46,22,47,22,47,22,47,23,47,23,48,23,48,23,48,23,49,23,49,23,50,23,51,23,51,23,52,23,52,23,52,23,53,23,53,23,53,23,53,24,53,25,53,25,54,25,54,25,54,26,54,26,54,27,55,27
brooklyn-nets,BRO,0,0,0,1,0,1,1,1,1,1,2,1,2,1,2,2,3,2,3,2,3,3,3,3,3,4,3,4,3,5,3,5,3,5,3,6,3,6,3,6,4,6,4,7,4,7,4,7,5,7,5,8,5,8,5,8,5,9,5,9,5,9,6,9,6,9,6,10,6,10,6,10,6,11,6,11,6,12,6,12,7,12,7,13,7,13,8,13,8,13,8,13,8,14,8,14,9,14,9,14,9,14,10,14,10,14,10,15,10,15,10,15,11,15,11,15,11,16,11,17,11,17,11,18,11,18,11,18,11,19,11,19,12,19,12,20,12,20,12,20,12,21,12,22,12,22,13,22,13,22,13,23,14,23,14,23,15,23,15,23,15,23,15,24,15,24,15,25,15,25,15,26,15,26,16,26,16,27,16,27,16,28,16,28,16,29,16,29,17,29,17,29,18,29,18,29,18,30,18,30,18,30,18,31,18,32,18,32,18,32,18,33,19,33,19,33,19,34,19,34,19,35,19,35,19,36,19,37,19,37,19,37,19,38,19,38,19,39,19,39,19,40,19,40,19,40,19,40,19,40,19,40,19,40,19,40,19,41,19,41,19,41,19,41,20,41,20,42,20,42,20,43,20,43,20,43,20,44,20,44,20,45,20,45,21,45,21,45,21,45,21,46,21,46,21,47,21,47,21,47,21,48,22,48,22,48,23,48,23,48,23,49,23,49,23,50,23,50,23,51,23,51,23,51,24,51,24,51,24,51,25,51,25,52,25,52,25,53,25,53,26,53,26,53,27,53,27,53,28,53,28,53,28,54
charlotte-hornets,CHA,0,0,0,1,0,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,3,2,3,3,3,4,3,4,3,5,3,5,3,5,4,5,4,5,5,5,5,5,6,5,6,5,6,5,7,5,7,5,7,5,7,5,7,5,8,5,8,5,9,6,9,6,9,7,9,7,9,8,9,8,9,8,10,8,11,8,11,8,11,8,11,8,12,8,12,8,13,8,13,8,13,9,13,9,13,9,14,9,14,9,15,9,16,9,16,10,16,10,16,10,17,10,17,10,18,10,19,10,19,11,19,11,19,11,20,11,20,11,21,12,21,12,21,12,21,12,21,12,22,12,22,13,22,13,22,13,23,13,23,14,23,14,23,14,23,15,23,15,23,15,23,15,23,15,23,15,24,15,24,16,24,16,25,16,25,17,25,17,25,18,25,18,25,18,25,18,26,18,26,19,26,19,26,19,27,19,27,20,27,20,28,20,28,20,29,20,29,21,29,21,29,22,29,22,29,23,29,23,30,23,30,23,30,23,31,23,32,23,32,23,33,23,33,23,33,24,33,24,33,24,33,24,33,24,33,24,33,24,33,24,33,25,33,26,33,26,33,27,33,27,33,28,33,28,34,28,34,28,35,28,35,28,36,28,36,28,37,28,37,28,38,28,38,29,38,29,38,29,38,29,39,29,39,30,39,30,39,30,40,30,40,30,41,30,41,31,41,32,41,32,41,33,41,33,41,34,41,34,41,34,42,34,42,34,42,34,43,34,44,34,44,34,45,34,45,34,45,35,45,35,45,35,46,35,46,36,46,36,46
chicago-bulls,CHI,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,3,0,3,1,3,1,3,1,4,1,4,1,4,1,4,1,5,1,5,2,5,2,6,2,6,2,6,2,7,2,7,2,7,2,8,2,9,2,9,2,9,2,9,2,10,2,10,3,10,3,10,3,11,3,11,3,12,3,13,3,13,3,14,3,14,3,15,3,15,3,16,3,16,3,17,3,18,3,18,3,18,3,19,3,19,3,20,3,20,4,20,5,20,5,20,6,20,6,20,7,20,7,20,8,20,8,20,8,20,9,20,9,20,10,20,10,21,10,21,10,22,10,22,10,22,11,22,12,22,12,22,13,22,13,22,13,23,13,24,13,24,13,25,13,25,14,25,14,26,14,26,14,27,14,27,15,27,15,27,15,27,16,27,16,27,17,27,17,27,17,28,17,28,17,28,18,28,18,28,18,29,18,29,18,30,18,30,18,31,18,31,18,32,18,32,18,32,18,33,18,33,18,33,18,34,18,34,18,35,18,35,18,35,18,35,19,35,19,36,19,36,20,36,20,36,20,37,20,37,20,37,20,37,20,37,20,37,20,37,20,37,20,38,20,38,20,39,20,39,20,40,20,41,20,41,20,41,21,41,21,41,21,41,21,42,21,42,22,42,22,42,22,43,22,43,23,43,23,43,23,44,23,44,24,44,24,44,24,45,24,45,24,46,24,46,24,47,24,47,24,48,24,49,24,49,24,49,24,50,24,50,24,51,25,51,25,51,26,51,26,51,27,51,27,51,27,51,27,52,27,53,27,53,27,54,27,54,27,55
cleveland-cavaliers,CLE,1,0,1,0,1,0,2,0,2,1,2,1,2,1,3,1,3,2,3,2,3,2,3,3,3,4,3,4,3,4,3,5,3,5,4,5,4,5,4,6,4,6,5,6,5,6,5,7,5,7,6,7,6,7,7,7,7,7,8,7,8,7,9,7,9,7,9,7,10,7,10,7,11,7,11,7,12,7,12,7,12,7,13,7,14,7,14,7,15,7,15,7,16,7,16,7,17,7,17,7,18,7,18,7,18,8,19,8,19,8,19,8,20,8,20,8,21,8,21,8,22,8,23,8,23,8,23,9,23,9,24,9,24,9,24,9,24,9,24,10,24,10,24,11,24,11,24,11,24,12,24,12,24,12,25,12,25,13,25,13,25,13,26,13,26,13,26,14,26,14,26,14,26,15,26,16,26,16,26,16,26,17,26,17,26,17,27,17,27,17,27,18,27,18,27,18,27,19,27,19,27,19,28,19,28,19,29,19,29,19,29,20,30,20,30,20,30,20,30,21,30,21,30,21,30,22,31,22,31,22,32,22,32,22,33,22,33,22,34,22,34,22,34,22,34,22,34,22,34,22,34,22,34,22,34,22,34,23,35,23,35,23,35,24,35,24,36,24,36,24,36,25,36,25,36,26,36,26,37,26,37,26,38,26,38,26,38,27,38,27,38,28,38,28,39,28,39,28,39,29,39,29,40,29,40,29,41,29,41,29,42,29,42,29,43,29,43,29,44,29,44,29,44,30,45,30,45,30,46,30,46,30,47,30,47,30,48,30,48,30,49,30,49,31,49,31,49,31,50,31,50,31,50,32
dallas-mavericks,DAL,0,0,0,1,0,1,0,2,0,3,0,3,0,4,0,4,1,4,1,5,1,5,1,6,1,6,1,7,1,7,1,8,1,8,1,9,1,10,1,10,1,10,2,10,2,10,2,10,2,10,2,11,2,12,2,12,2,13,2,13,2,13,2,14,3,14,3,14,3,15,3,15,4,15,4,15,4,15,5,15,5,15,5,16,5,16,5,17,5,17,5,17,6,17,6,17,7,17,7,17,7,18,7,18,7,19,7,19,7,20,7,20,8,20,8,20,8,21,8,21,8,22,8,22,8,23,8,23,9,23,9,23,9,24,9,25,9,25,9,25,10,25,11,25,11,25,12,25,12,25,13,25,13,25,13,25,13,26,13,26,13,27,13,27,13,28,13,28,14,28,15,28,15,28,15,28,15,29,15,29,15,29,15,30,15,30,15,30,15,30,15,31,15,31,16,31,16,31,16,32,16,32,16,33,16,34,16,34,16,35,16,35,16,36,16,36,16,36,17,36,17,36,17,37,17,37,17,37,17,38,17,38,18,38,18,39,18,39,18,40,18,40,18,40,18,40,18,40,18,40,18,40,18,40,18,40,18,40,18,41,18,42,18,42,19,42,19,42,19,43,19,43,19,44,19,44,19,45,19,45,20,45,20,45,20,45,20,45,21,45,21,46,21,46,22,46,22,46,22,46,22,47,22,48,22,48,22,48,22,49,22,49,22,50,22,50,22,51,22,51,22,51,23,51,23,52,23,52,23,53,23,53,23,54,23,54,24,54,24,55,24,55,24,56,24,56,24,57,24,57,24,58,24,58
denver-nuggets,DEN,0,0,0,1,0,1,0,1,1,1,1,1,1,2,1,2,1,3,1,3,2,3,2,3,3,3,3,4,3,4,4,4,4,4,5,4,5,5,5,5,5,5,6,5,6,5,7,5,7,5,8,5,8,5,8,6,8,6,8,6,8,6,9,6,9,6,9,7,10,7,10,7,10,8,10,8,11,8,11,8,11,8,11,8,11,9,11,9,12,9,12,9,13,9,13,9,13,10,13,10,13,11,13,11,14,11,14,11,14,12,14,12,15,12,15,13,15,13,16,13,16,13,16,13,16,14,16,14,16,15,16,15,17,15,18,15,18,15,18,15,19,15,19,16,19,16,19,16,19,17,19,17,19,17,19,17,20,17,20,17,21,17,21,18,21,18,21,19,21,19,21,20,21,20,22,20,22,21,22,21,22,21,23,21,23,22,23,22,23,23,23,23,23,23,24,23,24,23,24,23,25,23,25,23,26,23,26,23,26,24,26,25,26,25,27,25,27,25,28,25,28,25,29,25,29,25,29,25,29,25,29,26,30,26,30,26,30,26,31,26,31,26,32,26,32,26,32,26,32,26,32,26,32,26,32,26,32,26,33,26,33,26,33,27,33,27,33,28,33,28,33,28,34,28,35,28,35,28,35,28,35,29,35,30,35,30,36,30,36,30,37,30,37,30,37,31,37,31,38,31,38,31,38,32,38,32,38,33,38,33,39,33,39,33,40,33,40,33,40,33,40,34,40,35,40,35,40,35,41,35,41,35,42,35,42,35,43,35,43,35,44,35,44,35,45,35,45,35,46,35,46,35,46,36
detroit-pistons,DET,0,0,1,0,1,0,1,1,2,1,2,1,2,2,2,2,3,2,3,2,3,2,4,2,5,2,5,2,5,3,5,3,5,3,6,3,7,3,7,3,7,3,7,3,8,3,8,3,9,3,9,3,10,3,10,3,10,3,10,4,10,4,10,5,10,5,11,5,11,6,11,6,11,6,11,6,12,6,12,6,12,6,13,6,13,6,14,6,14,6,14,7,14,8,14,8,14,9,14,9,14,10,14,10,14,11,14,11,14,12,14,12,14,13,14,13,15,13,16,13,16,13,17,13,17,13,17,13,17,14,17,14,18,14,18,14,18,14,18,14,19,14,19,14,19,15,19,15,20,15,20,15,20,15,20,15,20,16,20,16,20,17,21,17,21,17,21,18,21,18,22,18,22,18,22,18,22,19,22,19,22,20,22,20,22,21,22,21,22,22,22,22,22,23,22,23,22,23,22,24,22,24,22,24,22,25,22,26,22,26,23,26,23,26,24,26,24,26,25,26,25,26,26,26,26,26,27,26,27,26,27,27,27,27,27,28,27,29,27,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,30,28,30,28,31,28,32,28,32,29,32,29,32,29,33,29,34,29,34,29,35,29,35,29,36,29,36,30,36,30,36,30,36,30,36,30,37,30,37,30,38,30,38,30,39,30,39,31,39,32,39,32,39,32,40,32,40,33,40,33,40,34,40,34,40,34,40,35,40,35,40,36,40,37,40,37,40,37,40,37,41,37,41,38,41,38,41,38,42,38,43,38,43,39,43
golden-state-warriors,GSW,0,1,0,1,0,1,1,1,1,2,1,2,2,2,2,2,3,2,3,2,4,2,4,2,4,3,5,3,5,3,5,3,6,3,6,3,7,3,7,3,8,3,8,3,9,3,9,3,9,3,10,3,10,3,11,3,11,3,11,3,11,4,11,4,12,4,13,4,13,4,13,4,13,5,13,5,14,5,15,5,15,5,15,6,15,6,16,6,16,6,17,6,17,6,18,6,19,6,19,6,20,6,20,6,21,6,21,6,21,6,22,6,22,6,22,6,23,6,23,6,23,6,23,6,24,6,24,6,25,6,25,6,26,6,26,7,26,7,27,7,27,7,28,7,28,7,28,8,29,8,29,8,29,8,29,8,30,8,31,8,31,8,32,8,32,8,33,8,33,8,33,9,33,9,34,9,35,9,35,9,36,9,36,9,37,9,37,9,37,9,37,10,37,10,37,10,38,10,38,10,39,10,39,10,40,10,40,10,40,10,40,11,40,11,40,11,41,11,41,12,41,12,41,12,41,13,41,13,42,13,42,13,43,13,43,13,44,13,44,13,44,14,44,14,44,14,44,14,44,14,44,14,44,14,44,14,45,14,45,14,46,14,46,14,47,14,47,14,48,14,48,14,49,14,49,14,49,14,49,14,50,14,50,14,51,14,51,15,51,15,51,16,51,16,51,16,52,16,52,16,52,17,53,17,53,17,53,18,53,18,53,18,53,18,54,18,54,18,54,19,54,19,54,20,54,20,54,21,54,21,55,21,56,21,56,21,57,21,57,21,57,22,57,22,57,23,58,23,58,23,58,24,58,24
