Teams,PlayoffOdds20181015,ExpectedWins20181015
HOU,0.97642,55.0
GSW,0.99613,63.0
POR,0.50052,42.0
OKC,0.84792,48.0
UTH,0.86225,49.0
NOP,0.70622,46.0
SAN,0.57549,44.0
MIN,0.5714,44.0
DEN,0.78642,47.0
LAC,0.16258,37.0
LAK,0.82151,48.0
SAC,0.00721,26.0
DAL,0.09485,34.0
MEM,0.07291,34.0
PHO,0.01817,29.0
TOR,0.99527,56.0
BOS,0.99826,59.0
PHI,0.99274,54.0
CLE,0.14084,30.0
IND,0.94446,48.0
MIA,0.77651,42.0
MIL,0.93437,47.0
WAS,0.86964,44.0
DET,0.52294,38.0
CHA,0.34416,36.0
NYK,0.0947,30.0
BRO,0.16414,32.0
CHI,0.07578,29.0
ORL,0.12777,31.0
ATL,0.01842,24.0
