Team,Abbr,Westgate_Current,BetOnline_Current,Westgate_Open,BetOnline_Open,OddsShark_Current,Oddshark_Open,ESPN,247Sports,CBS_SportsLine,2013_Wins,2014_Wins,2015_Wins,2016_Wins,2017_Wins,5Yr_Avg,Expert_Avg,Expert_Median,All_Avg,All_Median,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins
Atlanta Hawks,ATL,23.0,23.5,23.5,26.5,23.5,23.5,22,24.0,23.7,38,60,48,43,24,42.6,23.7,23.5,25.6,23.5,8.827330294536795,21.97441796725117,0.2865463489157459,0.18615799375271372,0.39289978530864095,0.16264222616251353,0.42667274144003087,0.14361472468912842,0.4548018346471137,0.11136760231093222,0.5130252791522579,23.5,15.3,32.2,13.3,35.0,11.8,37.3,9.1,42.1
Boston Celtics,BOS,59.5,58.5,57.5,58.5,58.5,57.5,58,59.0,56.8,25,40,48,53,55,44.2,58.2,58.5,56.8,58.3,21.974417967251174,8.827330294536798,0.7131397926480281,0.606397984175325,0.8129242581681602,0.5736940591754213,0.8365166744766855,0.5447211988860297,0.8554946125166533,0.4872105029791024,0.8886266339615787,58.5,49.7,66.7,47.0,68.6,44.7,70.2,40.0,72.9
Brooklyn Nets,BRO,32.0,31.5,32.5,28.5,32.0,32.5,32,32.0,33.7,44,38,21,20,28,30.2,31.9,32.0,31.7,32.0,15.033728794421853,23.490201241284144,0.3904396249654209,0.291220262939151,0.49246690817894584,0.2654860783743394,0.5211471855242552,0.2446703264188113,0.5459806692221978,0.20412276681707558,0.593746997352718,32.0,23.9,40.4,21.8,42.7,20.1,44.8,16.7,48.7
Charlotte Hornets,CHA,35.5,35.5,35.5,35.5,35.5,35.5,35,35.5,35.4,43,33,48,36,36,39.2,35.4,35.5,35.8,35.5,17.49486895195014,22.91581426100511,0.43247474191997176,0.33426021204438233,0.5323025173791996,0.30748447935208717,0.5609807602316713,0.28548033337151746,0.5857172727631675,0.2442064081736612,0.6327220108315914,35.5,27.4,43.6,25.2,46.0,23.4,48.0,20.0,51.9
Chicago Bulls,CHI,30.0,29.5,27.5,28.5,29.5,27.5,28,30.0,28.8,48,50,42,41,27,41.6,28.8,28.8,30.1,29.2,12.675552062808496,23.41456144935458,0.3510717518018696,0.2511826152185578,0.4537254301676096,0.22666901660506192,0.4841745652895385,0.20601929172850011,0.5108839767807354,0.1698277892612718,0.5642849148023067,28.8,20.6,37.2,18.6,39.7,16.9,41.9,13.9,46.3
Cleveland Cavaliers,CLE,31.5,30.5,30.5,31.5,30.5,30.5,31,30.5,30.4,33,53,57,51,50,48.8,30.8,30.5,32.6,30.5,13.934211155912958,23.528258181295648,0.3718430470703935,0.27296538390549957,0.4740237089506858,0.24747478770487358,0.5044548349989812,0.2269309951309975,0.5298856166828473,0.18772463969330985,0.5798458200925786,30.5,22.4,38.9,20.3,41.4,18.6,43.5,15.4,47.5
Dallas Mavericks,DAL,36.0,34.5,34.5,34.5,34.5,34.5,33,34.5,38.9,49,50,42,33,24,39.6,35.0,34.5,35.5,34.5,16.812138211167248,23.147146812476645,0.4211653252320318,0.32236199764600154,0.5221747691407694,0.2964916822595973,0.5509041687521333,0.2744379430101581,0.5752358952006431,0.2348523225322898,0.6240514813123982,34.5,26.4,42.8,24.3,45.2,22.5,47.2,19.3,51.2
Denver Nuggets,DEN,47.5,47.5,47.5,43.5,47.5,47.5,47,47.5,47.7,36,30,33,40,46,37.0,47.0,47.5,46.0,47.5,23.147146812476645,16.812138211167248,0.5793694610287442,0.47876461156877725,0.678835440617489,0.44998438325151763,0.7042799555920074,0.4248554602669522,0.7266674561604194,0.37706734051971447,0.7669863035835233,47.5,39.3,55.7,36.9,57.8,34.8,59.6,30.9,62.9
Detroit Pistons,DET,38.5,38.5,37.5,40.5,38.0,37.5,38,38.0,39.6,29,32,44,37,39,36.2,38.5,38.0,38.2,38.0,19.10112561110261,22.117092812855656,0.4637916266091239,0.3648376919004971,0.5630796063795498,0.3387160217420441,0.5908630554178815,0.31538010508286896,0.6146815472105961,0.27199772633087066,0.6624481463829521,38.0,29.9,46.2,27.8,48.5,25.9,50.4,22.3,54.3
Golden State Warriors,GSW,62.0,63.5,62.5,65.5,63.5,62.5,61,62.5,62.1,51,67,73,67,58,63.2,62.8,62.5,62.8,62.5,19.820581707248415,6.184021492661507,0.7623718048390807,0.6519826726595079,0.862794455782595,0.6169434853151353,0.8847326093453212,0.584412185738026,0.9014828071612845,0.5232931658887707,0.9296726143559771,62.5,53.5,70.7,50.6,72.5,47.9,73.9,42.9,76.2
