Team,Abbr,Westgate_Current,BetOnline_Current,Westgate_Open,BetOnline_Open,OddsShark_Current,Oddshark_Open,ESPN,247Sports,CBS_SportsLine,2013_Wins,2014_Wins,2015_Wins,2016_Wins,2017_Wins,5Yr_Avg,Expert_Avg,Expert_Median,All_Avg,All_Median
Atlanta Hawks,ATL,23,23.5,23.5,26.5,23.5,23.5,22,24,23.7,38,60,48,43,24,42.6,23.7,23.5,25.6,23.5
Boston Celtics,BOS,59.5,58.5,57.5,58.5,58.5,57.5,58,59,56.8,25,40,48,53,55,44.2,58.2,58.5,56.8,58.3
Brooklyn Nets,BRO,32,31.5,32.5,28.5,32,32.5,32,32,33.7,44,38,21,20,28,30.2,31.9,32,31.7,32
Charlotte Hornets,CHA,35.5,35.5,35.5,35.5,35.5,35.5,35,35.5,35.4,43,33,48,36,36,39.2,35.4,35.5,35.8,35.5
Chicago Bulls,CHI,30,29.5,27.5,28.5,29.5,27.5,28,30,28.8,48,50,42,41,27,41.6,28.8,28.8,30.1,29.2
Cleveland Cavaliers,CLE,31.5,30.5,30.5,31.5,30.5,30.5,31,30.5,30.4,33,53,57,51,50,48.8,30.8,30.5,32.6,30.5
Dallas Mavericks,DAL,36,34.5,34.5,34.5,34.5,34.5,33,34.5,38.9,49,50,42,33,24,39.6,35,34.5,35.5,34.5
Denver Nuggets,DEN,47.5,47.5,47.5,43.5,47.5,47.5,47,47.5,47.7,36,30,33,40,46,37,47,47.5,46,47.5
Detroit Pistons,DET,38.5,38.5,37.5,40.5,38,37.5,38,38,39.6,29,32,44,37,39,36.2,38.5,38,38.2,38
Golden State Warriors,GSW,62,63.5,62.5,65.5,63.5,62.5,61,62.5,62.1,51,67,73,67,58,63.2,62.8,62.5,62.8,62.5
Houston Rockets,HOU,57,55.5,54.5,60.5,55.5,54.5,57,56,53.3,54,56,41,55,65,54.2,56,55.5,55.8,55.5
Indiana Pacers,IND,48,47.5,47.5,45.5,47.5,47.5,47,48,49.4,56,38,45,42,48,45.8,47.5,47.5,47.4,47.5
Los Angeles Clippers,LAC,37.5,36.5,35.5,42.5,36.5,35.5,35,36.5,21.8,57,56,53,51,42,51.8,35.3,36.5,36.9,36.5
Los Angeles Lakers,LAK,48,48.5,48.5,50.5,48.5,48.5,46,48,50.2,27,21,17,26,35,25.2,48.5,48.5,46.2,48.5
Memphis Grizzlies,MEM,33.5,34.5,34.5,32.5,33.5,34.5,33,33,34.8,50,55,42,43,22,42.4,33.8,33.5,34.6,34
Miami Heat,MIA,43.5,42.5,41.5,41.5,42,41.5,43,41.5,43,54,37,48,41,44,44.8,42.2,42,42.5,42.3
Milwaukee Bucks,MIL,48.5,47.5,46.5,45.5,48,46.5,47,47.5,41.6,15,41,33,42,44,35,46.5,47,45.4,46.8
Minnesota Timberwolves,MIN,41.5,41.5,44.5,42.5,42.5,44.5,45,45,43.6,40,16,29,31,47,32.6,43.4,43.6,42.3,43.1
New Orleans Pelicans,NOP,45.5,45.5,45.5,42.5,45.5,45.5,45,46,46.9,34,45,30,34,48,38.2,45.3,45.5,44.6,45.5
New York Knicks,NYK,27.5,28.5,29.5,35.5,29.5,29.5,28,28.5,33.5,37,17,32,31,29,29.2,30,29.5,29.9,29.4
Oklahoma City Thunder,OKC,48.5,48.5,50.5,47.5,48.5,50.5,49,48.5,48.2,59,45,55,47,48,50.8,48.9,48.5,49.1,48.5
Orlando Magic,ORL,30.5,30.5,31.5,30.5,31,31.5,30,31,32.1,23,25,35,29,25,27.4,31,31,30.6,30.8
Philadelphia 76ers,PHI,54,53.5,54.5,48.5,53.5,54.5,53,54.5,54,19,18,10,28,52,25.4,53.3,54,50.5,53.8
Phoenix Suns,PHO,29,29.5,28.5,27.5,29.5,28.5,27,29,28.6,48,39,23,24,21,31,28.6,28.6,28.8,28.8
Portland Trail Blazers,POR,42,42.5,41.5,41.5,42,41.5,43,42,41.1,54,51,44,41,49,47.8,41.9,42,42.5,42
Sacramento Kings,SAC,26,25.5,25.5,27.5,26,25.5,24,25.5,25.7,28,29,33,32,27,29.8,25.7,25.5,26.1,25.6
San Antonio Spurs,SAN,42.5,43.5,43.5,42.5,44.5,43.5,44,45,47.1,62,55,67,61,47,58.4,44,43.5,45.5,43.8
Toronto Raptors,TOR,55.5,55.5,54.5,50.5,55.5,54.5,55,55.5,58.7,48,49,56,51,59,52.6,55,55.5,54.8,55.3
Utah Jazz,UTH,50,49.5,48.5,44.5,49.5,48.5,49,49.5,47.6,25,38,40,51,48,40.4,48.5,49,47.7,48.8
Washington Wizards,WAS,46,45.5,44.5,44.5,44.5,44.5,44,44.5,39.3,44,46,41,49,43,44.6,44.1,44.5,44.2,44.5
