start_time,away_team,away_team_score,home_team,home_team_score
2018-10-17 00:00:00+00:00,PHILADELPHIA 76ERS,87,BOSTON CELTICS,105
2018-10-17 02:30:00+00:00,OKLAHOMA CITY THUNDER,100,GOLDEN STATE WARRIORS,108
2018-10-17 23:00:00+00:00,MILWAUKEE BUCKS,113,CHARLOTTE HORNETS,112
2018-10-17 23:00:00+00:00,BROOKLYN NETS,100,DETROIT PISTONS,103
2018-10-18 00:00:00+00:00,NEW ORLEANS PELICANS,131,HOUSTON ROCKETS,112
2018-10-17 23:00:00+00:00,MEMPHIS GRIZZLIES,83,INDIANA PACERS,111
2018-10-18 02:30:00+00:00,DENVER NUGGETS,107,LOS ANGELES CLIPPERS,98
2018-10-17 23:30:00+00:00,ATLANTA HAWKS,107,NEW YORK KNICKS,126
2018-10-17 23:00:00+00:00,MIAMI HEAT,101,ORLANDO MAGIC,104
2018-10-18 02:30:00+00:00,DALLAS MAVERICKS,100,PHOENIX SUNS,121
2018-10-18 02:00:00+00:00,UTAH JAZZ,123,SACRAMENTO KINGS,117
2018-10-18 00:30:00+00:00,MINNESOTA TIMBERWOLVES,108,SAN ANTONIO SPURS,112
2018-10-17 23:30:00+00:00,CLEVELAND CAVALIERS,104,TORONTO RAPTORS,116
2018-10-19 00:00:00+00:00,CHICAGO BULLS,108,PHILADELPHIA 76ERS,127
2018-10-19 02:30:00+00:00,LOS ANGELES LAKERS,119,PORTLAND TRAIL BLAZERS,128
2018-10-19 00:00:00+00:00,MIAMI HEAT,113,WASHINGTON WIZARDS,112
2018-10-19 23:30:00+00:00,NEW YORK KNICKS,105,BROOKLYN NETS,107
2018-10-20 02:30:00+00:00,OKLAHOMA CITY THUNDER,92,LOS ANGELES CLIPPERS,108
2018-10-20 00:00:00+00:00,ATLANTA HAWKS,117,MEMPHIS GRIZZLIES,131
2018-10-20 00:30:00+00:00,INDIANA PACERS,101,MILWAUKEE BUCKS,118
2018-10-20 00:00:00+00:00,CLEVELAND CAVALIERS,123,MINNESOTA TIMBERWOLVES,131
2018-10-20 00:00:00+00:00,SACRAMENTO KINGS,129,NEW ORLEANS PELICANS,149
2018-10-19 23:00:00+00:00,CHARLOTTE HORNETS,120,ORLANDO MAGIC,88
2018-10-20 00:00:00+00:00,BOSTON CELTICS,101,TORONTO RAPTORS,113
2018-10-20 02:30:00+00:00,GOLDEN STATE WARRIORS,124,UTAH JAZZ,123
2018-10-21 00:00:00+00:00,DETROIT PISTONS,118,CHICAGO BULLS,116
2018-10-21 00:30:00+00:00,MINNESOTA TIMBERWOLVES,136,DALLAS MAVERICKS,140
2018-10-21 01:00:00+00:00,PHOENIX SUNS,91,DENVER NUGGETS,119
2018-10-20 23:00:00+00:00,BROOKLYN NETS,112,INDIANA PACERS,132
2018-10-21 02:30:00+00:00,HOUSTON ROCKETS,124,LOS ANGELES LAKERS,115
2018-10-21 00:00:00+00:00,CHARLOTTE HORNETS,113,MIAMI HEAT,112
2018-10-20 23:30:00+00:00,BOSTON CELTICS,103,NEW YORK KNICKS,101
2018-10-20 23:30:00+00:00,ORLANDO MAGIC,115,PHILADELPHIA 76ERS,116
2018-10-21 02:00:00+00:00,SAN ANTONIO SPURS,108,PORTLAND TRAIL BLAZERS,121
2018-10-20 23:00:00+00:00,TORONTO RAPTORS,117,WASHINGTON WIZARDS,113
2018-10-21 22:00:00+00:00,ATLANTA HAWKS,133,CLEVELAND CAVALIERS,111
2018-10-22 00:00:00+00:00,GOLDEN STATE WARRIORS,98,DENVER NUGGETS,100
2018-10-22 01:00:00+00:00,HOUSTON ROCKETS,112,LOS ANGELES CLIPPERS,115
2018-10-21 23:00:00+00:00,SACRAMENTO KINGS,131,OKLAHOMA CITY THUNDER,120
2018-10-22 23:30:00+00:00,ORLANDO MAGIC,93,BOSTON CELTICS,90
2018-10-23 00:30:00+00:00,CHICAGO BULLS,109,DALLAS MAVERICKS,115
2018-10-23 02:30:00+00:00,PHOENIX SUNS,103,GOLDEN STATE WARRIORS,123
2018-10-23 02:30:00+00:00,SAN ANTONIO SPURS,143,LOS ANGELES LAKERS,142
2018-10-23 00:00:00+00:00,NEW YORK KNICKS,113,MILWAUKEE BUCKS,124
2018-10-23 00:00:00+00:00,INDIANA PACERS,91,MINNESOTA TIMBERWOLVES,101
2018-10-23 02:00:00+00:00,WASHINGTON WIZARDS,125,PORTLAND TRAIL BLAZERS,124
2018-10-22 23:30:00+00:00,CHARLOTTE HORNETS,106,TORONTO RAPTORS,127
2018-10-23 01:00:00+00:00,MEMPHIS GRIZZLIES,92,UTAH JAZZ,84
2018-10-24 01:00:00+00:00,SACRAMENTO KINGS,112,DENVER NUGGETS,126
2018-10-23 23:00:00+00:00,PHILADELPHIA 76ERS,132,DETROIT PISTONS,133
2018-10-24 00:00:00+00:00,LOS ANGELES CLIPPERS,109,NEW ORLEANS PELICANS,116
2018-10-24 23:00:00+00:00,DALLAS MAVERICKS,104,ATLANTA HAWKS,111
2018-10-25 00:00:00+00:00,CHARLOTTE HORNETS,110,CHICAGO BULLS,112
2018-10-24 23:00:00+00:00,BROOKLYN NETS,102,CLEVELAND CAVALIERS,86
2018-10-25 02:30:00+00:00,WASHINGTON WIZARDS,122,GOLDEN STATE WARRIORS,144
2018-10-25 00:00:00+00:00,UTAH JAZZ,100,HOUSTON ROCKETS,89
2018-10-24 23:30:00+00:00,NEW YORK KNICKS,87,MIAMI HEAT,110
2018-10-25 01:30:00+00:00,PHILADELPHIA 76ERS,108,MILWAUKEE BUCKS,123
2018-10-25 02:00:00+00:00,LOS ANGELES LAKERS,131,PHOENIX SUNS,113
2018-10-25 02:00:00+00:00,MEMPHIS GRIZZLIES,92,SACRAMENTO KINGS,97
2018-10-25 00:30:00+00:00,INDIANA PACERS,116,SAN ANTONIO SPURS,96
2018-10-24 23:30:00+00:00,MINNESOTA TIMBERWOLVES,105,TORONTO RAPTORS,112
2018-10-25 23:00:00+00:00,CLEVELAND CAVALIERS,103,DETROIT PISTONS,110
2018-10-26 02:30:00+00:00,DENVER NUGGETS,114,LOS ANGELES LAKERS,121
2018-10-26 00:00:00+00:00,BOSTON CELTICS,101,OKLAHOMA CITY THUNDER,95
2018-10-25 23:00:00+00:00,PORTLAND TRAIL BLAZERS,128,ORLANDO MAGIC,114
2018-10-26 23:00:00+00:00,CHICAGO BULLS,106,CHARLOTTE HORNETS,135
2018-10-27 00:00:00+00:00,LOS ANGELES CLIPPERS,133,HOUSTON ROCKETS,113
2018-10-27 00:00:00+00:00,MILWAUKEE BUCKS,125,MINNESOTA TIMBERWOLVES,95
2018-10-27 00:00:00+00:00,BROOKLYN NETS,115,NEW ORLEANS PELICANS,117
2018-10-26 23:30:00+00:00,GOLDEN STATE WARRIORS,128,NEW YORK KNICKS,100
2018-10-27 02:00:00+00:00,WASHINGTON WIZARDS,112,SACRAMENTO KINGS,116
2018-10-26 23:30:00+00:00,DALLAS MAVERICKS,107,TORONTO RAPTORS,116
2018-10-27 23:30:00+00:00,CHICAGO BULLS,97,ATLANTA HAWKS,85
2018-10-27 23:30:00+00:00,INDIANA PACERS,119,CLEVELAND CAVALIERS,107
2018-10-27 23:00:00+00:00,BOSTON CELTICS,109,DETROIT PISTONS,89
2018-10-28 00:00:00+00:00,PHOENIX SUNS,96,MEMPHIS GRIZZLIES,117
2018-10-28 00:00:00+00:00,PORTLAND TRAIL BLAZERS,111,MIAMI HEAT,120
2018-10-28 00:30:00+00:00,ORLANDO MAGIC,91,MILWAUKEE BUCKS,113
2018-10-27 23:00:00+00:00,UTAH JAZZ,132,NEW ORLEANS PELICANS,111
2018-10-27 23:30:00+00:00,CHARLOTTE HORNETS,103,PHILADELPHIA 76ERS,105
2018-10-28 00:30:00+00:00,LOS ANGELES LAKERS,106,SAN ANTONIO SPURS,110
2018-10-28 21:00:00+00:00,GOLDEN STATE WARRIORS,120,BROOKLYN NETS,114
2018-10-28 23:00:00+00:00,UTAH JAZZ,113,DALLAS MAVERICKS,104
2018-10-29 01:30:00+00:00,WASHINGTON WIZARDS,104,LOS ANGELES CLIPPERS,136
2018-10-28 23:00:00+00:00,PHOENIX SUNS,110,OKLAHOMA CITY THUNDER,117
2018-10-30 00:00:00+00:00,GOLDEN STATE WARRIORS,149,CHICAGO BULLS,124
2018-10-30 01:00:00+00:00,NEW ORLEANS PELICANS,111,DENVER NUGGETS,116
2018-10-29 23:00:00+00:00,PORTLAND TRAIL BLAZERS,103,INDIANA PACERS,93
2018-10-29 23:30:00+00:00,SACRAMENTO KINGS,123,MIAMI HEAT,113
2018-10-30 00:00:00+00:00,TORONTO RAPTORS,109,MILWAUKEE BUCKS,124
2018-10-30 00:00:00+00:00,LOS ANGELES LAKERS,120,MINNESOTA TIMBERWOLVES,124
2018-10-29 23:30:00+00:00,BROOKLYN NETS,96,NEW YORK KNICKS,115
2018-10-29 23:00:00+00:00,ATLANTA HAWKS,92,PHILADELPHIA 76ERS,113
2018-10-30 00:30:00+00:00,DALLAS MAVERICKS,108,SAN ANTONIO SPURS,113
2018-10-30 23:30:00+00:00,DETROIT PISTONS,105,BOSTON CELTICS,108
2018-10-30 23:00:00+00:00,MIAMI HEAT,113,CHARLOTTE HORNETS,125
2018-10-30 23:00:00+00:00,ATLANTA HAWKS,114,CLEVELAND CAVALIERS,136
2018-10-31 00:00:00+00:00,PORTLAND TRAIL BLAZERS,104,HOUSTON ROCKETS,85
2018-10-31 00:00:00+00:00,WASHINGTON WIZARDS,95,MEMPHIS GRIZZLIES,107
2018-10-31 00:00:00+00:00,LOS ANGELES CLIPPERS,110,OKLAHOMA CITY THUNDER,128
2018-10-30 23:00:00+00:00,SACRAMENTO KINGS,107,ORLANDO MAGIC,99
2018-10-30 23:30:00+00:00,PHILADELPHIA 76ERS,112,TORONTO RAPTORS,129
2018-10-31 23:30:00+00:00,DETROIT PISTONS,119,BROOKLYN NETS,120
2018-11-01 00:00:00+00:00,DENVER NUGGETS,108,CHICAGO BULLS,107
2018-11-01 02:30:00+00:00,NEW ORLEANS PELICANS,121,GOLDEN STATE WARRIORS,131
2018-11-01 02:30:00+00:00,DALLAS MAVERICKS,113,LOS ANGELES LAKERS,114
2018-11-01 00:00:00+00:00,UTAH JAZZ,125,MINNESOTA TIMBERWOLVES,128
2018-11-01 00:00:00+00:00,INDIANA PACERS,107,NEW YORK KNICKS,101
2018-11-01 02:30:00+00:00,SAN ANTONIO SPURS,120,PHOENIX SUNS,90
2018-11-01 23:30:00+00:00,SACRAMENTO KINGS,146,ATLANTA HAWKS,115
2018-11-02 00:00:00+00:00,MILWAUKEE BUCKS,113,BOSTON CELTICS,117
2018-11-01 23:00:00+00:00,OKLAHOMA CITY THUNDER,111,CHARLOTTE HORNETS,107
2018-11-01 23:00:00+00:00,DENVER NUGGETS,110,CLEVELAND CAVALIERS,91
2018-11-01 23:00:00+00:00,LOS ANGELES CLIPPERS,113,PHILADELPHIA 76ERS,122
2018-11-02 02:30:00+00:00,NEW ORLEANS PELICANS,119,PORTLAND TRAIL BLAZERS,132
2018-11-02 23:30:00+00:00,HOUSTON ROCKETS,119,BROOKLYN NETS,111
2018-11-03 00:00:00+00:00,INDIANA PACERS,107,CHICAGO BULLS,105
2018-11-03 00:30:00+00:00,NEW YORK KNICKS,118,DALLAS MAVERICKS,106
