Teams,PlayoffOdds20181015,ExpectedWins20181015,PlayoffOdds20181016,ExpectedWins20181016,PlayoffOdds20181017,ExpectedWins20181017,PlayoffOdds20181018,ExpectedWins20181018,PlayoffOdds20181019,ExpectedWins20181019,PlayoffOdds20181020,ExpectedWins20181020,PlayoffOdds20181021,ExpectedWins20181021,PlayoffOdds20181022,ExpectedWins20181022,PlayoffOdds20181023,ExpectedWins20181023,PlayoffOdds20181024,ExpectedWins20181024,PlayoffOdds20181025,ExpectedWins20181025,PlayoffOdds20181026,ExpectedWins20181026,PlayoffOdds20181027,ExpectedWins20181027,PlayoffOdds20181028,ExpectedWins20181028,PlayoffOdds20181029,ExpectedWins20181029,PlayoffOdds20181030,ExpectedWins20181030,PlayoffOdds20181031,ExpectedWins20181031,PlayoffOdds20181101,ExpectedWins20181101,PlayoffOdds20181102,ExpectedWins20181102,PlayoffOdds20181103,ExpectedWins20181103,PlayoffOdds20181104,ExpectedWins20181104,PlayoffOdds20181105,ExpectedWins20181105,PlayoffOdds20181106,ExpectedWins20181106,PlayoffOdds20181107,ExpectedWins20181107,PlayoffOdds20181108,ExpectedWins20181108,PlayoffOdds20181109,ExpectedWins20181109,PlayoffOdds20181110,ExpectedWins20181110,PlayoffOdds20181111,ExpectedWins20181111,PlayoffOdds20181112,ExpectedWins20181112,PlayoffOdds20181113,ExpectedWins20181113,PlayoffOdds20181114,ExpectedWins20181114,PlayoffOdds20181115,ExpectedWins20181115,PlayoffOdds20181116,ExpectedWins20181116,PlayoffOdds20181117,ExpectedWins20181117,PlayoffOdds20181118,ExpectedWins20181118,PlayoffOdds20181119,ExpectedWins20181119,PlayoffOdds20181120,ExpectedWins20181120,PlayoffOdds20181121,ExpectedWins20181121,PlayoffOdds20181122,ExpectedWins20181122,PlayoffOdds20181123,ExpectedWins20181123,PlayoffOdds20181124,ExpectedWins20181124,PlayoffOdds20181125,ExpectedWins20181125,PlayoffOdds20181126,ExpectedWins20181126,PlayoffOdds20181127,ExpectedWins20181127,PlayoffOdds20181128,ExpectedWins20181128,PlayoffOdds20181129,ExpectedWins20181129,PlayoffOdds20181130,ExpectedWins20181130,PlayoffOdds20181201,ExpectedWins20181201,PlayoffOdds20181202,ExpectedWins20181202,PlayoffOdds20181203,ExpectedWins20181203,PlayoffOdds20181204,ExpectedWins20181204,PlayoffOdds20181205,ExpectedWins20181205,PlayoffOdds20181206,ExpectedWins20181206,PlayoffOdds20181207,ExpectedWins20181207,PlayoffOdds20181208,ExpectedWins20181208,PlayoffOdds20181209,ExpectedWins20181209,PlayoffOdds20181210,ExpectedWins20181210,PlayoffOdds20181211,ExpectedWins20181211,PlayoffOdds20181212,ExpectedWins20181212,PlayoffOdds20181213,ExpectedWins20181213,PlayoffOdds20181214,ExpectedWins20181214,PlayoffOdds20181215,ExpectedWins20181215,PlayoffOdds20181216,ExpectedWins20181216,PlayoffOdds20181217,ExpectedWins20181217,PlayoffOdds20181218,ExpectedWins20181218,PlayoffOdds20181219,ExpectedWins20181219,PlayoffOdds20181220,ExpectedWins20181220,PlayoffOdds20181221,ExpectedWins20181221,PlayoffOdds20181222,ExpectedWins20181222,PlayoffOdds20181223,ExpectedWins20181223,PlayoffOdds20181224,ExpectedWins20181224,PlayoffOdds20181225,ExpectedWins20181225,PlayoffOdds20181226,ExpectedWins20181226,PlayoffOdds20181227,ExpectedWins20181227,PlayoffOdds20181228,ExpectedWins20181228,PlayoffOdds20181229,ExpectedWins20181229,PlayoffOdds20181230,ExpectedWins20181230,PlayoffOdds20181231,ExpectedWins20181231,PlayoffOdds20190101,ExpectedWins20190101,PlayoffOdds20190102,ExpectedWins20190102,PlayoffOdds20190103,ExpectedWins20190103,PlayoffOdds20190104,ExpectedWins20190104,PlayoffOdds20190105,ExpectedWins20190105,PlayoffOdds20190106,ExpectedWins20190106,PlayoffOdds20190107,ExpectedWins20190107,PlayoffOdds20190108,ExpectedWins20190108,PlayoffOdds20190109,ExpectedWins20190109,PlayoffOdds20190110,ExpectedWins20190110,PlayoffOdds20190111,ExpectedWins20190111
HOU,0.9764200000000001,55.0,0.9764200000000001,55.0,0.9774,55.0,0.95993,53.0,0.95993,53.0,0.9565799999999999,53.0,0.96468,54.0,0.95245,52.0,0.9518200000000001,52.0,0.9524299999999999,52.0,0.93015,51.0,0.9286200000000001,51.0,0.88545,49.0,0.8852200000000001,49.0,0.87571,49.0,0.86966,49.0,0.79066,47.0,0.77949,47.0,0.7800199999999999,47.0,0.79465,47.0,0.82834,48.0,0.8465299999999999,48.0,0.87502,48.0,0.87213,48.0,0.86364,48.0,0.7916300000000001,46.0,0.7914399999999999,46.0,0.70089,45.0,0.7538600000000001,46.0,0.73457,46.0,0.78388,47.0,0.80698,47.0,0.87229,48.0,0.87155,48.0,0.91354,49.0,0.9032100000000001,49.0,0.90879,49.0,0.9131100000000001,49.0,0.9310700000000001,50.0,0.9310700000000001,50.0,0.9092600000000001,49.0,0.8734,48.0,0.87284,48.0,0.84778,47.0,0.8595799999999999,47.0,0.73842,45.0,0.72692,45.0,0.84525,47.0,0.8985200000000001,48.0,0.90186,48.0,0.84688,47.0,0.84229,47.0,0.82715,47.0,0.6752199999999999,45.0,0.6806300000000001,45.0,0.63281,44.0,0.63241,44.0,0.6522899999999999,44.0,0.72246,45.0,0.70136,45.0,0.7915,45.0,0.78961,45.0,0.8611200000000001,46.0,0.8725,46.0,0.9002,47.0,0.90449,47.0,0.94158,47.0,0.9147799999999999,47.0,0.91766,47.0,0.94606,47.0,0.94963,47.0,0.94963,47.0,0.9636899999999999,48.0,0.9559200000000001,48.0,0.97772,48.0,0.9787899999999999,48.0,0.98725,49.0,0.98265,49.0,0.99118,49.0,0.99229,49.0,0.99361,49.0,0.99577,50.0,0.99472,50.0,0.9869700000000001,49.0,0.98551,49.0,0.99156,49.0,0.99048,49.0,0.97359,49.0,0.97675,49.0
GSW,0.99613,63.0,0.99613,63.0,0.9972799999999999,63.0,0.9971200000000001,63.0,0.99697,63.0,0.99708,62.0,0.99724,62.0,0.9956299999999999,61.0,0.998,62.0,0.9982200000000001,62.0,0.99918,63.0,0.9990899999999999,63.0,0.99979,64.0,0.99974,64.0,0.99975,65.0,0.99989,65.0,0.9999100000000001,65.0,0.9999299999999999,66.0,0.9999,66.0,0.9999899999999999,66.0,0.9999399999999999,66.0,0.9999899999999999,66.0,0.99998,66.0,0.99998,66.0,0.9999899999999999,66.0,0.9999600000000001,65.0,0.99998,65.0,1.0,65.0,0.9999899999999999,65.0,1.0,64.0,0.99998,64.0,1.0,64.0,0.99995,62.0,0.9999299999999999,62.0,0.99982,61.0,0.99954,59.0,0.99961,59.0,0.9994700000000001,59.0,0.9984700000000001,57.0,0.9984700000000001,57.0,0.9996,58.0,0.99979,58.0,0.99976,58.0,0.99992,59.0,0.9999,59.0,0.9998799999999999,59.0,0.9997,57.0,0.99964,57.0,0.99931,56.0,0.99934,56.0,0.99976,57.0,0.99976,57.0,0.99992,58.0,0.99992,58.0,0.99995,58.0,0.9999899999999999,58.0,0.99997,58.0,1.0,58.0,0.9999899999999999,58.0,0.9999399999999999,57.0,0.99997,57.0,0.99997,57.0,0.9999899999999999,57.0,0.9999899999999999,57.0,1.0,58.0,1.0,58.0,1.0,57.0,0.99998,57.0,0.99998,57.0,1.0,57.0,1.0,57.0,1.0,57.0,0.9999899999999999,56.0,0.99997,56.0,0.99997,55.0,1.0,55.0,1.0,55.0,0.9999899999999999,55.0,1.0,56.0,0.9999899999999999,56.0,1.0,56.0,1.0,55.0,1.0,55.0,1.0,55.0,1.0,55.0,1.0,55.0,1.0,56.0,1.0,56.0,1.0,56.0
POR,0.50052,42.0,0.50052,42.0,0.50666,42.0,0.5031899999999999,42.0,0.5676100000000001,43.0,0.5577300000000001,43.0,0.6442,44.0,0.64718,44.0,0.61161,44.0,0.61005,44.0,0.62697,44.0,0.69821,45.0,0.7127899999999999,45.0,0.65349,44.0,0.6303300000000001,44.0,0.6915600000000001,45.0,0.77213,46.0,0.7571100000000001,46.0,0.81445,47.0,0.8036399999999999,47.0,0.77308,46.0,0.87729,48.0,0.88786,48.0,0.9198299999999999,49.0,0.91165,49.0,0.94145,50.0,0.9409,50.0,0.93017,50.0,0.94704,50.0,0.94091,50.0,0.9393100000000001,50.0,0.92905,49.0,0.92604,49.0,0.88879,48.0,0.8760399999999999,48.0,0.89641,49.0,0.9032600000000001,49.0,0.9271799999999999,49.0,0.8496,47.0,0.8496,47.0,0.7578,46.0,0.7697,46.0,0.7133,45.0,0.73938,45.0,0.75689,45.0,0.7727,46.0,0.76134,46.0,0.7118399999999999,45.0,0.7179,45.0,0.6291399999999999,44.0,0.62702,44.0,0.52281,43.0,0.49883999999999995,43.0,0.61123,44.0,0.61961,44.0,0.72519,45.0,0.72713,45.0,0.7458199999999999,45.0,0.67757,44.0,0.56096,43.0,0.57289,43.0,0.64973,44.0,0.68686,44.0,0.70749,44.0,0.76095,45.0,0.77098,45.0,0.82125,45.0,0.82076,45.0,0.69155,44.0,0.6953199999999999,44.0,0.7771100000000001,44.0,0.7771100000000001,44.0,0.64568,43.0,0.60359,43.0,0.69205,44.0,0.69868,44.0,0.6019899999999999,43.0,0.7397199999999999,44.0,0.74021,44.0,0.8351,45.0,0.85098,45.0,0.8447899999999999,45.0,0.75927,44.0,0.80671,45.0,0.79609,45.0,0.8577,46.0,0.83609,46.0,0.87324,46.0,0.88383,46.0
OKC,0.8479200000000001,48.0,0.8479200000000001,48.0,0.80386,47.0,0.8035899999999999,47.0,0.80089,47.0,0.7119800000000001,46.0,0.72305,46.0,0.65253,44.0,0.6509199999999999,44.0,0.6473899999999999,44.0,0.66282,44.0,0.58658,43.0,0.60239,43.0,0.60143,43.0,0.62164,44.0,0.61127,44.0,0.6987399999999999,45.0,0.68218,45.0,0.72215,46.0,0.8102,47.0,0.8132699999999999,47.0,0.83325,47.0,0.87502,48.0,0.87265,48.0,0.8975700000000001,49.0,0.9408799999999999,50.0,0.9407700000000001,50.0,0.8889100000000001,48.0,0.8821100000000001,48.0,0.9176799999999999,50.0,0.9164200000000001,50.0,0.96206,51.0,0.9591700000000001,51.0,0.9578399999999999,51.0,0.96715,52.0,0.9615299999999999,52.0,0.9501,51.0,0.95236,51.0,0.9789399999999999,52.0,0.9789399999999999,52.0,0.98656,52.0,0.98085,51.0,0.98,51.0,0.98329,51.0,0.98536,51.0,0.9901,52.0,0.9896,52.0,0.99421,53.0,0.9942200000000001,53.0,0.99492,53.0,0.9978100000000001,54.0,0.99782,54.0,0.9981700000000001,54.0,0.9979899999999999,54.0,0.9969600000000001,54.0,0.99759,54.0,0.99765,54.0,0.9988299999999999,54.0,0.99885,54.0,0.9977600000000001,53.0,0.9980899999999999,53.0,0.9963299999999999,52.0,0.9982200000000001,53.0,0.9986700000000001,53.0,0.9994299999999999,53.0,0.99954,53.0,0.99982,54.0,0.99985,54.0,0.99985,54.0,0.9999100000000001,54.0,0.99985,54.0,0.99985,54.0,0.99971,53.0,0.99966,53.0,0.99959,53.0,0.9998299999999999,53.0,0.9998799999999999,53.0,0.99966,53.0,0.99989,53.0,0.9999,53.0,0.99998,54.0,0.9999899999999999,54.0,0.9999899999999999,54.0,0.99995,54.0,0.9999399999999999,53.0,0.99993,53.0,0.99973,52.0,0.99957,52.0,0.99915,51.0
UTH,0.86225,49.0,0.86225,49.0,0.8638299999999999,49.0,0.8875299999999999,50.0,0.8866200000000001,50.0,0.85757,49.0,0.86445,49.0,0.86649,49.0,0.81677,47.0,0.81489,47.0,0.87087,48.0,0.8698299999999999,48.0,0.8786,48.0,0.92576,50.0,0.93837,51.0,0.93558,51.0,0.9323,51.0,0.9064399999999999,50.0,0.90769,50.0,0.8603,48.0,0.7931600000000001,47.0,0.81555,47.0,0.7509899999999999,45.0,0.7458899999999999,45.0,0.8057,47.0,0.81522,47.0,0.8541700000000001,47.0,0.83373,47.0,0.82425,47.0,0.85225,48.0,0.8492299999999999,48.0,0.67699,45.0,0.66565,45.0,0.58387,44.0,0.64079,45.0,0.61082,45.0,0.45469,43.0,0.4623,43.0,0.38766999999999996,42.0,0.38766999999999996,42.0,0.31356999999999996,41.0,0.32850999999999997,41.0,0.44656999999999997,42.0,0.29917,41.0,0.32284,41.0,0.36073,41.0,0.34529,41.0,0.41138,42.0,0.41806000000000004,42.0,0.35054,42.0,0.35141,42.0,0.5199,43.0,0.49451999999999996,43.0,0.62669,44.0,0.63256,44.0,0.66369,44.0,0.5466,43.0,0.46287,43.0,0.47005,43.0,0.599,44.0,0.61203,44.0,0.60907,44.0,0.54789,43.0,0.57314,43.0,0.46316999999999997,42.0,0.47402,42.0,0.52998,43.0,0.52888,43.0,0.6939,44.0,0.6159399999999999,43.0,0.63403,43.0,0.63403,43.0,0.74761,44.0,0.7116899999999999,44.0,0.57568,43.0,0.5836100000000001,43.0,0.7551899999999999,44.0,0.71772,44.0,0.71378,44.0,0.6351399999999999,44.0,0.6572600000000001,44.0,0.64381,44.0,0.75532,44.0,0.77767,45.0,0.7712399999999999,45.0,0.60949,44.0,0.56736,44.0,0.62159,45.0,0.64747,45.0
NOP,0.70622,46.0,0.70622,46.0,0.71053,46.0,0.77678,47.0,0.77465,47.0,0.8204,48.0,0.8282700000000001,48.0,0.82962,48.0,0.8285600000000001,48.0,0.86464,49.0,0.8756299999999999,49.0,0.87375,49.0,0.9042600000000001,49.0,0.8590200000000001,48.0,0.8463799999999999,48.0,0.80204,47.0,0.79578,47.0,0.7165699999999999,46.0,0.62856,44.0,0.61468,44.0,0.51822,43.0,0.54871,43.0,0.49509,42.0,0.48843000000000003,42.0,0.54062,43.0,0.5554600000000001,43.0,0.5529,43.0,0.63363,44.0,0.61964,44.0,0.69088,45.0,0.68665,45.0,0.64531,45.0,0.63192,45.0,0.68021,45.0,0.72212,46.0,0.69482,46.0,0.78066,47.0,0.78563,47.0,0.75622,46.0,0.75622,46.0,0.70552,45.0,0.63466,44.0,0.62993,44.0,0.5421600000000001,43.0,0.5643699999999999,43.0,0.6453,44.0,0.63142,44.0,0.54297,44.0,0.54884,44.0,0.63637,44.0,0.55816,44.0,0.5448,44.0,0.6562100000000001,45.0,0.6332800000000001,45.0,0.5579999999999999,44.0,0.59199,44.0,0.67068,45.0,0.5784699999999999,44.0,0.58768,44.0,0.62643,44.0,0.63965,44.0,0.6385,44.0,0.67757,44.0,0.60919,43.0,0.59713,43.0,0.61144,43.0,0.47446000000000005,43.0,0.47075,43.0,0.35854,42.0,0.36458,42.0,0.28336999999999996,41.0,0.28336999999999996,41.0,0.27479000000000003,41.0,0.16902,40.0,0.17443,40.0,0.22426999999999997,41.0,0.15602,40.0,0.1292,40.0,0.16958,41.0,0.18708,41.0,0.13155,40.0,0.12275,40.0,0.11030999999999999,40.0,0.16659000000000002,41.0,0.16824,41.0,0.22815,42.0,0.19966,42.0,0.23898,43.0,0.25495,43.0
SAN,0.57549,44.0,0.57549,44.0,0.5826399999999999,44.0,0.62376,44.0,0.6232800000000001,44.0,0.61341,44.0,0.52647,43.0,0.52913,43.0,0.56493,43.0,0.5634399999999999,43.0,0.45886000000000005,42.0,0.4558,42.0,0.47143,42.0,0.51849,42.0,0.49571000000000004,42.0,0.537,43.0,0.52618,43.0,0.66662,45.0,0.6664,45.0,0.65282,45.0,0.7397199999999999,46.0,0.70775,45.0,0.72175,45.0,0.71754,45.0,0.6348199999999999,44.0,0.64578,44.0,0.64756,44.0,0.67915,45.0,0.6643600000000001,45.0,0.57709,44.0,0.57428,44.0,0.47171,43.0,0.38303000000000004,42.0,0.38099,42.0,0.35558,42.0,0.41200000000000003,43.0,0.31838,42.0,0.32536,42.0,0.29078000000000004,41.0,0.29078000000000004,41.0,0.3812,42.0,0.32386,41.0,0.31988,41.0,0.39539,42.0,0.41931,42.0,0.20457999999999998,40.0,0.19258,40.0,0.09785,38.0,0.09823,38.0,0.14690999999999999,39.0,0.14611,39.0,0.0666,38.0,0.03803,37.0,0.03495,37.0,0.05652000000000001,38.0,0.06656000000000001,38.0,0.10182000000000001,39.0,0.11023,39.0,0.1932,40.0,0.17667,40.0,0.33328,42.0,0.33098,42.0,0.28504,41.0,0.30646,41.0,0.44616999999999996,42.0,0.45897,42.0,0.63905,44.0,0.6372899999999999,44.0,0.77708,45.0,0.69408,44.0,0.71411,44.0,0.71411,44.0,0.70614,44.0,0.75507,45.0,0.76272,45.0,0.6892,44.0,0.79094,45.0,0.75338,45.0,0.8248200000000001,45.0,0.8443700000000001,45.0,0.86116,45.0,0.91681,46.0,0.90694,46.0,0.93616,47.0,0.9345399999999999,47.0,0.95436,48.0,0.94691,48.0,0.87938,47.0,0.93009,47.0
MIN,0.5714,44.0,0.5714,44.0,0.5777399999999999,44.0,0.5178699999999999,43.0,0.51646,43.0,0.57195,44.0,0.5263899999999999,43.0,0.53069,43.0,0.59927,44.0,0.59904,44.0,0.54604,43.0,0.54102,43.0,0.38788,41.0,0.38800999999999997,41.0,0.36866,41.0,0.40324,41.0,0.39446,41.0,0.42101000000000005,42.0,0.41895,42.0,0.2991,41.0,0.30115,41.0,0.20127,39.0,0.15858,38.0,0.15454,38.0,0.11325,37.0,0.11969,37.0,0.08252000000000001,36.0,0.07127,36.0,0.06479,36.0,0.07496,37.0,0.0748,37.0,0.10965,38.0,0.10334000000000002,38.0,0.14576,39.0,0.13210999999999998,39.0,0.07338,38.0,0.07939,38.0,0.08171,38.0,0.06754,37.0,0.06754,37.0,0.09791,38.0,0.15483,39.0,0.1533,39.0,0.21803000000000003,40.0,0.23574,40.0,0.37404,42.0,0.35915,42.0,0.35220999999999997,42.0,0.27184,41.0,0.27359,41.0,0.35698,42.0,0.35117,42.0,0.43726000000000004,43.0,0.41673000000000004,43.0,0.4227,43.0,0.35965,42.0,0.35956,42.0,0.28997,41.0,0.29470999999999997,41.0,0.19379000000000002,41.0,0.19802,41.0,0.19552,41.0,0.15350999999999998,40.0,0.16712,40.0,0.26119000000000003,41.0,0.27244,41.0,0.17792,40.0,0.1775,40.0,0.09013,39.0,0.09272999999999999,39.0,0.12653,40.0,0.12653,40.0,0.12215,40.0,0.18514,41.0,0.1914,41.0,0.13551,40.0,0.1396,40.0,0.16335999999999998,41.0,0.09679,40.0,0.10634,40.0,0.06644,39.0,0.06304,39.0,0.09442,40.0,0.07121,40.0,0.13012,41.0,0.11177,41.0,0.13051,42.0,0.09841,42.0,0.10867,42.0
DEN,0.78642,47.0,0.78642,47.0,0.79013,47.0,0.83137,48.0,0.8307200000000001,48.0,0.8246700000000001,48.0,0.8854700000000001,50.0,0.91161,50.0,0.9103,50.0,0.93574,51.0,0.93978,51.0,0.92564,51.0,0.9311200000000001,51.0,0.9314100000000001,51.0,0.92371,51.0,0.9365899999999999,51.0,0.9332299999999999,51.0,0.94042,51.0,0.96367,53.0,0.96104,53.0,0.97631,53.0,0.9801700000000001,53.0,0.9875299999999999,54.0,0.9872,54.0,0.9823700000000001,53.0,0.9834,53.0,0.97896,53.0,0.97501,53.0,0.9605899999999999,52.0,0.95573,52.0,0.93276,50.0,0.94129,50.0,0.9757399999999999,52.0,0.97604,52.0,0.95685,51.0,0.9502799999999999,51.0,0.9359,50.0,0.93771,50.0,0.95525,51.0,0.95525,51.0,0.97915,52.0,0.9872,52.0,0.9867799999999999,52.0,0.9889100000000001,52.0,0.9960399999999999,53.0,0.99526,53.0,0.9949,53.0,0.99605,54.0,0.99644,54.0,0.99644,54.0,0.9976799999999999,54.0,0.99795,54.0,0.9983,55.0,0.9980899999999999,55.0,0.9968799999999999,54.0,0.9957799999999999,53.0,0.9956799999999999,53.0,0.99798,53.0,0.9981399999999999,53.0,0.9975200000000001,53.0,0.9977,53.0,0.99885,54.0,0.99908,54.0,0.9997,54.0,0.99966,54.0,0.9998799999999999,55.0,0.99985,55.0,0.9998799999999999,55.0,0.9998100000000001,55.0,0.99949,53.0,0.99977,53.0,0.99977,53.0,0.99969,53.0,0.99889,52.0,0.9989299999999999,52.0,0.9994799999999999,53.0,0.99982,53.0,0.9996700000000001,53.0,0.9997299999999999,53.0,0.99992,54.0,0.9999,54.0,0.9999600000000001,54.0,0.9999399999999999,54.0,0.99997,55.0,0.9999899999999999,55.0,0.99995,54.0,0.99997,54.0,0.99991,54.0,0.99999,55.0
LAC,0.16258,37.0,0.16258,37.0,0.16614,37.0,0.12502,36.0,0.12445,36.0,0.18197,37.0,0.18667,37.0,0.2227,38.0,0.22066,38.0,0.17389000000000002,37.0,0.18231,37.0,0.18026,37.0,0.28403,39.0,0.28492,39.0,0.40018000000000004,41.0,0.391,41.0,0.29336999999999996,40.0,0.27794,40.0,0.22124000000000002,39.0,0.31194,41.0,0.31658000000000003,41.0,0.34491,41.0,0.44115,42.0,0.43454,42.0,0.41557,42.0,0.35334,41.0,0.34983000000000003,41.0,0.36064,42.0,0.3456,42.0,0.38211,42.0,0.37736,42.0,0.41122,42.0,0.45963000000000004,43.0,0.4561,43.0,0.49722,44.0,0.46757,44.0,0.5612699999999999,45.0,0.49371000000000004,44.0,0.51582,44.0,0.51582,44.0,0.59443,45.0,0.61077,45.0,0.67076,45.0,0.69905,45.0,0.7179800000000001,45.0,0.7772,46.0,0.83029,47.0,0.82768,47.0,0.82978,47.0,0.79185,46.0,0.8365799999999999,47.0,0.8317899999999999,47.0,0.75853,46.0,0.74206,46.0,0.7468199999999999,46.0,0.66085,45.0,0.6610199999999999,45.0,0.74535,46.0,0.6271,44.0,0.60568,44.0,0.41721,43.0,0.41541999999999996,43.0,0.37188000000000004,42.0,0.3942,42.0,0.30612,42.0,0.31399,42.0,0.29238000000000003,42.0,0.36754000000000003,42.0,0.37203,42.0,0.52322,43.0,0.46116999999999997,43.0,0.46116999999999997,43.0,0.45163000000000003,43.0,0.5231100000000001,44.0,0.53493,44.0,0.65761,44.0,0.55905,44.0,0.5029,44.0,0.50043,44.0,0.42212,43.0,0.45378,43.0,0.44163,43.0,0.53487,44.0,0.47323999999999994,44.0,0.59521,44.0,0.55964,44.0,0.6763,45.0,0.61456,45.0,0.47512,44.0
