Teams,PlayoffOdds20181015,ExpectedWins20181015,PlayoffOdds20181016,ExpectedWins20181016,PlayoffOdds20181017,ExpectedWins20181017,PlayoffOdds20181018,ExpectedWins20181018,PlayoffOdds20181019,ExpectedWins20181019,PlayoffOdds20181020,ExpectedWins20181020,PlayoffOdds20181021,ExpectedWins20181021,PlayoffOdds20181022,ExpectedWins20181022,PlayoffOdds20181023,ExpectedWins20181023,PlayoffOdds20181024,ExpectedWins20181024,PlayoffOdds20181025,ExpectedWins20181025,PlayoffOdds20181026,ExpectedWins20181026,PlayoffOdds20181027,ExpectedWins20181027,PlayoffOdds20181028,ExpectedWins20181028,PlayoffOdds20181029,ExpectedWins20181029,PlayoffOdds20181030,ExpectedWins20181030,PlayoffOdds20181031,ExpectedWins20181031,PlayoffOdds20181101,ExpectedWins20181101,PlayoffOdds20181102,ExpectedWins20181102,PlayoffOdds20181103,ExpectedWins20181103,PlayoffOdds20181104,ExpectedWins20181104,PlayoffOdds20181105,ExpectedWins20181105,PlayoffOdds20181106,ExpectedWins20181106,PlayoffOdds20181107,ExpectedWins20181107,PlayoffOdds20181108,ExpectedWins20181108,PlayoffOdds20181109,ExpectedWins20181109,PlayoffOdds20181110,ExpectedWins20181110,PlayoffOdds20181111,ExpectedWins20181111,PlayoffOdds20181112,ExpectedWins20181112,PlayoffOdds20181113,ExpectedWins20181113,PlayoffOdds20181114,ExpectedWins20181114,PlayoffOdds20181115,ExpectedWins20181115,PlayoffOdds20181116,ExpectedWins20181116,PlayoffOdds20181117,ExpectedWins20181117,PlayoffOdds20181118,ExpectedWins20181118,PlayoffOdds20181119,ExpectedWins20181119,PlayoffOdds20181120,ExpectedWins20181120,PlayoffOdds20181121,ExpectedWins20181121,PlayoffOdds20181122,ExpectedWins20181122,PlayoffOdds20181123,ExpectedWins20181123,PlayoffOdds20181124,ExpectedWins20181124,PlayoffOdds20181125,ExpectedWins20181125,PlayoffOdds20181126,ExpectedWins20181126,PlayoffOdds20181127,ExpectedWins20181127,PlayoffOdds20181128,ExpectedWins20181128,PlayoffOdds20181129,ExpectedWins20181129,PlayoffOdds20181130,ExpectedWins20181130,PlayoffOdds20181201,ExpectedWins20181201,PlayoffOdds20181202,ExpectedWins20181202,PlayoffOdds20181203,ExpectedWins20181203,PlayoffOdds20181204,ExpectedWins20181204,PlayoffOdds20181205,ExpectedWins20181205,PlayoffOdds20181206,ExpectedWins20181206,PlayoffOdds20181207,ExpectedWins20181207,PlayoffOdds20181208,ExpectedWins20181208,PlayoffOdds20181209,ExpectedWins20181209,PlayoffOdds20181210,ExpectedWins20181210,PlayoffOdds20181211,ExpectedWins20181211,PlayoffOdds20181212,ExpectedWins20181212,PlayoffOdds20181213,ExpectedWins20181213,PlayoffOdds20181214,ExpectedWins20181214,PlayoffOdds20181215,ExpectedWins20181215,PlayoffOdds20181216,ExpectedWins20181216,PlayoffOdds20181217,ExpectedWins20181217,PlayoffOdds20181218,ExpectedWins20181218,PlayoffOdds20181219,ExpectedWins20181219,PlayoffOdds20181220,ExpectedWins20181220,PlayoffOdds20181221,ExpectedWins20181221,PlayoffOdds20181222,ExpectedWins20181222,PlayoffOdds20181223,ExpectedWins20181223,PlayoffOdds20181224,ExpectedWins20181224,PlayoffOdds20181225,ExpectedWins20181225,PlayoffOdds20181226,ExpectedWins20181226,PlayoffOdds20181227,ExpectedWins20181227,PlayoffOdds20181228,ExpectedWins20181228,PlayoffOdds20181229,ExpectedWins20181229,PlayoffOdds20181230,ExpectedWins20181230,PlayoffOdds20181231,ExpectedWins20181231,PlayoffOdds20190101,ExpectedWins20190101,PlayoffOdds20190102,ExpectedWins20190102,PlayoffOdds20190103,ExpectedWins20190103,PlayoffOdds20190104,ExpectedWins20190104,PlayoffOdds20190105,ExpectedWins20190105,PlayoffOdds20190106,ExpectedWins20190106,PlayoffOdds20190107,ExpectedWins20190107,PlayoffOdds20190108,ExpectedWins20190108,PlayoffOdds20190109,ExpectedWins20190109,PlayoffOdds20190110,ExpectedWins20190110,PlayoffOdds20190111,ExpectedWins20190111
HOU,0.9764200000000001,55.0,0.9764200000000001,55.0,0.9771700000000001,55.0,0.9585,53.0,0.95693,53.0,0.95465,53.0,0.9730200000000001,54.0,0.9514,52.0,0.95106,52.0,0.95178,52.0,0.9234,50.0,0.92332,50.0,0.88233,48.0,0.88415,48.0,0.87441,48.0,0.86569,48.0,0.79189,47.0,0.78062,47.0,0.77713,47.0,0.8295600000000001,48.0,0.88128,49.0,0.8970799999999999,49.0,0.9368,50.0,0.93425,50.0,0.92711,50.0,0.885,48.0,0.88455,48.0,0.7974899999999999,47.0,0.84335,48.0,0.82847,48.0,0.87669,49.0,0.88482,49.0,0.91855,50.0,0.91469,50.0,0.9368799999999999,50.0,0.9286,50.0,0.92999,50.0,0.9309,50.0,0.9584,51.0,0.9584,51.0,0.93019,50.0,0.89589,48.0,0.89885,48.0,0.8477399999999999,47.0,0.85772,47.0,0.75446,46.0,0.7456,46.0,0.81498,47.0,0.8719299999999999,47.0,0.87876,47.0,0.81172,46.0,0.8143699999999999,46.0,0.80474,46.0,0.6985,45.0,0.6963,45.0,0.61188,44.0,0.60493,44.0,0.63436,44.0,0.7199300000000001,45.0,0.6989,45.0,0.7784800000000001,45.0,0.78242,45.0,0.87331,46.0,0.88371,46.0,0.9277799999999999,47.0,0.93114,47.0,0.9585799999999999,48.0,0.9244,47.0,0.92548,47.0,0.96119,47.0,0.9616299999999999,47.0,0.9616299999999999,47.0,0.9757,48.0,0.97105,48.0,0.9849700000000001,49.0,0.98665,49.0,0.99375,49.0,0.99269,49.0,0.99634,50.0,0.99724,50.0,0.9977799999999999,50.0,0.99908,51.0,0.99871,51.0,0.99623,50.0,0.9960200000000001,50.0,0.99794,50.0,0.99768,50.0,0.99233,49.0,0.99276,49.0
GSW,0.99613,63.0,0.99613,63.0,0.99771,63.0,0.9978600000000001,63.0,0.99785,63.0,0.99869,64.0,0.99898,64.0,0.9967799999999999,61.0,0.9982200000000001,62.0,0.99839,62.0,0.99928,63.0,0.9992,63.0,0.9996299999999999,64.0,0.99972,64.0,0.9998,65.0,0.99989,65.0,0.9999100000000001,65.0,0.9999600000000001,66.0,0.9999600000000001,66.0,0.9999899999999999,67.0,1.0,67.0,0.9999899999999999,67.0,0.9999899999999999,67.0,1.0,67.0,1.0,67.0,1.0,65.0,0.9999899999999999,65.0,0.99998,66.0,0.9999899999999999,66.0,0.9999100000000001,63.0,0.99998,64.0,0.99998,64.0,0.9999399999999999,62.0,0.99989,62.0,0.9996299999999999,60.0,0.99866,58.0,0.9986700000000001,58.0,0.9987,58.0,0.99716,57.0,0.99716,57.0,0.9988,57.0,0.99935,58.0,0.99955,58.0,0.9998299999999999,59.0,0.9998600000000001,59.0,0.99982,59.0,0.99925,57.0,0.9994200000000001,57.0,0.99825,55.0,0.99856,55.0,0.99941,56.0,0.99945,56.0,0.9996700000000001,57.0,0.9996299999999999,57.0,0.9998600000000001,57.0,0.9999399999999999,57.0,0.99992,57.0,0.9999899999999999,58.0,0.99997,58.0,0.99992,56.0,0.99987,56.0,0.99998,57.0,0.9999899999999999,57.0,0.9999899999999999,57.0,1.0,58.0,1.0,58.0,0.9999899999999999,56.0,1.0,56.0,0.9999899999999999,56.0,1.0,57.0,1.0,57.0,1.0,57.0,1.0,56.0,1.0,56.0,0.99997,55.0,0.9999899999999999,55.0,1.0,55.0,0.9999899999999999,55.0,1.0,56.0,1.0,56.0,1.0,56.0,1.0,55.0,1.0,55.0,1.0,55.0,1.0,55.0,1.0,55.0,1.0,56.0,1.0,56.0,1.0,56.0
POR,0.50052,42.0,0.50052,42.0,0.50951,42.0,0.50244,42.0,0.59526,43.0,0.58507,43.0,0.6873100000000001,45.0,0.68708,45.0,0.59519,43.0,0.59533,43.0,0.61732,43.0,0.70036,45.0,0.70777,45.0,0.6206699999999999,43.0,0.60178,43.0,0.6772100000000001,44.0,0.74675,46.0,0.7330800000000001,46.0,0.802,47.0,0.79446,47.0,0.7255199999999999,45.0,0.82331,47.0,0.8383200000000001,47.0,0.8849299999999999,48.0,0.8723,48.0,0.91691,49.0,0.91685,49.0,0.90043,49.0,0.9288700000000001,50.0,0.91959,50.0,0.91975,50.0,0.8839,48.0,0.88249,48.0,0.8203600000000001,47.0,0.80135,47.0,0.8439700000000001,48.0,0.8485299999999999,48.0,0.9007299999999999,49.0,0.8576299999999999,48.0,0.8576299999999999,48.0,0.79872,47.0,0.8138,47.0,0.7420899999999999,46.0,0.75442,46.0,0.76836,46.0,0.8126800000000001,46.0,0.8024600000000001,46.0,0.71972,45.0,0.72504,45.0,0.6431399999999999,44.0,0.64455,44.0,0.54196,43.0,0.5201600000000001,43.0,0.6093,44.0,0.60717,44.0,0.73261,45.0,0.72907,45.0,0.75421,45.0,0.65983,44.0,0.52067,43.0,0.52571,43.0,0.63436,44.0,0.68626,44.0,0.70778,44.0,0.8015100000000001,45.0,0.81058,45.0,0.87564,46.0,0.8735200000000001,46.0,0.80699,45.0,0.82795,45.0,0.89075,45.0,0.89075,45.0,0.8199700000000001,45.0,0.78815,45.0,0.8669,45.0,0.87959,45.0,0.8133199999999999,44.0,0.87179,45.0,0.87171,45.0,0.94115,46.0,0.95016,46.0,0.94788,46.0,0.8952399999999999,45.0,0.92358,46.0,0.91985,46.0,0.9569,46.0,0.94966,46.0,0.96457,47.0,0.96597,47.0
OKC,0.8479200000000001,48.0,0.8479200000000001,48.0,0.78568,47.0,0.78281,47.0,0.78064,47.0,0.68335,45.0,0.6961,45.0,0.59924,43.0,0.59826,43.0,0.59816,43.0,0.619,43.0,0.5103800000000001,42.0,0.519,42.0,0.52371,42.0,0.5924699999999999,43.0,0.57875,43.0,0.6581899999999999,44.0,0.64076,44.0,0.7214,46.0,0.78432,47.0,0.78869,47.0,0.81245,47.0,0.8774700000000001,48.0,0.87424,48.0,0.9055700000000001,49.0,0.9393,50.0,0.9385399999999999,50.0,0.88303,48.0,0.87574,48.0,0.9040799999999999,49.0,0.90464,49.0,0.9405899999999999,50.0,0.9395,50.0,0.9371,50.0,0.95437,51.0,0.94719,51.0,0.9143700000000001,50.0,0.91769,50.0,0.95109,51.0,0.95109,51.0,0.9708200000000001,51.0,0.95381,50.0,0.95585,50.0,0.95954,50.0,0.96246,50.0,0.97335,51.0,0.97136,51.0,0.9827299999999999,52.0,0.9834799999999999,52.0,0.9855799999999999,52.0,0.9919899999999999,52.0,0.99229,52.0,0.99556,53.0,0.99529,53.0,0.9899899999999999,52.0,0.99169,52.0,0.9920700000000001,52.0,0.99651,53.0,0.99669,53.0,0.99174,52.0,0.9920200000000001,52.0,0.98439,50.0,0.99469,51.0,0.99526,51.0,0.99803,52.0,0.99825,52.0,0.99929,52.0,0.99921,52.0,0.99916,52.0,0.9997299999999999,53.0,0.99944,52.0,0.99944,52.0,0.99855,51.0,0.9978799999999999,51.0,0.99811,51.0,0.9993700000000001,52.0,0.99935,52.0,0.99798,51.0,0.99929,51.0,0.9994700000000001,51.0,0.99989,52.0,0.99987,52.0,0.99992,52.0,0.9998600000000001,52.0,0.99977,51.0,0.99975,51.0,0.99917,51.0,0.99875,51.0,0.99685,50.0
UTH,0.86225,49.0,0.86225,49.0,0.86646,49.0,0.90381,50.0,0.90317,50.0,0.84434,48.0,0.8535799999999999,48.0,0.85544,48.0,0.78652,47.0,0.78552,47.0,0.8544700000000001,48.0,0.85472,48.0,0.8593200000000001,48.0,0.9038,49.0,0.9283600000000001,50.0,0.92442,50.0,0.92024,50.0,0.86825,49.0,0.8664200000000001,49.0,0.79523,47.0,0.72077,46.0,0.7492800000000001,46.0,0.67974,44.0,0.67299,44.0,0.7323,45.0,0.7401800000000001,45.0,0.8055,46.0,0.7734800000000001,46.0,0.75943,46.0,0.80742,47.0,0.80721,47.0,0.73656,46.0,0.73115,46.0,0.62354,45.0,0.6864899999999999,46.0,0.65635,46.0,0.55211,44.0,0.56088,44.0,0.45802,43.0,0.45802,43.0,0.35573,42.0,0.37872,42.0,0.47686000000000006,43.0,0.37696,42.0,0.39491,42.0,0.45051,43.0,0.43598000000000003,43.0,0.52877,44.0,0.53668,44.0,0.43673999999999996,43.0,0.4383,43.0,0.54079,43.0,0.52058,43.0,0.6038,44.0,0.6049899999999999,44.0,0.63821,44.0,0.51131,43.0,0.41985,42.0,0.4177,42.0,0.49191,43.0,0.49783999999999995,43.0,0.50057,43.0,0.42911000000000005,42.0,0.45501,42.0,0.33855999999999997,41.0,0.35176,41.0,0.45036000000000004,42.0,0.44351999999999997,42.0,0.54874,43.0,0.44178999999999996,42.0,0.44772,42.0,0.44772,42.0,0.54928,43.0,0.49287,43.0,0.363,42.0,0.3865,42.0,0.50373,42.0,0.47767,42.0,0.46808,42.0,0.37596999999999997,42.0,0.401,42.0,0.38621,42.0,0.47323000000000004,42.0,0.5411699999999999,43.0,0.53371,43.0,0.35209,42.0,0.31532,42.0,0.38319,43.0,0.39451,43.0
NOP,0.70622,46.0,0.70622,46.0,0.71281,46.0,0.78309,47.0,0.77963,47.0,0.8321799999999999,48.0,0.8411,48.0,0.8428700000000001,48.0,0.8412299999999999,48.0,0.8881700000000001,49.0,0.8992700000000001,49.0,0.89828,49.0,0.93514,50.0,0.8997799999999999,49.0,0.89123,49.0,0.8274100000000001,47.0,0.8212700000000001,47.0,0.7318600000000001,46.0,0.63522,44.0,0.6267199999999999,44.0,0.52876,43.0,0.56329,43.0,0.48134,42.0,0.4743,42.0,0.5454399999999999,43.0,0.5544,43.0,0.54929,43.0,0.59953,44.0,0.5781,44.0,0.64477,45.0,0.64331,45.0,0.55296,44.0,0.54705,44.0,0.6320600000000001,45.0,0.69325,46.0,0.6652600000000001,46.0,0.74957,47.0,0.75665,47.0,0.67527,46.0,0.67527,46.0,0.58117,44.0,0.49065,43.0,0.49546,43.0,0.39921,42.0,0.41681999999999997,42.0,0.47526,43.0,0.45943,43.0,0.33999,42.0,0.34615,42.0,0.46487,43.0,0.35075,42.0,0.35481999999999997,42.0,0.43254,43.0,0.41691999999999996,43.0,0.30425,42.0,0.33676999999999996,42.0,0.43046999999999996,43.0,0.34225,42.0,0.34365,42.0,0.41626,43.0,0.42141000000000006,43.0,0.42356000000000005,43.0,0.4777,43.0,0.37989,42.0,0.39036,42.0,0.40329,42.0,0.27705,41.0,0.27155,41.0,0.17126,40.0,0.18692999999999999,40.0,0.11980999999999999,39.0,0.11980999999999999,39.0,0.11173,39.0,0.0481,38.0,0.05015,38.0,0.08881,39.0,0.04779,38.0,0.04186,38.0,0.06634,39.0,0.08174,39.0,0.04838,38.0,0.0445,38.0,0.037880000000000004,38.0,0.048960000000000004,39.0,0.047580000000000004,39.0,0.07062,40.0,0.05986,40.0,0.08003,41.0,0.08285,41.0
SAN,0.57549,44.0,0.57549,44.0,0.58345,44.0,0.66868,45.0,0.667,45.0,0.65484,45.0,0.57138,43.0,0.57392,43.0,0.66179,45.0,0.6620199999999999,45.0,0.5855600000000001,43.0,0.58187,43.0,0.59168,43.0,0.68863,44.0,0.66578,44.0,0.73497,46.0,0.72638,46.0,0.78213,47.0,0.77904,47.0,0.7723800000000001,47.0,0.838,48.0,0.79761,46.0,0.81384,46.0,0.80891,46.0,0.71025,45.0,0.71611,45.0,0.71497,45.0,0.75869,46.0,0.7415,46.0,0.62566,45.0,0.62515,45.0,0.53604,44.0,0.41801000000000005,43.0,0.41213999999999995,43.0,0.38832,43.0,0.44946,44.0,0.348,42.0,0.35528000000000004,42.0,0.26900999999999997,41.0,0.26900999999999997,41.0,0.36003,42.0,0.28423000000000004,41.0,0.29174,41.0,0.39531,42.0,0.41291000000000005,42.0,0.27447,41.0,0.26018,41.0,0.17593,40.0,0.17729,40.0,0.2621,41.0,0.26446,41.0,0.18342999999999998,40.0,0.10945999999999999,39.0,0.10309000000000001,39.0,0.14859,40.0,0.16955,40.0,0.23229,41.0,0.25759,41.0,0.34676999999999997,42.0,0.32163,42.0,0.42546999999999996,43.0,0.42775,43.0,0.36141,42.0,0.38600999999999996,42.0,0.50621,43.0,0.5173399999999999,43.0,0.62743,44.0,0.6209600000000001,44.0,0.72525,44.0,0.6358600000000001,43.0,0.6479699999999999,43.0,0.6479699999999999,43.0,0.63049,43.0,0.6973699999999999,44.0,0.7097899999999999,44.0,0.60448,43.0,0.72302,44.0,0.7006,44.0,0.7959999999999999,45.0,0.8352799999999999,45.0,0.8549899999999999,45.0,0.9098200000000001,46.0,0.8948200000000001,46.0,0.92114,46.0,0.91922,46.0,0.95327,47.0,0.94576,47.0,0.86982,46.0,0.92987,47.0
MIN,0.5714,44.0,0.5714,44.0,0.58013,44.0,0.4719,42.0,0.47118999999999994,42.0,0.5523100000000001,43.0,0.46771999999999997,42.0,0.47151000000000004,42.0,0.5654399999999999,43.0,0.5642699999999999,43.0,0.48433000000000004,42.0,0.48031999999999997,42.0,0.38732,40.0,0.39323,40.0,0.37139,40.0,0.44861,42.0,0.43703000000000003,42.0,0.51199,43.0,0.50527,43.0,0.39057,42.0,0.3966,42.0,0.33387,40.0,0.26353000000000004,39.0,0.25505,39.0,0.16191,38.0,0.16648,38.0,0.11054000000000001,37.0,0.0936,37.0,0.08532999999999999,37.0,0.11074,38.0,0.10977,38.0,0.16732,39.0,0.16275,39.0,0.21961999999999998,40.0,0.2027,40.0,0.11849000000000001,39.0,0.12272999999999999,39.0,0.12582000000000002,39.0,0.08342999999999999,38.0,0.08342999999999999,38.0,0.12875,39.0,0.19899999999999998,40.0,0.20334000000000002,40.0,0.28817,41.0,0.30378,41.0,0.35575999999999997,42.0,0.33863000000000004,42.0,0.33695,42.0,0.24295,41.0,0.25611999999999996,41.0,0.34347,42.0,0.34804,42.0,0.42896000000000006,43.0,0.41478999999999994,43.0,0.41552,43.0,0.33401,42.0,0.32848,42.0,0.2526,41.0,0.25164000000000003,41.0,0.15386,40.0,0.15542999999999998,40.0,0.15657000000000001,40.0,0.11850999999999999,39.0,0.13079000000000002,39.0,0.1933,40.0,0.20062,40.0,0.12233,39.0,0.11895,39.0,0.06808,39.0,0.07413,39.0,0.1212,39.0,0.1212,39.0,0.11366,39.0,0.14432,40.0,0.14773,40.0,0.09379,39.0,0.09545,39.0,0.13107,40.0,0.07046000000000001,39.0,0.08669,39.0,0.05484,39.0,0.051410000000000004,39.0,0.07443,39.0,0.05764,39.0,0.09271,40.0,0.08431,40.0,0.11769,41.0,0.08968,41.0,0.09696,41.0
DEN,0.78642,47.0,0.78642,47.0,0.79186,47.0,0.8462799999999999,49.0,0.84436,49.0,0.83796,49.0,0.8925299999999999,50.0,0.92737,51.0,0.9268200000000001,51.0,0.9517700000000001,52.0,0.95799,52.0,0.9290700000000001,50.0,0.9323899999999999,50.0,0.93416,50.0,0.92706,50.0,0.9490200000000001,52.0,0.94729,52.0,0.9625600000000001,53.0,0.9761,54.0,0.97505,54.0,0.9858299999999999,54.0,0.9885700000000001,54.0,0.99469,55.0,0.99423,55.0,0.9869,54.0,0.9872299999999999,54.0,0.97711,52.0,0.9718600000000001,52.0,0.94671,51.0,0.9401799999999999,51.0,0.90192,50.0,0.90848,50.0,0.9365100000000001,50.0,0.93504,50.0,0.88287,49.0,0.8692700000000001,49.0,0.8076300000000001,48.0,0.81317,48.0,0.8753299999999999,49.0,0.8753299999999999,49.0,0.9195700000000001,50.0,0.9531700000000001,50.0,0.9557200000000001,50.0,0.95857,50.0,0.9775799999999999,51.0,0.97304,51.0,0.9702299999999999,51.0,0.9837100000000001,52.0,0.9832,52.0,0.98506,52.0,0.99218,53.0,0.9924700000000001,53.0,0.99593,53.0,0.9954299999999999,53.0,0.99054,52.0,0.9852200000000001,51.0,0.98475,51.0,0.9933200000000001,52.0,0.9936799999999999,52.0,0.9925200000000001,52.0,0.99316,52.0,0.99655,53.0,0.9979100000000001,53.0,0.9993799999999999,53.0,0.9992,53.0,0.9996700000000001,54.0,0.99965,54.0,0.9996200000000001,54.0,0.9997799999999999,54.0,0.99934,53.0,0.9995799999999999,53.0,0.9995799999999999,53.0,0.99961,53.0,0.99797,52.0,0.9981399999999999,52.0,0.9993200000000001,52.0,0.99984,53.0,0.9997299999999999,53.0,0.9997,53.0,0.99995,54.0,0.9999600000000001,54.0,1.0,54.0,0.99998,54.0,0.99997,55.0,0.99998,55.0,0.99999,54.0,0.99999,54.0,0.99997,54.0,0.99998,55.0
LAC,0.16258,37.0,0.16258,37.0,0.16825,37.0,0.11282,35.0,0.11235,35.0,0.15850999999999998,37.0,0.16787,37.0,0.23574,38.0,0.23671999999999999,38.0,0.17002,37.0,0.18398,37.0,0.17961,37.0,0.25704,39.0,0.26316,39.0,0.32733,40.0,0.31345,40.0,0.22491,39.0,0.21198000000000003,39.0,0.14783,38.0,0.20163,39.0,0.205,39.0,0.23026,39.0,0.3277,40.0,0.32084,40.0,0.29951,40.0,0.22524,39.0,0.22182,39.0,0.2695,40.0,0.2506,40.0,0.30892,42.0,0.30498000000000003,42.0,0.32216999999999996,42.0,0.40775,43.0,0.4012,43.0,0.47436999999999996,44.0,0.44433999999999996,44.0,0.55353,45.0,0.45621999999999996,44.0,0.47222,44.0,0.47222,44.0,0.5849300000000001,45.0,0.60773,45.0,0.70999,46.0,0.7197,46.0,0.7351300000000001,46.0,0.78719,47.0,0.8455299999999999,48.0,0.8458600000000001,48.0,0.84959,48.0,0.7943100000000001,47.0,0.86234,48.0,0.86472,48.0,0.79123,47.0,0.7812,47.0,0.77961,47.0,0.7209,46.0,0.71549,46.0,0.82201,46.0,0.74468,46.0,0.72535,46.0,0.629,45.0,0.63071,45.0,0.57517,44.0,0.5990800000000001,44.0,0.48677,43.0,0.5001899999999999,43.0,0.49188999999999994,43.0,0.60627,44.0,0.6085,44.0,0.7378600000000001,45.0,0.64037,44.0,0.64037,44.0,0.62287,44.0,0.6966600000000001,44.0,0.70767,44.0,0.8197700000000001,45.0,0.73454,44.0,0.70814,44.0,0.70514,44.0,0.6423399999999999,44.0,0.6764100000000001,44.0,0.6674800000000001,44.0,0.7481899999999999,44.0,0.7007399999999999,44.0,0.80345,45.0,0.79666,45.0,0.85708,46.0,0.82075,46.0,0.73227,45.0
