Abbr,BBREF_Team
ATL,ATLANTA_HAWKS
BOS,BOSTON_CELTICS
BRO,BROOKLYN_NETS
CHA,CHARLOTTE_HORNETS
CHI,CHICAGO_BULLS
CLE,CLEVELAND_CAVALIERS
DAL,DALLAS_MAVERICKS
DEN,DENVER_NUGGETS
DET,DETROIT_PISTONS
GSW,GOLDEN_STATE_WARRIORS
HOU,HOUSTON_ROCKETS
IND,INDIANA_PACERS
LAC,LOS_ANGELES_CLIPPERS
LAK,LOS_ANGELES_LAKERS
MEM,MEMPHIS_GRIZZLIES
MIA,MIAMI_HEAT
MIL,MILWAUKEE_BUCKS
MIN,MINNESOTA_TIMBERWOLVES
NOP,NEW_ORLEANS_PELICANS
NYK,NEW_YORK_KNICKS
OKC,OKLAHOMA_CITY_THUNDER
ORL,ORLANDO_MAGIC
PHI,PHILADELPHIA_76ERS
PHO,PHOENIX_SUNS
POR,PORTLAND_TRAIL_BLAZERS
SAC,SACRAMENTO_KINGS
SAN,SAN_ANTONIO_SPURS
TOR,TORONTO_RAPTORS
UTH,UTAH_JAZZ
WAS,WASHINGTON_WIZARDS
