Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,BOS,@,TBR,L,4,6,,0-1,4,1,Pruitt,Smith,Colome,3:00,D,31042,-,
2,Friday Mar 30,boxscore,BOS,@,TBR,W,1,0,,1-Jan,3,1,Price,Roe,Kimbrel,2:46,N,19203,+,
3,Saturday Mar 31,boxscore,BOS,@,TBR,W,3,2,,1-Feb,1,Tied,Porcello,Kittredge,Kimbrel,3:21,N,17838,++,
4,Sunday Apr 1,boxscore,BOS,@,TBR,W,2,1,,1-Mar,1,up 1.0,Velazquez,Alvarado,Kelly,3:24,D,14256,+++,
5,Monday Apr 2,boxscore,BOS,@,MIA,W,7,3,,1-Apr,1,up 1.0,Johnson,Richards,,3:09,N,11113,++++,
6,Tuesday Apr 3,boxscore,BOS,@,MIA,W,4,2,13,1-May,1,up 1.0,Hembree,Guerrero,,4:27,N,14953,+++++,
7,Thursday Apr 5,boxscore,BOS,,TBR,W-wo,3,2,12,1-Jun,1,up 2.0,Poyner,Kittredge,,3:55,D,36134,++++++,
8,Saturday Apr 7,boxscore,BOS,,TBR,W,10,3,,1-Jul,1,up 2.5,Porcello,Faria,,2:48,D,31821,+++++++,
9,Sunday Apr 8,boxscore,BOS,,TBR,W,8,7,,1-Aug,1,up 2.5,Smith,Colome,Kimbrel,3:50,D,31979,++++++++,
10,Tuesday Apr 10,boxscore,BOS,,NYY,W,14,1,,1-Sep,1,up 2.0,Sale,Severino,,3:11,N,32357,+++++++++,
11,Wednesday Apr 11,boxscore,BOS,,NYY,L,7,10,,2-Sep,1,up 2.0,Tanaka,Price,,3:59,N,32400,-,
12,Thursday Apr 12,boxscore,BOS,,NYY,W,6,3,,2-Oct,1,up 2.5,Porcello,Gray,Kimbrel,3:01,N,36341,+,
13,Friday Apr 13,boxscore,BOS,,BAL,W,7,3,,2-Nov,1,up 2.5,Rodriguez,Tillman,,3:22,N,32610,++,
14,Saturday Apr 14,boxscore,BOS,,BAL,W,10,3,,2-Dec,1,up 3.0,Velazquez,Cobb,Walden,3:05,D,33584,+++,
15,Sunday Apr 15,boxscore,BOS,,BAL,W,3,1,,13-2,1,up 3.5,Hembree,Bundy,Kimbrel,2:54,D,32489,++++,
16,Tuesday Apr 17,boxscore,BOS,@,LAA,W,10,1,,14-2,1,up 3.0,Price,Ohtani,,3:15,N,44822,+++++,
17,Wednesday Apr 18,boxscore,BOS,@,LAA,W,9,0,,15-2,1,up 3.0,Porcello,Skaggs,,3:18,N,34508,++++++,
18,Thursday Apr 19,boxscore,BOS,@,LAA,W,8,2,,16-2,1,up 4.0,Rodriguez,Tropeano,,3:35,N,36253,+++++++,
19,Friday Apr 20,boxscore,BOS,@,OAK,W,7,3,,17-2,1,up 4.0,Velazquez,Graveman,,3:16,N,23473,++++++++,
20,Saturday Apr 21,boxscore,BOS,@,OAK,L,0,3,,17-3,1,up 4.0,Manaea,Sale,,2:16,N,25746,-,
21,Sunday Apr 22,boxscore,BOS,@,OAK,L,1,4,,17-4,1,up 4.0,Treinen,Price,,2:44,D,29804,--,
22,Tuesday Apr 24,boxscore,BOS,@,TOR,L-wo,3,4,10,17-5,1,up 3.0,Clippard,Kimbrel,,2:51,N,20070,---,
23,Wednesday Apr 25,boxscore,BOS,@,TOR,W,4,3,,18-5,1,up 4.0,Rodriguez,Barnes,Kimbrel,3:04,N,18914,+,
24,Thursday Apr 26,boxscore,BOS,@,TOR,W,5,4,,19-5,1,up 4.0,Sale,Estrada,Kimbrel,3:08,N,23571,++,
