Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,LAD,,SFG,L,0,1,,0-1,3,1,Blach,Kershaw,Strickland,2:55,D,53595,-,
2,Friday Mar 30,boxscore,LAD,,SFG,L,0,1,,0-2,3,2,Watson,Jansen,Strickland,2:23,N,53478,--,
3,Saturday Mar 31,boxscore,LAD,,SFG,W,5,0,,2-Jan,3,1,Maeda,Holland,,2:43,N,45938,+,
4,Sunday Apr 1,boxscore,LAD,,SFG,W,9,0,,2-Feb,2,0.5,Hill,Stratton,,2:47,N,41866,++,
5,Monday Apr 2,boxscore,LAD,@,ARI,L-wo,7,8,15,3-Feb,4,1.5,Salas,Font,,5:46,N,21735,-,
6,Tuesday Apr 3,boxscore,LAD,@,ARI,L,1,6,,4-Feb,4,2.5,Godley,Kershaw,,2:48,N,27574,--,
7,Wednesday Apr 4,boxscore,LAD,@,ARI,L,0,3,,5-Feb,4,3.5,Corbin,Wood,Boxberger,2:25,D,25754,---,
8,Saturday Apr 7,boxscore,LAD,@,SFG,L-wo,5,7,14,6-Feb,4,4,Gomez,Font,,5:16,D,42308,----,
9,Sunday Apr 8,boxscore,LAD,@,SFG,W,2,1,10,6-Mar,4,4,Fields,Johnson,Jansen,3:04,D,42374,+,
10,Tuesday Apr 10,boxscore,LAD,,OAK,W,4,0,,6-Apr,3,3.5,Ryu,Manaea,Jansen,2:49,N,41243,++,
11,Wednesday Apr 11,boxscore,LAD,,OAK,L,6,16,,7-Apr,4,4.5,Mengden,Wood,,3:50,N,49394,-,
12,Friday Apr 13,boxscore,LAD,,ARI,L,7,8,,8-Apr,4,5.5,Greinke,Maeda,Boxberger,3:30,N,43791,--,
13,Saturday Apr 14,boxscore,LAD,,ARI,L,1,9,,9-Apr,5,6.5,McFarland,Hill,,3:10,N,44306,---,
14,Sunday Apr 15,boxscore,LAD,,ARI,W,7,2,,9-May,5,5.5,Kershaw,Godley,,3:09,D,47527,+,
15,Monday Apr 16,boxscore,LAD,@,SDP,W,10,3,,9-Jun,3,5,Ryu,Erlin,,2:50,N,23082,++,
16,Tuesday Apr 17,boxscore,LAD,@,SDP,W,7,3,12,9-Jul,3,5,Alexander,Webb,,4:12,N,22959,+++,
17,Wednesday Apr 18,boxscore,LAD,@,SDP,W,13,4,,9-Aug,3,4,Maeda,Perdomo,,3:26,N,23748,++++,
18,Friday Apr 20,boxscore,LAD,,WSN,L,2,5,,10-Aug,3,4.5,Scherzer,Kershaw,Doolittle,3:09,N,50211,-,
19,Saturday Apr 21,boxscore,LAD,,WSN,W,4,0,,10-Sep,3,4.5,Ryu,Strasburg,,2:29,N,50908,+,
20,Sunday Apr 22,boxscore,LAD,,WSN,W,4,3,,10-Oct,3,4.5,Fields,Gott,Jansen,3:21,N,51297,++,
21,Monday Apr 23,boxscore,LAD,,MIA,W,2,1,,10-Nov,2,4,Liberatore,Barraclough,Fields,2:59,N,46909,+++,
22,Tuesday Apr 24,boxscore,LAD,,MIA,L,2,3,,11-Nov,3,5,Steckenrider,Baez,Ziegler,3:06,N,39284,-,
23,Wednesday Apr 25,boxscore,LAD,,MIA,L,6,8,,12-Nov,3,5,Gonzalez,Kershaw,,3:54,D,39004,--,
