Team,Team_Abbr,Oddshark_Wins,BetOnline_Wins,CGTech_Wins,BP_Wins,Fangraphs_Wins,Average,RegGames,WinnPerc,luckSD,Mlb2017SD,TalentVar,RegrGames,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins
Arizona Diamondbacks,ARI,83.5,85.5,86.5,87,80.5,84.6,162,0.522222222,0.03924489216189361,0.07009089336949081,0.0033725717725346725,73.9809823711669,38.63451299961361,35.34646937155329,0.5223401603854966,0.44776439603099116,0.596563887783217,0.4271439581550009,0.6170242798766893,0.40922259899181956,0.6343404759118318,0.37488005281085646,0.6686671389957546,84.6,72.5,96.6,69.2,100.0,66.3,102.8,60.7,108.3
Atlanta Braves,ATL,74.5,74.5,73.5,76,72.9,74.3,162,0.458641975,0.03914909091608858,0.07009089336949081,0.003380082013777162,73.45665364215282,33.69030470332791,39.76634893882491,0.4586390206350994,0.3845721650395772,0.5328022001339648,0.36464803435681326,0.5538471812423073,0.3468740360840271,0.5719461622996171,0.3141334136422833,0.6083817620876665,74.3,62.3,86.3,59.1,89.7,56.2,92.7,50.9,98.6
Baltimore Orioles,BAL,73.0,73.0,77.5,70,75.5,73.8,162,0.45555555600000003,0.03912820739012977,0.07009089336949081,0.0033817167197683256,73.3428350008343,33.41173597742133,39.93109902341297,0.4553516599724559,0.38106268464314813,0.5302013295650639,0.36063522699719996,0.5512699529766129,0.3435032520359928,0.5694166578438172,0.31010397166024506,0.6041889264894043,73.8,61.7,85.9,58.4,89.3,55.6,92.2,50.2,97.9
Boston Red Sox,BOS,91.5,91.5,91.5,89,92.5,91.2,162,0.5629629629999999,0.038970997865479896,0.07009089336949081,0.003393994658702093,72.49147097489771,40.810013292256905,31.6814576826408,0.5628345982801638,0.4879838883377454,0.6368528508677266,0.46669434568582474,0.6570861096309685,0.448316333233195,0.6745672562969376,0.4114379407426604,0.7069098807791938,91.2,79.1,103.2,75.6,106.4,72.6,109.3,66.7,114.5
Chicago Cubs,CHC,94.5,94.5,93.5,92,96.1,94.1,162,0.580864198,0.0387665521384424,0.07009089336949081,0.0034098877686307583,71.39853215156657,41.47285111659693,29.92568103496964,0.5809163799414183,0.5058310619451256,0.6549829163420919,0.48447493597193203,0.6749633136602324,0.4660579817456217,0.692294095750863,0.42986445406068324,0.725808584891794,94.1,81.9,106.1,78.5,109.3,75.5,112.2,69.6,117.6
Chicago White Sox,CHW,68.0,68.0,68.5,71,65.2,68.1,162,0.42037037,0.038782323995370245,0.07009089336949081,0.0034086646788514608,71.48227971434353,30.049032371962085,41.43324734238145,0.42025488298742464,0.34633909587456985,0.49545628787574414,0.32604618157058524,0.5168958417234576,0.3091976306922049,0.5355118972186034,0.2767866855249814,0.5730387806427301,68.1,56.1,80.3,52.8,83.7,50.1,86.8,44.8,92.8
Cincinnati Reds,CIN,73.5,73.5,71.5,75,71.1,72.9,162,0.45,0.03908679799852858,0.07009089336949081,0.0033849555555555536,73.11765130676265,32.902943088043195,40.214708218719466,0.4499607833742402,0.3764970702432448,0.5245494538843677,0.35586801896118525,0.5459293986317705,0.33832056171862396,0.5647176657678953,0.30583844073514016,0.6008716604075696,72.9,61.0,85.0,57.7,88.4,54.8,91.5,49.5,97.3
Cleveland Indians,CLE,94.5,94.5,93.5,96,96.4,95.0,162,0.5864197529999999,0.03869249028258608,0.07009089336949081,0.003415624529065313,71.00652434938095,41.63962847035246,29.366895879028494,0.5868905142860125,0.5116068157875119,0.661338052574717,0.4900840442926918,0.6816366741371512,0.47109906538826485,0.6987466652599449,0.43503988965296747,0.731782834630335,95.1,82.9,107.1,79.4,110.4,76.3,113.2,70.5,118.5
Colorado Rockies,COL,82.0,82.0,82.5,78,79.4,80.8,162,0.498765432,0.03928359031656333,0.07009089336949081,0.003369532865173743,74.19380841354776,37.005306905108384,37.18850150843937,0.4986525540438241,0.42475581844673427,0.5728445043042594,0.4042574740108876,0.593837073126138,0.3863651580709257,0.6115485475498644,0.35275334271751185,0.6460936663976041,80.8,68.8,92.8,65.5,96.2,62.6,99.1,57.1,104.7
Detroit Tigers,DET,68.5,68.5,68.5,68,69.9,68.7,162,0.42407407399999997,0.038828147305998414,0.07009089336949081,0.0034051083101170193,71.72613365495242,30.41719371132418,41.30893994362824,0.4243040980479908,0.35004285497544485,0.49933258098353844,0.3296612697742718,0.5205234225989014,0.3133458574497321,0.5395215270886103,0.2798816215384297,0.5757460322411403,68.7,56.7,80.9,53.4,84.3,50.8,87.4,45.3,93.3
