Team,Team_Abbr,538Elo_Wins,Fangraphs_Wins,RotoChamp_Wins,CBS_Wins,Vegas_Wins,USAToday_Wins,OddsShark_Wins,TeamRankings_Wins,Average,RegGames,WinnPerc,luckSD,Mlb2018SD,TalentVar,RegrGames,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins
Arizona Diamondbacks,ARI,79,75.5,76,77,75.0,78,75.5,76.4,76.55,162,0.472530864,0.039224381949305734,0.0888489104541462,0.006355576749583869,39.21681011620745,18.531153167535447,20.685656948672,0.47260431342966286,0.371048868310294,0.574918167831546,0.3432784577122594,0.603014710896448,0.31958742244446026,0.626592328932266,0.2772124950142328,0.6738563569283735,76.6,60.1,93.1,55.6,97.7,51.8,101.5,44.9,109.2
Atlanta Braves,ATL,84,83.3,83,83,86.0,89,86.5,84.8,84.95,162,0.524382716,0.03923697260886769,0.0888489104541462,0.006354588869379857,39.24809114909786,20.581020634579495,18.667070514518365,0.5243811687365674,0.4224504868178101,0.6255258699509469,0.39409604269744747,0.6532146119340236,0.3693935662045054,0.6767394267397318,0.3233397630845056,0.7222124817237594,84.9,68.4,101.3,63.8,105.8,59.8,109.6,52.4,117.0
Baltimore Orioles,BAL,60,60.9,61,54,58.0,56,59.5,58.2,58.45,162,0.36080246899999996,0.037730693482083175,0.0888489104541462,0.006470523658249976,35.64225394175884,12.85981322291157,22.782440718847266,0.3605350609041238,0.2594763377600379,0.4651413820632629,0.2342097853701835,0.49547254758952197,0.2134777632939882,0.522150853666262,0.17445352687968696,0.5715549192195412,58.4,42.0,75.4,37.9,80.3,34.6,84.6,28.3,92.6
Boston Red Sox,BOS,95,95.6,93,100,94.0,95,94.5,93.7,95.1,162,0.587037037,0.03868394842013906,0.0888489104541462,0.006397681023516911,37.892566587665826,22.244340013948545,15.64822657371728,0.587169558695729,0.48392822736961405,0.687782927472162,0.45403835378632584,0.7139017569439885,0.4285583999542555,0.7369698530258595,0.3788895756993767,0.7771868053838817,95.1,78.4,111.4,73.6,115.7,69.4,119.4,61.4,125.9
Chicago Cubs,CHC,84,86.7,84,92,87.5,89,88.5,85.9,87.2,162,0.538271605,0.03916846207474536,0.0888489104541462,0.006359960467588124,39.078117783486086,21.0346411796961,18.043476603789987,0.5378643666533511,0.435354299377086,0.6391640486432622,0.4064104592047347,0.667322108106032,0.38203503700681973,0.6901255044610568,0.33805229998037256,0.7346905040536674,87.1,70.5,103.5,65.8,108.1,61.9,111.8,54.8,119.0
Chicago White Sox,CHW,71,71.9,71,67,72.5,75,74.5,72.5,71.925,162,0.443981481,0.039036381062741925,0.0888489104541462,0.006370289842413293,38.75207119862014,17.205201962580816,21.546869236039328,0.44387449308178895,0.3431554949346284,0.5461872878683823,0.31598078951062347,0.5753282477868636,0.29361649641960336,0.5993810113788764,0.24969759416884846,0.6470797589366156,71.9,55.6,88.5,51.2,93.2,47.6,97.1,40.5,104.8
Cincinnati Reds,CIN,77,78.6,79,68,78.5,75,79.0,78.7,76.725,162,0.47361111100000003,0.03922895964618341,0.0888489104541462,0.006355217613967003,39.22818095000327,18.578902362240086,20.649278587763185,0.4740759323166864,0.37272797940256064,0.576097381814545,0.3450622218882256,0.6042544386042068,0.3219686654946745,0.6291929389737758,0.27933669856691734,0.6747141516138189,76.8,60.4,93.3,55.9,97.9,52.2,101.9,45.3,109.3
Cleveland Indians,CLE,95,95.9,94,92,91.0,93,90.5,92.0,92.925,162,0.5736111110000001,0.03885565280842416,0.0888489104541462,0.00638436713372009,38.309420372388765,21.974709181571956,16.334711190816808,0.573889569048368,0.4710581149912823,0.6757679841217417,0.44169579536514736,0.7018139678636752,0.4163659438777711,0.7248422887611473,0.3678844382542841,0.7665553518435338,93.0,76.3,109.5,71.6,113.7,67.5,117.4,59.6,124.2
Colorado Rockies,COL,82,79.3,82,81,85.0,87,84.5,84.2,83.125,162,0.513117284,0.03927018918209998,0.0888489104541462,0.0063519811304909675,39.3307114313095,20.181267827421284,19.14944360388822,0.5130909146101948,0.4114153641485918,0.6145845725405474,0.3838312400344764,0.6425135138753372,0.35939037976337274,0.6655638124762333,0.31498410365970825,0.7101310605162362,83.1,66.6,99.6,62.2,104.1,58.2,107.8,51.0,115.0
Detroit Tigers,DET,68,69.0,68,65,68.0,64,68.5,68.0,67.3125,162,0.41550925899999996,0.03871877991117895,0.0888489104541462,0.0063949849710785754,37.97683900487885,15.779728234079506,22.19711077079934,0.4157451925617495,0.31427955048750117,0.5186180709225602,0.28806115662763987,0.5481267482777201,0.26626836101908685,0.5735835943598956,0.2251780151168906,0.6232034160319591,67.4,50.9,84.0,46.7,88.8,43.1,92.9,36.5,101.0
