Teams,DivisionOdds20190327,WildCardOdds20190327,PlayoffOdds20190327,ExpectedWins20190327
TEX,0.03056,0.05747,0.08803,71.0
HOU,0.64282,0.14726,0.7900799999999999,98.0
SEA,0.04994,0.09143,0.14137,75.0
OAK,0.15558,0.20683,0.36241,84.0
LAA,0.1211,0.17766,0.29876,82.0
CLE,0.61894,0.09427,0.71321,93.0
DET,0.03226,0.02781,0.06007,67.0
CHW,0.06099,0.05101,0.112,72.0
MIN,0.24589,0.14239,0.38827999999999996,84.0
KCR,0.04192,0.03706,0.07898,70.0
BOS,0.37072,0.3219,0.69262,95.0
NYY,0.47995,0.28905,0.7689999999999999,98.0
TOR,0.02571,0.08789,0.11359999999999999,74.0
BAL,0.00187,0.00836,0.01023,58.0
TBR,0.12175,0.25961,0.38136000000000003,85.0
LAD,0.60111,0.12313,0.72424,94.0
SFG,0.04711,0.05849,0.1056,72.0
SDP,0.07986,0.09044,0.1703,76.0
ARI,0.08501,0.09814,0.18315,77.0
COL,0.18691,0.16407,0.35097999999999996,83.0
STL,0.29005,0.17246,0.46251,87.0
CHC,0.29366,0.17709,0.47075,87.0
MIL,0.24759,0.17658,0.42417,86.0
PIT,0.09246,0.10295,0.19541,78.0
CIN,0.07624,0.09276,0.16899999999999998,77.0
PHI,0.26809,0.18505,0.45314,87.0
WSN,0.34061,0.19157,0.53218,90.0
MIA,0.01014,0.01636,0.0265,63.0
NYM,0.18725,0.17286,0.36011000000000004,84.0
ATL,0.19391,0.17805,0.37196,85.0
