Team_Abbr,xmlstatsTeamId,Wins_20190320,Losses_20190320,Wins_20190321,Losses_20190321,Wins_20190322,Losses_20190322,Wins_20190323,Losses_20190323,Wins_20190324,Losses_20190324,Wins_20190325,Losses_20190325,Wins_20190326,Losses_20190326,Wins_20190327,Losses_20190327,Wins_20190328,Losses_20190328,Wins_20190329,Losses_20190329,Wins_20190330,Losses_20190330,Wins_20190331,Losses_20190331,Wins_20190401,Losses_20190401,Wins_20190402,Losses_20190402,Wins_20190403,Losses_20190403,Wins_20190404,Losses_20190404,Wins_20190405,Losses_20190405,Wins_20190406,Losses_20190406,Wins_20190407,Losses_20190407,Wins_20190408,Losses_20190408,Wins_20190409,Losses_20190409,Wins_20190410,Losses_20190410,Wins_20190411,Losses_20190411,Wins_20190412,Losses_20190412,Wins_20190413,Losses_20190413,Wins_20190414,Losses_20190414,Wins_20190415,Losses_20190415,Wins_20190416,Losses_20190416,Wins_20190417,Losses_20190417,Wins_20190418,Losses_20190418,Wins_20190419,Losses_20190419,Wins_20190420,Losses_20190420,Wins_20190421,Losses_20190421,Wins_20190422,Losses_20190422,Wins_20190423,Losses_20190423,Wins_20190424,Losses_20190424,Wins_20190425,Losses_20190425,Wins_20190426,Losses_20190426,Wins_20190427,Losses_20190427,Wins_20190428,Losses_20190428,Wins_20190429,Losses_20190429,Wins_20190430,Losses_20190430,Wins_20190501,Losses_20190501,Wins_20190502,Losses_20190502,Wins_20190503,Losses_20190503,Wins_20190504,Losses_20190504,Wins_20190505,Losses_20190505,Wins_20190506,Losses_20190506,Wins_20190507,Losses_20190507,Wins_20190508,Losses_20190508,Wins_20190509,Losses_20190509,Wins_20190510,Losses_20190510,Wins_20190511,Losses_20190511,Wins_20190512,Losses_20190512,Wins_20190513,Losses_20190513,Wins_20190514,Losses_20190514,Wins_20190515,Losses_20190515,Wins_20190516,Losses_20190516,Wins_20190517,Losses_20190517,Wins_20190518,Losses_20190518,Wins_20190519,Losses_20190519,Wins_20190520,Losses_20190520,Wins_20190521,Losses_20190521,Wins_20190522,Losses_20190522,Wins_20190523,Losses_20190523,Wins_20190524,Losses_20190524,Wins_20190525,Losses_20190525,Wins_20190526,Losses_20190526,Wins_20190527,Losses_20190527,Wins_20190528,Losses_20190528,Wins_20190529,Losses_20190529,Wins_20190530,Losses_20190530,Wins_20190531,Losses_20190531,Wins_20190601,Losses_20190601,Wins_20190602,Losses_20190602,Wins_20190603,Losses_20190603,Wins_20190604,Losses_20190604,Wins_20190605,Losses_20190605,Wins_20190606,Losses_20190606,Wins_20190607,Losses_20190607,Wins_20190608,Losses_20190608,Wins_20190609,Losses_20190609,Wins_20190610,Losses_20190610,Wins_20190611,Losses_20190611,Wins_20190612,Losses_20190612,Wins_20190613,Losses_20190613,Wins_20190614,Losses_20190614,Wins_20190615,Losses_20190615,Wins_20190616,Losses_20190616,Wins_20190617,Losses_20190617,Wins_20190618,Losses_20190618,Wins_20190619,Losses_20190619,Wins_20190620,Losses_20190620,Wins_20190621,Losses_20190621,Wins_20190622,Losses_20190622,Wins_20190623,Losses_20190623,Wins_20190624,Losses_20190624,Wins_20190625,Losses_20190625,Wins_20190626,Losses_20190626,Wins_20190627,Losses_20190627,Wins_20190628,Losses_20190628,Wins_20190629,Losses_20190629,Wins_20190630,Losses_20190630,Wins_20190701,Losses_20190701,Wins_20190702,Losses_20190702,Wins_20190703,Losses_20190703,Wins_20190704,Losses_20190704,Wins_20190705,Losses_20190705,Wins_20190706,Losses_20190706,Wins_20190707,Losses_20190707,Wins_20190708,Losses_20190708,Wins_20190709,Losses_20190709,Wins_20190710,Losses_20190710,Wins_20190711,Losses_20190711,Wins_20190712,Losses_20190712,Wins_20190713,Losses_20190713,Wins_20190714,Losses_20190714,Wins_20190715,Losses_20190715,Wins_20190716,Losses_20190716,Wins_20190717,Losses_20190717,Wins_20190718,Losses_20190718,Wins_20190719,Losses_20190719,Wins_20190720,Losses_20190720,Wins_20190721,Losses_20190721,Wins_20190722,Losses_20190722,Wins_20190723,Losses_20190723,Wins_20190724,Losses_20190724,Wins_20190725,Losses_20190725,Wins_20190726,Losses_20190726,Wins_20190727,Losses_20190727,Wins_20190728,Losses_20190728
ARI,arizona-diamondbacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,3,2,3,3,3,3,4,3,4,4,4,5,4,5,5,5,5,6,5,6,6,6,7,6,8,6,9,7,9,7,9,8,9,9,9,10,9,10,10,11,10,11,11,12,11,13,11,14,11,15,11,16,11,16,12,16,13,16,13,17,13,18,13,18,13,19,13,20,13,20,14,20,15,20,16,21,16,22,16,22,17,22,18,22,19,23,19,23,20,24,20,24,20,25,20,25,21,25,22,25,23,25,24,25,25,25,25,26,25,27,25,28,25,28,26,28,27,28,28,28,29,28,30,29,30,30,30,30,31,30,32,31,32,31,32,32,32,33,32,34,32,35,32,35,33,36,33,37,33,37,34,38,34,38,35,38,35,38,36,38,37,38,38,38,39,38,40,39,40,40,40,40,41,41,41,42,41,42,42,43,42,43,43,43,43,43,44,43,45,43,45,44,45,45,45,46,45,46,45,46,45,46,45,46,45,47,45,47,46,47,47,47,47,48,47,49,47,49,48,50,48,50,49,50,50,51,50,51,51,52,51,52,51,52,52,53,52,53,53
ATL,atlanta-braves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,1,3,1,3,2,3,3,3,4,3,4,4,5,4,6,4,7,4,7,4,7,5,7,6,8,6,9,6,9,6,9,7,9,8,9,9,9,9,10,10,11,10,11,10,11,11,12,11,12,12,12,13,12,14,13,14,14,14,14,15,15,15,15,16,16,16,17,16,18,16,18,17,18,18,18,19,18,20,19,20,20,20,21,20,21,20,21,21,22,21,23,21,24,21,25,21,25,22,26,22,26,23,27,23,28,23,29,23,29,24,30,24,30,24,30,25,30,26,30,26,30,27,31,27,32,27,32,27,33,27,33,28,33,29,34,29,35,29,36,29,37,29,38,29,39,29,40,29,41,29,41,30,42,30,43,30,43,31,44,31,44,31,44,32,45,32,46,32,46,33,47,33,48,33,48,34,49,34,50,34,50,35,50,35,50,36,51,36,52,36,53,36,53,37,54,37,54,37,54,37,54,37,54,37,55,37,56,37,57,37,58,37,58,38,58,39,58,40,59,40,59,41,60,41,60,41,60,42,60,43,60,43,61,43,62,43,62,44
BAL,baltimore-orioles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,3,1,4,1,4,2,4,3,4,3,4,4,4,5,5,5,5,6,5,7,5,8,5,9,6,9,6,10,7,10,7,11,7,12,8,12,8,12,8,14,8,15,8,16,9,16,10,16,10,16,10,17,10,18,10,19,10,20,10,20,11,21,11,21,11,22,12,22,12,22,13,22,13,23,13,24,13,24,13,25,13,26,14,26,14,26,14,26,14,28,14,29,15,29,15,30,15,31,15,32,15,33,15,34,15,35,15,36,16,36,16,37,17,37,17,38,17,39,17,39,18,39,18,40,18,41,18,41,19,41,19,42,19,43,19,44,20,44,20,45,20,45,21,45,21,46,21,47,21,48,21,49,21,50,21,51,21,52,21,53,21,54,21,55,22,55,22,56,22,56,22,57,22,58,22,58,23,58,24,58,24,59,24,60,24,61,25,61,25,61,26,61,27,61,27,62,27,62,27,62,27,62,27,62,27,63,28,64,28,65,28,65,28,66,29,66,29,66,30,66,30,67,31,67,31,68,32,68,32,69,33,69,34,69,35,69,35,70
BOS,boston-red-sox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,3,1,4,1,5,2,5,2,6,2,7,2,8,3,8,3,8,3,9,3,9,4,9,5,9,5,10,6,10,6,11,6,12,6,13,6,13,7,13,8,13,9,13,9,13,9,15,10,15,11,15,11,15,11,16,11,17,12,17,13,17,14,17,14,18,15,18,16,18,17,18,17,19,18,19,19,19,19,19,20,19,21,19,22,19,22,19,22,20,23,20,23,20,23,21,23,22,24,22,25,22,25,23,26,23,27,23,27,24,27,25,28,25,29,25,29,26,29,27,29,27,29,28,29,29,30,29,30,29,31,29,32,29,33,29,33,30,34,31,34,32,34,33,34,34,35,34,36,34,37,34,38,34,39,34,40,34,40,35,41,35,41,35,42,35,42,36,42,37,43,37,44,37,44,38,44,38,44,38,44,39,44,40,44,40,45,40,45,41,46,41,47,41,48,41,49,41,49,41,49,41,49,41,49,41,50,41,50,42,50,43,51,43,51,44,52,44,53,44,53,45,54,45,54,46,55,46,56,46,56,47,57,47,58,47,59,47,59,48
CHC,chicago-cubs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,1,3,1,3,1,4,1,5,1,6,2,6,2,7,3,7,3,7,3,8,4,8,5,8,5,9,5,9,6,9,7,9,8,9,8,9,9,9,9,10,10,10,10,10,11,10,12,10,12,11,12,12,13,12,14,12,14,12,15,12,16,12,16,12,17,12,18,12,19,12,19,13,20,13,21,13,22,13,22,14,23,14,24,14,24,14,25,14,25,15,25,16,26,16,26,17,27,17,27,18,28,18,29,18,29,19,29,20,30,20,30,21,30,22,30,23,31,23,31,23,31,24,31,25,31,26,32,26,33,26,34,26,34,27,35,27,36,27,37,27,37,28,37,29,38,29,38,30,38,31,39,31,39,32,39,32,39,33,40,33,41,33,41,34,41,35,42,35,43,35,43,36,43,37,44,37,44,38,45,38,45,39,45,40,45,41,45,42,46,42,46,42,47,42,47,43,47,43,47,43,47,43,47,43,48,43,49,43,50,43,50,44,51,44,52,44,52,44,53,44,54,44,54,45,54,46,54,47,55,47,55,47,55,48,55,49,56,49
CHW,chicago-white-sox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,1,3,1,3,2,3,2,3,3,3,3,4,3,5,3,6,3,7,3,8,3,8,4,8,4,9,5,9,6,9,7,9,7,10,7,11,8,11,8,11,8,12,9,12,9,13,9,14,9,14,10,14,10,14,11,14,12,14,12,14,13,15,14,15,14,16,14,17,14,18,15,18,16,18,16,19,16,20,16,21,17,21,18,21,19,21,19,22,19,22,20,22,20,23,21,23,21,24,21,25,21,26,22,26,23,26,23,27,23,28,23,29,24,29,25,29,26,29,27,29,28,29,28,30,29,30,29,30,29,31,29,32,29,32,29,33,30,33,31,33,31,34,32,34,32,34,33,34,34,34,34,35,34,36,34,36,35,36,35,37,35,37,36,37,36,38,36,39,36,40,36,41,37,41,37,41,38,41,38,42,39,42,39,42,39,42,41,42,41,43,41,43,41,44,42,44,42,44,42,44,42,44,42,44,42,45,42,46,42,47,42,48,42,49,42,50,42,51,43,51,44,51,44,52,45,52,45,53,45,54,45,55,45,56,46,56,46,57
CIN,cincinnati-reds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,2,1,3,1,4,1,5,1,6,1,7,1,8,1,8,2,8,3,8,4,8,4,8,5,8,5,9,5,10,5,11,5,12,6,12,7,12,8,12,8,13,8,13,9,13,9,14,10,14,11,14,11,15,11,16,12,16,12,17,13,17,13,18,13,19,14,19,14,20,15,20,15,21,15,22,16,22,17,22,18,22,18,23,18,23,18,24,19,24,20,24,20,25,21,25,21,26,21,26,22,26,22,27,22,27,23,27,23,28,24,28,25,29,26,29,26,30,26,30,27,30,27,31,27,32,27,32,28,32,28,32,28,33,28,34,28,35,29,35,29,35,29,36,30,36,30,36,30,37,30,38,31,38,32,38,33,38,34,38,35,38,36,38,36,39,36,40,36,40,36,41,36,42,36,42,37,42,37,43,38,43,38,44,39,44,40,44,41,44,41,44,41,45,41,46,41,46,41,46,41,46,41,46,41,47,42,47,42,48,43,48,43,49,43,50,43,51,43,52,44,52,44,53,45,53,46,53,46,54,46,54,46,55,47,55,48,55
CLE,cleveland-indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,2,2,3,3,3,4,3,5,3,6,3,6,3,7,3,7,4,8,4,8,5,8,6,8,7,9,7,10,7,11,7,11,7,11,7,12,8,12,9,12,9,12,10,13,10,14,10,15,10,15,11,15,12,15,12,16,12,16,13,16,13,17,13,18,13,18,14,18,15,18,16,19,16,20,16,20,17,20,18,21,18,21,19,22,19,22,19,23,19,23,20,24,20,25,20,25,21,25,22,25,23,25,24,26,24,26,25,26,26,26,27,27,27,28,27,28,28,28,29,29,29,29,30,29,30,30,30,31,30,31,31,32,31,33,31,33,32,33,32,34,32,34,33,34,33,35,33,36,33,37,33,37,34,38,34,39,34,39,35,40,35,41,35,42,35,43,35,43,36,44,36,44,36,44,37,44,38,45,38,45,38,46,38,47,38,48,38,48,38,49,38,50,38,50,38,50,38,50,38,50,38,50,39,50,40,51,40,52,40,53,40,54,40,55,40,56,40,56,41,57,41,58,41,58,42,59,42,60,42,61,42,62,42,62,43
COL,colorado-rockies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,2,2,2,3,2,4,3,4,3,4,3,5,3,6,3,7,3,8,3,9,3,9,3,10,3,11,3,12,4,12,5,12,6,12,6,12,7,12,8,12,8,13,9,13,10,13,10,14,11,14,11,14,12,14,13,14,13,15,13,16,13,17,14,17,15,17,15,18,15,19,16,19,16,19,16,20,16,20,17,20,18,20,18,21,19,21,19,21,20,21,20,22,20,22,20,23,20,24,20,25,20,25,21,25,22,25,22,26,23,26,23,27,24,27,25,27,26,27,27,27,28,27,29,27,30,27,31,27,31,27,31,28,31,29,32,29,33,29,33,30,33,31,34,31,35,31,35,32,36,32,36,33,37,33,37,34,37,34,38,34,39,34,40,34,40,35,40,36,40,37,41,37,41,38,42,38,42,39,43,39,44,39,44,40,44,40,44,41,44,42,44,42,44,43,44,44,44,45,44,45,44,45,44,45,44,45,45,45,45,46,46,46,46,49,46,50,46,51,46,51,46,52,46,53,47,53,47,53,47,54,47,56,48,56,49,56,49,57,49,58
DET,detroit-tigers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,2,2,3,3,3,4,3,5,3,5,3,6,3,7,3,7,3,7,4,8,4,8,5,8,5,8,6,8,7,8,7,8,8,8,9,9,9,9,10,9,10,10,10,10,10,12,10,12,11,12,12,12,13,12,13,12,14,12,14,13,14,13,15,13,15,14,15,14,16,15,16,15,16,15,17,16,17,16,18,16,19,17,20,18,20,18,21,18,22,18,23,18,24,18,25,18,26,18,26,18,26,18,27,18,28,18,29,19,29,19,30,19,31,19,32,20,32,21,32,21,32,22,32,22,33,22,34,22,34,23,34,23,35,23,36,23,37,24,37,24,38,24,38,24,39,25,39,25,40,25,41,25,42,25,43,25,43,26,43,26,44,26,44,26,45,26,46,26,47,26,47,26,48,26,49,26,50,26,51,27,51,27,52,27,52,27,52,27,54,28,54,28,55,28,56,28,57,28,57,28,57,28,57,28,57,28,58,28,59,29,59,29,60,29,61,29,62,29,63,29,64,29,65,30,65,30,65,30,66,30,67,30,68,30,69,30,70,30,71
