Team,WinEstimate,WinsLow,WinsHigh,WinPercent,LowWinPercent,HighWinPercent,DivisionOdds20190710,WildCardOdds20190710,PlayoffOdds20190710,FG_Wins,FG_WinPerc,FG_DivisionOdds,FG_WCOdds,FG_PlayoffOdds,538_Wins,538_WinPerc,538_PlayoffOdds,538_DivisionOdds,BP_Wins,BP_WinPerc,BP_DivisionOdds,BP_WCOdds,BP_PlayoffOdds
LAD,104,98,110,0.631338282,0.547278947,0.712284177,100%,0%,100%,101,0.62345679,99.90%,0.10%,100.00%,102,0.62962963,100%,100%,102,0.62962963,99.90%,0.10%,100.00%
HOU,102,96,108,0.624690054,0.53957648,0.706510055,99.90%,0.10%,100%,102,0.62962963,99.20%,0.50%,99.70%,100,0.617283951,97%,93%,100,0.617283951,97.20%,2.10%,99.30%
NYY,104,98,110,0.635079768,0.548986168,0.71678227,99.70%,0.30%,100%,101,0.62345679,86.40%,12.60%,99.00%,102,0.62962963,98%,86%,98,0.604938272,82.50%,15.50%,98.00%
MIN,99,93,106,0.594873709,0.509469242,0.678241033,93.20%,6.40%,99.70%,98,0.604938272,87.10%,9.20%,96.30%,98,0.604938272,92%,78%,97,0.598765432,86.70%,9.80%,96.50%
TBR,92,86,98,0.558375657,0.473244506,0.641830692,0.20%,63%,63.20%,92,0.567901235,7.80%,62.50%,70.40%,92,0.567901235,62%,9%,92,0.567901235,14.00%,64.10%,78.10%
ATL,95,89,101,0.572506506,0.487202719,0.655525079,95%,4.80%,99.90%,92,0.567901235,72.30%,24.20%,96.60%,93,0.574074074,92%,72%,91,0.561728395,76.50%,17.90%,94.40%
CLE,92,86,98,0.569759738,0.483643708,0.654127411,6.80%,67.70%,74.50%,90,0.555555556,12.90%,40.60%,53.50%,91,0.561728395,60%,22%,89,0.549382716,13.30%,39.40%,52.70%
BOS,89,83,95,0.556937197,0.470203047,0.641463265,0.10%,31.40%,31.50%,91,0.561728395,5.80%,54.40%,60.10%,90,0.555555556,47%,6%,88,0.543209877,3.60%,32.90%,36.50%
OAK,88,82,94,0.539906734,0.453774074,0.624539748,0.10%,27.20%,27.20%,86,0.530864198,0.70%,16.60%,17.30%,88,0.543209877,34%,6%,87,0.537037037,2.60%,30.90%,33.50%
WSN,86,80,92,0.535488252,0.449709332,0.621137073,3.30%,62.60%,65.90%,88,0.543209877,24.80%,53.20%,78.00%,86,0.530864198,57%,19%,85,0.524691358,14.70%,40.50%,55.20%
CHC,85,79,91,0.527111597,0.441022945,0.612505708,50.20%,12.60%,62.80%,86,0.530864198,59.40%,13.40%,72.80%,85,0.524691358,54%,42%,85,0.524691358,40.40%,13.90%,54.30%
PHI,85,79,91,0.526624435,0.440571141,0.611831251,1.70%,51.10%,52.80%,82,0.50617284,2.60%,23.60%,26.20%,84,0.518518519,38%,9%,83,0.512345679,7.80%,30.00%,37.80%
MIL,84,78,90,0.520843609,0.435361976,0.605958482,29.50%,17%,46.50%,83,0.512345679,21.50%,16.00%,37.50%,83,0.512345679,38%,26%,83,0.512345679,23.50%,14.00%,37.50%
