Teams,DivisionOdds,WCOdds,PlayoffOdds,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins
ARI,0.02986,0.01305,0.04291,0.480269870003,0.413901322102,0.546806143498,0.395596382401,0.565438884258,0.379761191329,0.580838893215,0.350020235955,0.61237500176,77.8,67.1,88.6,64.1,91.6,61.5,94.1,56.7,99.2
ATL,0.01034,0.1724,0.18274,0.450635076358,0.384469874749,0.517237519685,0.36610608761,0.53579737546,0.350664785554,0.552102865769,0.321076511096,0.584622967266,73.0,62.3,83.8,59.3,86.8,56.8,89.4,52.0,94.7
BAL,0.03845,0.12585,0.1643,0.504406237178,0.437999723863,0.570850720691,0.419289160189,0.589062002727,0.403191488558,0.604557449437,0.372839577858,0.634528708413,81.7,71.0,92.5,67.9,95.4,65.3,97.9,60.4,102.8
BOS,0.71669,0.1487,0.86539,0.56541478537,0.498471325191,0.631606850073,0.479103766772,0.6498757315,0.462223465554,0.665076690664,0.430553383214,0.694209998155,91.6,80.8,102.3,77.6,105.3,74.9,107.7,69.7,112.5
CHC,0.58367,0.092,0.67567,0.593130123043,0.525810568605,0.659440690439,0.506573433102,0.677397706208,0.489628072426,0.693094985192,0.45689201837,0.723245166007,96.1,85.2,106.8,82.1,109.7,79.3,112.3,74.0,117.2
CHW,0.00368,0.00725,0.01093,0.431941644453,0.36598458029,0.498712009552,0.347624296537,0.518489161858,0.332706453969,0.535221989986,0.303151851168,0.567263719422,70.0,59.3,80.8,56.3,84.0,53.9,86.7,49.1,91.9
CIN,0.00508,0.12203,0.12711,0.437487283438,0.370974783622,0.504363686357,0.352939336394,0.523354363501,0.337580045777,0.540345482736,0.307676168359,0.573214003588,70.9,60.1,81.7,57.2,84.8,54.7,87.5,49.8,92.9
CLE,0.8284,0.05687,0.88527,0.57577287552,0.508081645514,0.642460587457,0.489322633164,0.660495661503,0.472287229434,0.675941774727,0.440266247672,0.706269070433,93.3,82.3,104.1,79.3,107.0,76.5,109.5,71.3,114.4
COL,0.02214,0.15779,0.17993,0.492689217758,0.426525394239,0.559083406714,0.408329855297,0.577747392363,0.392636153245,0.593963094746,0.362751231095,0.625900962225,79.8,69.1,90.6,66.1,93.6,63.6,96.2,58.8,101.4
DET,0.05097,0.092,0.14297,0.515177594506,0.44862331746,0.581335219016,0.429909078326,0.599189517329,0.413691813697,0.615420746415,0.382980396492,0.645869992508,83.5,72.7,94.2,69.6,97.1,67.0,99.7,62.0,104.6
HOU,0.96103,0.03211,0.99314,0.553016640844,0.486006047852,0.619222316904,0.466871125403,0.637254591255,0.45095950141,0.652106949573,0.419959935151,0.682433304214,89.6,78.7,100.3,75.6,103.2,73.1,105.6,68.0,110.6
KCR,0.07264,0.12203,0.19467,0.47820808758,0.412131796706,0.54460114415,0.393653461743,0.563407957441,0.37798424855,0.579176784233,0.347029275991,0.611653196864,77.5,66.8,88.2,63.8,91.3,61.2,93.8,56.2,99.1
LAA,0.00553,0.15779,0.16332,0.488285064987,0.422206647867,0.554666561922,0.4036635693,0.573096509253,0.3884051933,0.588993800017,0.357695746082,0.620804625227,79.1,68.4,89.9,65.4,92.8,62.9,95.4,57.9,100.6
LAD,0.94769,0.30492,1.25261,0.579572431826,0.512395320989,0.646051596436,0.493233031806,0.664183344031,0.476221057745,0.679388906393,0.442939093044,0.708510603641,93.9,83.0,104.7,79.9,107.6,77.1,110.1,71.8,114.8
MIA,0.01689,0.16133,0.17822,0.476636721461,0.410644383826,0.543132928504,0.392463735431,0.561989254117,0.376127670497,0.578259211188,0.344651544448,0.609807650911,77.2,66.5,88.0,63.6,91.0,60.9,93.7,55.8,98.8
MIL,0.0961,0.00725,0.10335,0.43655829064,0.370233654183,0.5036116247,0.352307631876,0.522246850305,0.336298415111,0.538282529419,0.307031744259,0.570546272225,70.7,60.0,81.6,57.1,84.6,54.5,87.2,49.7,92.4
MIN,0.04431,0.08338,0.12769,0.451024286739,0.384821687086,0.517425797437,0.366881350463,0.536749339541,0.351031217663,0.553132013109,0.321294609516,0.585012556456,73.1,62.3,83.8,59.4,87.0,56.9,89.6,52.0,94.8
NYM,0.06546,0.12585,0.19131,0.546932500198,0.480194366967,0.613084989064,0.461515778332,0.631076397431,0.444888532709,0.646707506625,0.413863341187,0.676015529922,88.6,77.8,99.3,74.8,102.2,72.1,104.8,67.0,109.5
NYY,0.12789,0.26519,0.39308,0.508764995095,0.442084603478,0.574873302277,0.423499272192,0.593666773607,0.407264700569,0.609021454203,0.376469401992,0.640161327732,82.4,71.6,93.1,68.6,96.2,66.0,98.7,61.0,103.7
OAK,0.00028,0.01305,0.01333,0.441661831874,0.375348427252,0.508657956972,0.357135465864,0.527453355639,0.34089925952,0.544023980257,0.311712830846,0.576399982304,71.5,60.8,82.4,57.9,85.4,55.2,88.1,50.5,93.4
PHI,8e-05,0.1487,0.14878,0.447382250203,0.380992719414,0.513943738082,0.363105894107,0.532975255771,0.347438663177,0.549703016696,0.317354690899,0.582246762846,72.5,61.7,83.3,58.8,86.3,56.3,89.1,51.4,94.3
PIT,0.09089,0.08338,0.17427,0.513443655397,0.447144046894,0.580086074016,0.428433690985,0.59827577671,0.412392025267,0.61465117776,0.381011307632,0.644708768512,83.2,72.4,94.0,69.4,96.9,66.8,99.6,61.7,104.4
SDP,3e-05,0.25713,0.25716,0.406000506025,0.339360215652,0.473288636978,0.321705504219,0.492761392348,0.305955939226,0.509595233447,0.2762260789,0.542136514188,65.8,55.0,76.7,52.1,79.8,49.6,82.6,44.7,87.8
SEA,0.0119,0.25713,0.26903,0.523352094122,0.456806804378,0.590100034682,0.438128128263,0.608147463465,0.421619483695,0.623867688478,0.390096231601,0.653339929585,84.8,74.0,95.6,71.0,98.5,68.3,101.1,63.2,105.8
SFG,0.00028,0.03211,0.03239,0.542549409114,0.475709015094,0.608700480404,0.457183888548,0.627175658345,0.441269620971,0.643103208911,0.409714649329,0.671623268331,87.9,77.1,98.6,74.1,101.6,71.5,104.2,66.4,108.8
STL,0.22426,0.05687,0.28113,0.530186135405,0.463519150816,0.596598568911,0.444897385398,0.615018894377,0.428914579819,0.630779164057,0.398099989134,0.660207724928,85.9,75.1,96.6,72.1,99.6,69.5,102.2,64.5,107.0
TBR,0.06092,0.1724,0.23332,0.479923652027,0.413865015878,0.54614562876,0.395376847755,0.564668051638,0.379741704995,0.581170071895,0.349135530955,0.611761439864,77.7,67.0,88.5,64.1,91.5,61.5,94.1,56.6,99.1
TEX,0.02126,0.30492,0.32618,0.522818694744,0.456846434282,0.589008541539,0.437793977966,0.607303864106,0.421252520255,0.623320364495,0.389683214951,0.653247823827,84.7,74.0,95.4,70.9,98.4,68.2,101.0,63.1,105.8
TOR,0.05605,0.16133,0.21738,0.528334904569,0.46199945263,0.5946486543,0.442814319871,0.612427754722,0.426639421165,0.62783981071,0.39533606931,0.657672379719,85.6,74.8,96.3,71.7,99.2,69.1,101.7,64.0,106.5
WSN,0.90723,0.26519,1.17242,0.562312892599,0.495224625581,0.628366724805,0.475928203769,0.646799127631,0.459489113102,0.662377155272,0.4286467883,0.691690509774,91.1,80.2,101.8,77.1,104.8,74.4,107.3,69.4,112.1
