Team,Division_Odds,WildCard_Odds,Playoff_Odds
TEX,0.00257,0.01372,0.01629
HOU,0.72066,0.17342,0.89408
SEA,0.05423,0.18584,0.24007
OAK,0.01559,0.07703,0.09262
LAA,0.20695,0.37861,0.58556
CLE,0.86981,0.02433,0.89414
DET,0.0128,0.00935,0.02215
CHW,0.00149,0.00089,0.00238
MIN,0.11341,0.08562,0.19903
KCR,0.00249,0.00174,0.00423
BOS,0.63228,0.26488,0.89716
NYY,0.30283,0.45581,0.75864
TOR,0.06232,0.29231,0.35463
BAL,0.00011,0.00291,0.00302
TBR,0.00246,0.03354,0.036
LAD,0.4436,0.27062,0.71422
SFG,0.04839,0.11835,0.16674
SDP,0.00091,0.0041,0.00501
ARI,0.44193,0.28644,0.72837
COL,0.06517,0.16184,0.22701
STL,0.23809,0.23921,0.4773
CHC,0.50178,0.2181,0.71988
MIL,0.23959,0.26573,0.50532
PIT,0.02009,0.05532,0.07541
CIN,0.00045,0.00185,0.0023
PHI,0.16867,0.08723,0.2559
WSN,0.31223,0.12147,0.4337
MIA,0.00033,0.00027,6.00E-04
NYM,0.45482,0.11865,0.57347
ATL,0.06395,0.05082,0.11477
