"","Team","Division_Odds","WildCard_Odds","Playoff_Odds"
"1","TEX",0.00014,0.0044,0.00454
"2","HOU",0.88677,0.09095,0.97772
"3","SEA",0.08832,0.52229,0.61061
"4","OAK",0.01583,0.19028,0.20611
"5","LAA",0.00894,0.13056,0.1395
"6","CLE",0.92512,0.00596,0.93108
"7","DET",0.00257,0.00059,0.00316
"8","CHW",0.00021,3e-05,0.00024
"9","MIN",0.07207,0.02659,0.09866
"10","KCR",3e-05,1e-05,4e-05
"11","BOS",0.64531,0.33337,0.97868
"12","NYY",0.35418,0.59989,0.95407
"13","TOR",7e-05,0.02223,0.0223
"14","BAL",0,0,0
"15","TBR",0.00044,0.07285,0.07329
"16","LAD",0.62971,0.11301,0.74272
"17","SFG",0.05942,0.06666,0.12608
"18","SDP",0.00016,0.00024,4e-04
"19","ARI",0.21026,0.16792,0.37818
"20","COL",0.10045,0.10331,0.20376
"21","STL",0.07443,0.10392,0.17835
"22","CHC",0.74463,0.1053,0.84993
"23","MIL",0.17306,0.2328,0.40586
"24","PIT",0.00659,0.01433,0.02092
"25","CIN",0.00129,0.00309,0.00438
"26","PHI",0.32462,0.0265,0.35112
"27","WSN",0.42693,0.03168,0.45861
"28","MIA",0.00101,5e-05,0.00106
"29","NYM",0.01581,0.00165,0.01746
"30","ATL",0.23163,0.02954,0.26117
