Team,Team_Abbr,Oddshark_Wins,Atlantis_Wins,CRIS_Wins,Bovada_Wins,Westgate_Wins,Fangraphs_Wins,PECOTA_Wins,BleacherReport1_Wins,BleacherReport_Wins,USAToday_Wins,2016_Wins,2016Pyth_Wins,Average_All,Median_All,Average_Good,Median_Good,2017_Actual_Wins
Arizona Diamondbacks,ARI,78.5,78.5,77.5,77.5,77.5,77.1,78,81,74,74,69,69,75.96666667,77.5,77.8,77.5,93
Atlanta Braves,ATL,71.5,71.5,74.5,73.5,75.5,72.1,76,76,70,70,68,67,72.13333333,71.8,73.51428571,73.5,72
Baltimore Orioles,BAL,84.5,84.5,80.5,80.5,79.5,79.7,74,83,86,84,89,84,82.43333333,83.5,80.45714286,80.5,75
Boston Red Sox,BOS,91.5,90.5,92.5,92.5,92.5,90.8,87,97,91,94,93,98,92.525,92.5,91.04285714,91.5,93
Chicago Cubs,CHC,96.5,95.5,96.5,95.5,95.5,96.3,93,101,96,99,103,107,97.9,96.4,95.54285714,95.5,92
Chicago White Sox,CHW,71.5,73.5,68.5,69.5,68.5,67.8,76,64,67,68,78,78,70.85833333,69,70.75714286,69.5,67
Cincinnati Reds,CIN,73.5,73.5,69.5,70.5,70.5,67.5,74,67,69,66,68,68,69.75,69.25,71.28571429,70.5,68
Cleveland Indians,CLE,93.5,92.5,93.5,92.5,93.5,93.5,92,100,92,95,94,91,93.58333333,93.5,93,93.5,102
Colorado Rockies,COL,80.5,79.5,80.5,80.5,80.5,78.1,76,84,78,81,75,80,79.46666667,80.25,79.37142857,80.5,87
Detroit Tigers,DET,84.5,85.5,82.5,82.5,83.5,81.7,79,84,82,85,86,83,83.26666667,83.25,82.74285714,82.5,64
Houston Astros,HOU,87.5,87.5,91.5,89.5,91.5,90.2,93,91,92,90,84,83,89.225,90.1,90.1,90.2,101
Kansas City Royals,KCR,81.5,80.5,75.5,76.5,74.5,75.7,71,77,81,83,81,77,77.85,77,76.45714286,75.7,80
Los Angeles Angels,LAA,76.5,76.5,79.5,79.5,80.5,82.7,78,78,84,74,74,80,78.6,78.75,79.02857143,79.5,80
Los Angeles Dodgers,LAD,92.5,91.5,94.5,93.5,94.5,96.6,97,87,94,92,91,90,92.84166667,93,94.3,94.5,104
Miami Marlins,MIA,76.5,77.5,76.5,76.5,76.5,78.8,77,83,80,75,79,78,77.85833333,77.25,77.04285714,76.5,77
Milwaukee Brewers,MIL,71.5,72.5,69.5,69.5,69.5,70.3,78,62,76,72,73,74,71.48333333,71.75,71.54285714,70.3,86
Minnesota Twins,MIN,70.5,70.5,74.5,74.5,75.5,74.6,78,69,62,66,59,66,70.00833333,70.5,74.01428571,74.5,85
New York Mets,NYM,90.5,89.5,87.5,88.5,88.5,87.1,89,86,87,89,87,87,88.05,88,88.65714286,88.5,70
New York Yankees,NYY,83.5,83.5,82.5,82.5,83.5,79.2,80,81,79,80,84,79,81.475,81.75,82.1,82.5,91
Oakland Athletics,OAK,66.5,66.5,73.5,73.5,74.5,76.7,76,63,70,70,69,70,70.76666667,70,72.45714286,73.5,75
Philadelphia Phillies,PHI,72.5,72.5,73.5,73.5,72.5,71.5,73,73,72,74,71,62,71.75,72.5,72.71428571,72.5,66
Pittsburgh Pirates,PIT,85.5,85.5,83,82.5,82.5,79.7,81,82,82,81,78,78,81.725,82,82.81428571,82.5,75
San Diego Padres,SDP,64.5,64.5,66.5,66.5,67.5,65.8,70,57,65,65,68,72,66.025,66.15,66.47142857,66.5,71
Seattle Mariners,SEA,85.5,85.5,85.5,85.5,85.5,81.8,85,88,87,85,86,87,85.60833333,85.5,84.9,85.5,78
San Francisco Giants,SFG,87.5,87.5,88.5,87.5,87.5,88.4,88,92,90,89,87,90,88.575,88.2,87.84285714,87.5,64
St. Louis Cardinals,STL,88.5,87.5,84.5,84.5,83.5,85.4,78,90,88,88,86,88,85.99166667,86.75,84.55714286,84.5,83
Tampa Bay Rays,TBR,75.5,75.5,78.5,77.5,78.5,80.8,84,70,72,75,68,77,76.025,76.25,78.61428571,78.5,80
Texas Rangers,TEX,85.5,86.5,85.5,84.5,84.5,81.7,84,85,83,89,95,82,85.51666667,84.75,84.6,84.5,78
Toronto Blue Jays,TOR,85.5,86.5,85.5,84.5,84.5,85.8,81,86,87,87,89,91,86.10833333,85.9,84.75714286,85.5,76
Washington Nationals,WSN,90.5,90.5,90.5,90.5,91.5,92.4,88,93,94,90,95,97,91.90833333,91,90.55714286,90.5,97
