Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,Monday Apr 3,boxscore,HOU,,SEA,W,3,0,,1-0,1,Tied,Keuchel,Hernandez,Giles,2:29,N,41678,+
2,Tuesday Apr 4,boxscore,HOU,,SEA,W,2,1,,2-0,1,up 1.0,McCullers,Iwakuma,Giles,2:41,N,21406,++
3,Wednesday Apr 5,boxscore,HOU,,SEA,W-wo,5,3,13,3-0,1,up 1.0,Peacock,De Jong,,4:25,N,20303,+++
4,Thursday Apr 6,boxscore,HOU,,SEA,L,2,4,,3-1,1,up 1.0,Altavilla,Giles,Diaz,2:57,N,18362,-
5,Friday Apr 7,boxscore,HOU,,KCR,L,1,5,,3-2,1,Tied,Vargas,Fiers,,3:12,N,30491,--
6,Saturday Apr 8,boxscore,HOU,,KCR,L,3,7,,3-3,2,1.0,Duffy,Gregerson,,2:42,N,35373,---
7,Sunday Apr 9,boxscore,HOU,,KCR,W-wo,5,4,12,4-3,2,1.0,Devenski,Strahm,,3:49,D,32411,+
8,Monday Apr 10,boxscore,HOU,@,SEA,L,0,6,,4-4,2,1.5,Paxton,Morton,,2:56,D,44856,-
9,Tuesday Apr 11,boxscore,HOU,@,SEA,W,7,5,,5-4,2,1.5,Musgrove,Miranda,,3:29,N,18527,+
10,Wednesday Apr 12,boxscore,HOU,@,SEA,W,10,5,,6-4,2,0.5,Peacock,Altavilla,,3:12,N,14479,++
11,Friday Apr 14,boxscore,HOU,@,OAK,W,7,2,,7-4,1,up 1.0,Keuchel,Madson,,3:07,N,15385,+++
12,Saturday Apr 15,boxscore,HOU,@,OAK,W,10,6,,8-4,1,up 2.0,Harris,Casilla,,3:55,D,20140,++++
13,Monday Apr 17,boxscore,HOU,,LAA,W,3,0,,9-4,1,up 3.5,Morton,Chavez,Giles,2:36,N,23501,+++++
14,Tuesday Apr 18,boxscore,HOU,,LAA,L,2,5,,9-5,1,up 2.5,Nolasco,Musgrove,Bedrosian,3:05,N,21760,-
15,Wednesday Apr 19,boxscore,HOU,,LAA,W,5,1,,10-5,1,up 3.0,Keuchel,Ramirez,,2:47,N,24028,+
16,Thursday Apr 20,boxscore,HOU,,LAA,W,2,1,,11-5,1,up 3.0,McCullers,Shoemaker,Devenski,2:37,D,23173,++
17,Friday Apr 21,boxscore,HOU,@,TBR,W,6,3,,12-5,1,up 3.0,Feliz,Cobb,Giles,3:16,N,17683,+++
18,Saturday Apr 22,boxscore,HOU,@,TBR,L,3,6,,12-6,1,up 2.0,Pruitt,Morton,Colome,3:05,N,17008,-
19,Sunday Apr 23,boxscore,HOU,@,TBR,W,6,4,10,13-6,1,up 3.0,Gregerson,Garton,Giles,3:39,D,15548,+
20,Tuesday Apr 25,boxscore,HOU,@,CLE,W,4,2,,14-6,1,up 4.0,Keuchel,Tomlin,,2:46,N,14581,++
21,Wednesday Apr 26,boxscore,HOU,@,CLE,L,6,7,,14-7,1,up 4.0,Bauer,McCullers,Allen,3:12,N,16052,-
22,Thursday Apr 27,boxscore,HOU,@,CLE,L,3,4,,14-8,1,up 3.0,Kluber,Devenski,Allen,2:50,N,14452,--
23,Friday Apr 28,boxscore,HOU,,OAK,W,9,4,,15-8,1,up 3.0,Morton,Cotton,,2:58,N,28472,+
24,Saturday Apr 29,boxscore,HOU,,OAK,L,1,2,,15-9,1,up 3.0,Triggs,Musgrove,Casilla,2:49,N,32147,-
25,Sunday Apr 30,boxscore,HOU,,OAK,W,7,2,,16-9,1,up 3.0,Keuchel,Hahn,Giles,2:58,D,34880,+
26,Monday May 1,boxscore,HOU,,TEX,W,6,2,,17-9,1,up 3.5,Devenski,Cashner,Giles,2:59,N,22556,++
27,Tuesday May 2,boxscore,HOU,,TEX,W,8,7,,18-9,1,up 3.5,Hoyt,Kela,Harris,3:13,N,26208,+++
28,Wednesday May 3,boxscore,HOU,,TEX,W,10,1,,19-9,1,up 4.5,Morton,Martinez,,3:01,N,27439,++++
29,Thursday May 4,boxscore,HOU,,TEX,L,4,10,,19-10,1,up 4.5,Griffin,Musgrove,,3:52,D,27391,-
30,Friday May 5,boxscore,HOU,@,LAA,W,7,6,10,20-10,1,up 5.5,Giles,Norris,Devenski,3:05,N,34556,+
31,Saturday May 6,boxscore,HOU,@,LAA,L-wo,1,2,,20-11,1,up 4.5,Norris,Devenski,,2:47,N,41097,-
32,Sunday May 7,boxscore,HOU,@,LAA,W,5,3,,21-11,1,up 5.5,Fiers,Shoemaker,Giles,3:00,D,38383,+
33,Tuesday May 9,boxscore,HOU,,ATL,W,8,3,,22-11,1,up 6.0,Morton,Colon,,2:41,N,28724,++
34,Wednesday May 10,boxscore,HOU,,ATL,W,4,2,,23-11,1,up 6.0,Musgrove,Garcia,Giles,2:49,D,23676,+++
35,Thursday May 11,boxscore,HOU,@,NYY,W,3,2,,24-11,1,up 7.0,Keuchel,Pineda,Giles,3:09,N,39050,++++
36,Friday May 12,boxscore,HOU,@,NYY,W,5,1,,25-11,1,up 8.0,McCullers,Montgomery,,3:09,N,41150,+++++
37,Sunday May 14 (1),boxscore,HOU,@,NYY,L,6,11,,25-12,1,up 7.5,Warren,Harris,,3:20,D,,-
38,Sunday May 14 (2),boxscore,HOU,@,NYY,W,10,7,,26-12,1,up 7.5,Morton,Tanaka,,3:49,D,47883,+
39,Monday May 15,boxscore,HOU,@,MIA,W,7,2,,27-12,1,up 8.0,Musgrove,Tazawa,,2:57,N,16448,++
40,Tuesday May 16,boxscore,HOU,@,MIA,W,12,2,,28-12,1,up 8.0,Keuchel,Koehler,,3:00,N,18056,+++
