Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,Monday Apr 3,boxscore,LAD,,SDP,W,14,3,,1-0,1,Tied,Kershaw,Chacin,,2:52,D,53701,+
2,Tuesday Apr 4,boxscore,LAD,,SDP,L,0,4,,1-1,2,1.0,Richard,Maeda,,2:44,N,42196,-
3,Wednesday Apr 5,boxscore,LAD,,SDP,W,3,1,,2-1,1,Tied,Hill,Cahill,Jansen,2:43,N,38373,+
4,Thursday Apr 6,boxscore,LAD,,SDP,W,10,2,,3-1,1,Tied,McCarthy,Weaver,,3:14,D,36501,++
5,Friday Apr 7,boxscore,LAD,@,COL,L,1,2,,3-2,3,1.0,Freeland,Ryu,McGee,3:00,D,49169,-
6,Saturday Apr 8,boxscore,LAD,@,COL,L,2,4,,3-3,3,2.0,Dunn,Kershaw,Holland,2:59,N,48012,--
7,Sunday Apr 9,boxscore,LAD,@,COL,W,10,6,,4-3,3,2.0,Maeda,Anderson,,3:49,D,33529,+
8,Monday Apr 10,boxscore,LAD,@,CHC,L-wo,2,3,,4-4,3,2.0,Davis,Romo,,3:37,N,41166,-
9,Wednesday Apr 12,boxscore,LAD,@,CHC,W,2,0,,5-4,3,1.5,McCarthy,Lackey,Jansen,3:20,N,40844,+
10,Thursday Apr 13,boxscore,LAD,@,CHC,L,0,4,,5-5,3,2.0,Anderson,Ryu,,3:01,D,38379,-
11,Friday Apr 14,boxscore,LAD,,ARI,W,7,1,,6-5,3,1.0,Kershaw,Greinke,,3:06,N,49438,+
12,Saturday Apr 15,boxscore,LAD,,ARI,W,8,4,,7-5,2,0.5,Wood,Corbin,Jansen,3:03,N,48070,++
13,Sunday Apr 16,boxscore,LAD,,ARI,L,1,3,,7-6,3,1.5,Walker,Hill,Rodney,3:22,D,39822,-
14,Monday Apr 17,boxscore,LAD,,ARI,L,2,4,,7-7,3,2.0,Hoover,Hatcher,Rodney,3:07,N,35448,--
15,Tuesday Apr 18,boxscore,LAD,,COL,L,3,4,,7-8,3,3.0,Rusin,Ryu,Holland,3:17,N,37960,---
16,Wednesday Apr 19,boxscore,LAD,,COL,W,4,2,,8-8,3,2.0,Kershaw,Anderson,Jansen,2:55,N,45474,+
17,Friday Apr 21,boxscore,LAD,@,ARI,L,5,13,,8-9,3,3.0,Bradley,Stripling,,3:28,N,27018,-
18,Saturday Apr 22,boxscore,LAD,@,ARI,L,5,11,,8-10,3,4.0,Ray,Maeda,,3:20,N,36294,--
19,Sunday Apr 23,boxscore,LAD,@,ARI,W,6,2,,9-10,3,4.0,McCarthy,Miller,,2:54,D,28704,+
20,Monday Apr 24,boxscore,LAD,@,SFG,L,1,2,,9-11,3,5.0,Cain,Ryu,Melancon,2:57,N,41399,-
21,Tuesday Apr 25,boxscore,LAD,@,SFG,W,2,1,,10-11,3,4.0,Kershaw,Blach,Jansen,2:59,N,41329,+
