,ABUNDANCE & DENSITY,,,,WOLF VITAL RATES,,,,MOOSE VITAL RATES,,,,PREDATION STATS,,,CLIMATE,,,,,,,,,,,,,,,,,Fir growth from McLaren and Peterson (1994),,,Fir growth (from A. Chouinard),,,
Year,wolf abundance,moose abundance,wolves/ 1000km2,moose/ km2,wolf population growth rate,wolf mortality rate,wolf recruitment rate,wolf inbreeding coefficient,moose population growth rate,moose recruitment rate,no. of old moose,ave age,kill rate (kills/wolf/month),ann predation rate,proportion of diet comprised of calves,North Atlantic Oscillation (Dec-Mar;  Station Based Index),North Atlantic Oscillation (Dec-Mar; PC Based NAO Index),July-Sept (temp),Apr-May (temp),Jan-Feb temp,may-aug (precip),snow depth,Growing degree days by Julian day 91 ,Growing degree days by Julian day 105 ,Growing degree days by Julian day 121,Growing degree days by Julian day 135 ,Growing degree days by Julian day 152 ,Growing degree days by Julian day 166 ,Jan-Mar (precip),Dec-Apr (precip),,year,west end,east end,averaged,west end,east end,average,
1959,20,538,36.8,0.99,0.10,--,--,0.261,0.047,0.2,65,5.1,--,--,--,-0.37,0.15,16.9,7.1,-15.1,43.1,--,38,107,192,342,589,889,1.78,2.56,,1958,0.593,0.391,0.492,x,x,x,
1960,22,564,40.4,1.04,0.00,--,--,0.285,0.014,0.143,82,5.2,--,--,--,-1.54,-1.79,16.6,6.8,-11.6,31.1,--,1,23,131,236,521,767,0.86,6.02,,1959,0.504,0.399,0.452,1.26,0.50,0.88,
1961,22,572,40.4,1.05,0.05,--,--,0.309,0.014,0.195,124,5.4,--,--,--,1.80,0.81,16.8,5.7,-10.8,21.4,--,27,64,161,301,549,797,1.35,7.19,,1960,0.623,0.477,0.550,1.12,0.90,1.01,
1962,23,579,42.3,1.06,-0.13,--,--,0.332,0.029,0.165,151,5.3,--,--,--,-2.38,-0.89,14.9,6.2,-15.5,40.8,--,10,30,132,263,516,749,2.46,5.65,,1961,0.524,0.464,0.494,0.96,0.85,0.90,
1963,20,596,36.8,1.10,0.30,--,--,0.354,0.041,0.212,167,4.9,--,--,--,-3.60,-1.27,16.5,6.5,-17.1,34.1,--,38,97,204,359,552,794,2.61,5.63,,1962,0.529,0.459,0.494,0.82,0.50,0.66,
1964,26,620,47.8,1.14,0.08,--,--,0.375,0.022,0.159,149,4.6,--,--,--,-2.86,-0.83,15.0,7.8,-10.0,41.8,--,0,31,113,269,515,708,2.49,6.06,,1963,0.605,0.368,0.487,1.36,0.83,1.09,
1965,28,634,51.5,1.17,-0.07,--,--,0.396,0.042,0.132,125,4.5,--,--,--,-2.88,-0.78,13.5,6.6,-16.3,34.6,--,0,17,119,280,496,722,1.95,7.28,,1964,0.498,0.421,0.460,1.88,0.81,1.35,
1966,26,661,47.8,1.21,-0.15,--,--,0.416,0.158,0.18,90,4.2,--,--,--,-1.69,-1.53,16.1,4.3,-16.0,33.7,--,8,26,73,144,387,606,3.95,8.53,,1965,0.61,0.484,0.547,2.04,0.73,1.39,
1967,22,766,40.4,1.41,0.00,--,--,0.435,0.108,0.21,83,3.9,--,--,--,1.28,0.67,15.2,4.6,-15.2,30.7,--,39,100,154,232,457,715,4.47,7.49,,1966,0.553,0.504,0.529,2.52,0.73,1.63,
1968,22,848,40.4,1.56,-0.23,--,--,0.454,0.227,0.2,94,3.8,--,--,--,-1.04,-0.11,15.4,6.4,-13.6,44.7,--,84,155,283,429,592,850,3.1,7.8,,1967,0.587,0.637,0.612,1.41,0.98,1.19,
1969,17,1041,31.3,1.91,0.06,--,--,0.472,0.004,0.165,103,3.6,--,--,--,-4.89,-2.58,16.4,7.4,-12.4,35.1,--,9,68,172,328,568,759,2.86,8.07,,1968,0.59,0.618,0.604,0.58,1.42,1.00,
